pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0,0,0,0,0,0,0,0,0.03128205,0,JetPack
0,0,0,0,0,0.004029304,0.008717949,0,0.05062271,0,JetPack
0,0,0,0,0,0,0,0,0.03128205,0,JetPack
0,0,0,0,0,0.004029304,0.008717949,0,0.05062271,0,JetPack
0,0,0,0,0,0,0,0,0.03128205,0,JetPack
0,0,0,0,0,0.004029304,0.008717949,0,0.05062271,0,JetPack
0,0,0,0,0,0,0,0,0.03128205,0,JetPack
0,0,0,0,0,0.004029304,0.008424909,0,0.05032967,0,JetPack
0,0,0,0,0,0,0,0,0.03098901,0,JetPack
0,0,0,0,0,0.004029304,0.008424909,0,0.05062271,0,JetPack
0,0,0,0,0,0,0,0,0.03128205,0,JetPack
0,0,0,0,0,0.004029304,0.008424909,0,0.05032967,0,JetPack
0,0,0,0,0,0,0,0,0.03098901,0,JetPack
0,0,0,0,0,0.004029304,0.008424909,0,0.05032967,0,JetPack
0,0,0,0,0,0,0,0,0.03098901,0,JetPack
0,0,0,0,0,0.004029304,0.008424909,0,0.05032967,0,JetPack
0,0,0,0,0,0,0,0,0.03128205,0,JetPack
0,0,0,0,0,0.003443223,0.007838828,0,0.04827839,0,JetPack
0,0,0,0,0,0,0,0,0.03128205,0,JetPack
0,0,0,0,0,0.003443223,0.007838828,0,0.04827839,0,JetPack
0,0,0,0,0,0,0,0,0.03128205,0,JetPack
0,0,0,0,0,0.003443223,0.007838828,0,0.04827839,0,JetPack
0,0,0,0,0,0,0,0,0.03128205,0,JetPack
0,0,0,0,0,0.003443223,0.007838828,0,0.04827839,0,JetPack
0,0,0,0,0,0,0,0,0.03128205,0,JetPack
0,0,0,0,0,0.003443223,0.007838828,0,0.04827839,0,JetPack
0,0,0,0,0,0,0,0,0.03128205,0,JetPack
0,0,0,0,0,0.003443223,0.007838828,0,0.04827839,0,JetPack
