PinkyProximal,PinkyMedial,RingProximal,RingMedial,MiddleProximal,MiddleMedial,IndexProximal,IndexMedial,ThumbProximal,ThumbMedial,Gesture
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9578755,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9389744,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9197803,1,0.9409524,1,1,1,Fist
1,1,1,1,0.9197803,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8910623,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9409524,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9418315,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9418315,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9418315,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9418315,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9418315,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9418315,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9418315,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9418315,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9418315,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9418315,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9418315,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9418315,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9424176,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9424176,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8828571,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8834432,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8834432,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8834432,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8834432,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8834432,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8840293,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8849084,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8852015,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8854945,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8857876,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8869597,1,0.9430037,1,1,1,Fist
1,1,1,1,0.8872528,1,0.9430037,1,1,1,Fist
