pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,0.8380221,1,1,1,0.7937729,1,0.2106227,Fist
1,1,1,0.9016117,1,1,1,0.8131136,0.9514286,0.3005861,Fist
1,1,1,0.8359708,1,1,1,0.7937729,1,0.2050549,Fist
1,1,1,0.9016117,1,1,1,0.8131136,0.9514286,0.3005861,Fist
1,1,1,0.8330404,1,1,1,0.7937729,1,0.1959707,Fist
1,1,1,0.9016117,1,1,1,0.8371429,0.9382418,0.2815385,Fist
1,1,1,0.8330404,1,1,1,0.7937729,1,0.1936264,Fist
1,1,1,0.9016117,1,1,1,0.8444689,0.9297436,0.2668864,Fist
1,1,1,0.8330404,1,1,1,0.7937729,1,0.1886447,Fist
1,1,1,0.9016117,1,1,1,0.8389011,0.9057143,0.2457875,Fist
1,1,1,0.8330404,1,1,1,0.7937729,1,0.1824908,Fist
1,1,1,0.9016117,1,1,1,0.8374359,0.8998535,0.2431502,Fist
1,1,1,0.8330404,1,1,1,0.7937729,1,0.1778022,Fist
1,1,1,0.9016117,1,1,1,0.8362638,0.8939927,0.2405128,Fist
1,1,1,0.8330404,1,1,1,0.7937729,1,0.1745788,Fist
1,1,1,0.9016117,1,1,1,0.8347986,0.8825641,0.2372894,Fist
1,1,1,0.8330404,1,1,1,0.7937729,1,0.1707692,Fist
1,1,1,0.9016117,1,1,1,0.837729,0.8629304,0.2320147,Fist
1,1,1,0.8330404,1,1,1,0.7981685,1,0.1684249,Fist
1,1,1,0.9016117,1,1,1,0.8432967,0.8597069,0.2311355,Fist
1,1,1,0.8330404,1,1,1,0.7984616,1,0.1678388,Fist
1,1,1,0.9016117,1,1,1,0.8488645,0.8512088,0.2296703,Fist
1,1,1,0.8330404,1,1,1,0.8034433,1,0.1672527,Fist
1,1,1,0.8815385,1,1,1,0.8591209,0.8391941,0.2296703,Fist
1,1,1,0.8330404,1,1,1,0.7999268,1,0.1672527,Fist
1,1,1,0.8522345,1,1,1,0.859707,0.830696,0.2296703,Fist
1,1,1,0.8330404,1,1,1,0.7999268,1,0.1672527,Fist
1,1,1,0.8522345,1,1,1,0.8570696,0.8277656,0.2296703,Fist
1,1,1,0.8330404,1,1,1,0.8008059,1,0.1672527,Fist
1,1,1,0.8522345,1,1,1,0.8553114,0.8274725,0.2296703,Fist
1,1,1,0.8336264,1,1,1,0.8054945,1,0.1672527,Fist
1,1,1,0.8522345,1,1,1,0.8500366,0.8298169,0.2296703,Fist
1,1,1,0.8345056,1,1,1,0.8063737,1,0.1684249,Fist
1,1,1,0.8522345,1,1,1,0.8500366,0.8298169,0.2296703,Fist
1,1,1,0.8362638,1,1,1,0.8066667,1,0.1698901,Fist
1,1,1,0.8522345,1,1,1,0.8352381,0.8298169,0.2305494,Fist
1,1,1,0.8397803,1,1,1,0.8066667,1,0.1731136,Fist
1,1,1,0.8522345,1,1,1,0.8213187,0.8473993,0.2320146,Fist
1,1,1,0.8415385,1,1,1,0.8043224,1,0.1734066,Fist
1,1,1,0.8522345,1,1,1,0.8201465,0.8517949,0.2323077,Fist
1,1,1,0.8503298,1,1,1,0.8060806,1,0.1757509,Fist
1,1,1,0.8522345,1,1,1,0.8166301,0.8670329,0.2314286,Fist
1,1,1,0.8617583,1,1,1,0.8060806,1,0.17663,Fist
1,1,1,0.8522345,1,1,1,0.8075458,0.8957509,0.2311355,Fist
1,1,1,0.8655679,1,1,1,0.8060806,1,0.17663,Fist
1,1,1,0.8522345,1,1,1,0.8075458,0.8957509,0.2311355,Fist
1,1,1,0.8767034,1,1,1,0.7764835,1,0.1780952,Fist
