pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
0.7782418,1,1,1,1,1,1,1,0.7319413,0.227033,Fist
1,1,1,1,1,1,1,0.649304,1,0.2353846,Fist
