pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.00989011,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.1023443,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.00959707,0.3669597,0.4793407,0,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.09164837,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.008717949,0.3669597,0.4793407,0,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.08842491,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.008424909,0.3669597,0.4793407,0,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.08813187,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.008131868,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.08725274,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.007838828,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.08637363,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.007252747,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.08578754,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.006666667,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.0840293,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.005787546,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.08344322,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.005494506,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.08285714,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.005201465,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.08197802,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.004322344,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.08080586,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.003443223,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07992674,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.003150183,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.0796337,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.003150183,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07904762,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.003150183,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.0781685,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.001978022,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07758242,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.001978022,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.0767033,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.001978022,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07641026,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.001978022,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07611722,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3849817,0.9364836,0.4104762,0.7767766,0.2739194,0.001978022,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07523809,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07494505,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07465202,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07406593,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07406593,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07377289,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07318681,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07260073,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07230769,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07230769,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07201465,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07172161,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07142857,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07142857,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07142857,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07113553,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07084249,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07084249,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07054945,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07054945,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07025641,0.2117949,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.07025641,0.212381,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.06967033,0.212381,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.06967033,0.212381,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.06967033,0.212381,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.06937729,0.212381,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.06937729,0.212381,0.7196337,1,0.4661539,MiddleFinger
0.3675458,0.9364836,0.3895238,0.7767766,0.2550183,0,0.3669597,0.4793407,1,0.2317216,MiddleFinger
0.4169231,1,0.5013187,1,0.307033,0.06908425,0.212381,0.7196337,1,0.4661539,MiddleFinger
