pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.147326,0.2689377,0.1974359,0.07875458,0.1074725,0.001391941,0.1795604,0.02161172,0.2938462,0.01399267,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07787546,Nothing
0.147326,0.2689377,0.1974359,0.07875458,0.1074725,0.001391941,0.1795604,0.02161172,0.2938462,0.01399267,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07787546,Nothing
0.147326,0.2689377,0.1974359,0.07875458,0.1074725,0.001391941,0.1795604,0.02161172,0.2938462,0.01399267,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.0781685,Nothing
0.147326,0.2689377,0.1974359,0.07875458,0.1074725,0.001391941,0.1795604,0.02161172,0.2938462,0.01399267,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07787546,Nothing
0.147326,0.2689377,0.1974359,0.07875458,0.1074725,0.001391941,0.1795604,0.02161172,0.2938462,0.01369963,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07787546,Nothing
0.147326,0.2689377,0.1974359,0.07846154,0.1074725,0.001391941,0.1795604,0.02131868,0.2938462,0.01369963,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07758242,Nothing
0.147326,0.2689377,0.1974359,0.07846154,0.1074725,0.001391941,0.1795604,0.02131868,0.2938462,0.01369963,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07758242,Nothing
0.147326,0.2689377,0.1974359,0.07846154,0.1074725,0.001391941,0.1795604,0.02131868,0.2938462,0.01369963,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07728938,Nothing
0.147326,0.2689377,0.1974359,0.0781685,0.1074725,0.001391941,0.1795604,0.02102564,0.2938462,0.01340659,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07728938,Nothing
0.147326,0.2689377,0.1974359,0.0781685,0.1074725,0.001391941,0.1795604,0.02102564,0.2938462,0.01340659,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07728938,Nothing
0.147326,0.2689377,0.1974359,0.0781685,0.1074725,0.001391941,0.1795604,0.02102564,0.2938462,0.01340659,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07728938,Nothing
0.147326,0.2689377,0.1974359,0.0781685,0.1074725,0.001391941,0.1795604,0.02102564,0.2938462,0.01340659,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07699633,Nothing
0.147326,0.2689377,0.1974359,0.07787546,0.1074725,0.001391941,0.1795604,0.0207326,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07728938,Nothing
0.147326,0.2689377,0.1974359,0.07787546,0.1074725,0.001391941,0.1795604,0.0207326,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07699633,Nothing
0.147326,0.2689377,0.1974359,0.07787546,0.1074725,0.001391941,0.1795604,0.0207326,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07699633,Nothing
0.147326,0.2689377,0.1974359,0.07787546,0.1074725,0.001391941,0.1795604,0.0207326,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07699633,Nothing
0.147326,0.2689377,0.1974359,0.07787546,0.1074725,0.001391941,0.1795604,0.0207326,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07699633,Nothing
0.147326,0.2689377,0.1974359,0.07787546,0.1074725,0.001391941,0.1795604,0.0207326,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07699633,Nothing
0.147326,0.2689377,0.1974359,0.07758242,0.1074725,0.001391941,0.1795604,0.02043956,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07699633,Nothing
0.147326,0.2689377,0.1974359,0.07728938,0.1074725,0.001391941,0.1795604,0.02043956,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.0767033,Nothing
0.147326,0.2689377,0.1974359,0.07728938,0.1074725,0.001391941,0.1795604,0.02043956,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04241758,0.1572894,0.1593407,0.3694505,0.07641026,Nothing
0.147326,0.2689377,0.1974359,0.07728938,0.1074725,0.001391941,0.1795604,0.02043956,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04241758,0.1572894,0.1593407,0.3694505,0.0767033,Nothing
0.147326,0.2689377,0.1974359,0.07699633,0.1074725,0.001391941,0.1795604,0.02014652,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07641026,Nothing
0.147326,0.2689377,0.1974359,0.07699633,0.1074725,0.001391941,0.1795604,0.02014652,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.07641026,Nothing
0.147326,0.2689377,0.1974359,0.07699633,0.1074725,0.001391941,0.1795604,0.02014652,0.2938462,0.01282051,Nothing
0.22,0.2876923,0.2935531,0.2440293,0.2601464,0.04212454,0.1572894,0.1593407,0.3694505,0.0767033,Nothing
