pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.0374359,0.09047619,0,0,0,0,0,0,0,0,OpenPalm
0.06439561,0.1613919,0.01428571,0.03040293,0,0.01985348,0,0.01194139,0.02336996,0.006373626,OpenPalm
0.0374359,0.09047619,0,0,0,0,0,0,0,0,OpenPalm
0.06439561,0.1613919,0.01428571,0.03040293,0,0.01985348,0,0.01194139,0.02336996,0.006666667,OpenPalm
0.03772894,0.08989011,0,0,0,0,0,0,0,0,OpenPalm
0.06439561,0.1613919,0.01428571,0.03040293,0,0.01985348,0,0.01164835,0.02307692,0.006373626,OpenPalm
0.03772894,0.08989011,0,0,0,0,0,0,0,0,OpenPalm
0.06439561,0.1613919,0.01457876,0.03040293,0,0.01985348,0,0.01164835,0.023663,0.006666667,OpenPalm
0.03772894,0.08989011,0,0,0,0,0,0,0,0,OpenPalm
0.06439561,0.1613919,0.01487179,0.03040293,0,0.01985348,0,0.01164835,0.02424908,0.006666667,OpenPalm
0.03802198,0.08959707,0,0,0,0,0,0,0,0,OpenPalm
0.06439561,0.1613919,0.01545788,0.02981685,0,0.01956044,0,0.01164835,0.02424908,0.006666667,OpenPalm
0.03802198,0.08959707,0,0,0,0,0,0,0,0,OpenPalm
0.06410257,0.1613919,0.01545788,0.02981685,0,0.01985348,0,0.01164835,0.02424908,0.006666667,OpenPalm
0.03802198,0.08959707,0,0,0,0,0,0,0,0,OpenPalm
0.06439561,0.1613919,0.01575092,0.02952381,0,0.01985348,0,0.01164835,0.02483517,0.006666667,OpenPalm
0.03802198,0.08930403,0,0,0,0,0,0,0,0,OpenPalm
0.06439561,0.1613919,0.01545788,0.02952381,0,0.01956044,0,0.01135531,0.02571429,0.006959707,OpenPalm
0.03802198,0.08930403,0,0,0,0,0,0,0,0,OpenPalm
0.06439561,0.1613919,0.01545788,0.02923077,0,0.01956044,0,0.01135531,0.02571429,0.006666667,OpenPalm
0.03831502,0.08930403,0,0,0,0,0,0,0,0,OpenPalm
0.06468865,0.1613919,0.01545788,0.02923077,0,0.01956044,0,0.01135531,0.02571429,0.006373626,OpenPalm
0.03831502,0.08930403,0,0,0,0,0,0,0,0,OpenPalm
0.06468865,0.1613919,0.01545788,0.02923077,0,0.01956044,0,0.01135531,0.02571429,0.006666667,OpenPalm
0.03860806,0.08901099,0,0,0,0,0,0,0,0,OpenPalm
0.06468865,0.1613919,0.01545788,0.02893773,0,0.0192674,0,0.01106227,0.02483517,0.006373626,OpenPalm
0.03831502,0.08901099,0,0,0,0,0,0,0,0,OpenPalm
0.06468865,0.1613919,0.01545788,0.02893773,0,0.0192674,0,0.01106227,0.02483517,0.006666667,OpenPalm
0.03860806,0.08871795,0,0,0,0,0,0,0,0,OpenPalm
0.06468865,0.1613919,0.01516484,0.02864469,0,0.0192674,0,0.01106227,0.02483517,0.006373626,OpenPalm
0.03860806,0.08871795,0,0,0,0,0,0,0,0,OpenPalm
0.06468865,0.1613919,0.01516484,0.02864469,0,0.0192674,0,0.01106227,0.02483517,0.006373626,OpenPalm
0.03860806,0.08871795,0,0,0,0,0,0,0,0,OpenPalm
0.06439561,0.1613919,0.01516484,0.02864469,0,0.0192674,0,0.01106227,0.02454212,0.006373626,OpenPalm
0.03860806,0.08871795,0,0,0,0,0,0,0,0,OpenPalm
0.06439561,0.1613919,0.01487179,0.02835165,0,0.01868132,0,0.01076923,0.02483517,0.006373626,OpenPalm
0.03831502,0.08842491,0,0,0,0,0,0,0,0,OpenPalm
0.06439561,0.1613919,0.01487179,0.02835165,0,0.0192674,0,0.01076923,0.02454212,0.006666667,OpenPalm
