pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01721612,0,0.5133334,0.03567766,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01721612,0,0.5133334,0.03538461,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01721612,0,0.5133334,0.03567766,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01692308,0,0.5133334,0.0359707,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01692308,0,0.5133334,0.0359707,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01692308,0,0.5133334,0.03567766,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01663004,0,0.5133334,0.03567766,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01692308,0,0.5133334,0.0359707,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01692308,0,0.5133334,0.03567766,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01692308,0,0.5133334,0.0359707,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01692308,0,0.5133334,0.0359707,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01663004,0,0.5133334,0.03567766,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01663004,0,0.5133334,0.0359707,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01663004,0,0.5133334,0.0359707,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01663004,0,0.5133334,0.03567766,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01663004,0,0.5133334,0.03567766,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01692308,0,0.5133334,0.03567766,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01663004,0,0.5133334,0.03567766,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8787547,0.6621978,0.01663004,0,0.5133334,0.03567766,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
0.4667399,0.8336263,1,1,0.8799269,0.6627839,0.016337,0,0.5133334,0.0359707,Pointing
0.4037363,0.8939927,0.7556776,1,0.721685,1,0,0,0.401392,0.187033,Pointing
