pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998315,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9590476,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.998901,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.9997801,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,0.9997801,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,1,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,1,1,0.9180219,1,0.9523076,1,0.8016849,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,1,1,0.9180219,1,0.9523076,1,0.802564,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,1,1,0.9180219,1,0.9523076,1,0.802564,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,1,1,0.9180219,1,0.9523076,1,0.802857,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,1,1,0.9180219,1,0.9523076,1,0.802857,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
0.9153846,1,1,1,0.9180219,1,0.9523076,1,0.802857,0.3161172,Fist
1,1,1,1,1,1,1,0.9593406,1,0.467326,Fist
