pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.634652,1,0.9218315,1,0.678315,1,0.01252747,0,0,0,HandGun
0.4953114,0.7650547,0.9142125,1,0.7741392,1,0.04857143,0.0002197802,0.0005128205,0.02014652,HandGun
0.634652,1,0.9218315,1,0.678315,1,0.01252747,0,0,0,HandGun
0.4953114,0.7650547,0.9142125,1,0.7741392,1,0.04886447,0.0002197802,0.0005128205,0.02014652,HandGun
0.634652,1,0.9218315,1,0.678315,1,0.01194139,0,0,0,HandGun
0.4953114,0.7650547,0.9142125,1,0.7741392,1,0.04886447,0.0002197802,0.0008058608,0.02014652,HandGun
0.634652,1,0.9218315,1,0.678315,1,0.01252747,0,0,0,HandGun
0.4953114,0.7650547,0.9142125,1,0.7741392,1,0.04915751,0.0002197802,0.0008058608,0.02014652,HandGun
0.634652,1,0.9218315,1,0.678315,1,0.01194139,0,0,0,HandGun
0.4953114,0.7650547,0.9142125,1,0.7741392,1,0.04945055,0,0.001098901,0.02014652,HandGun
0.634652,1,0.9218315,1,0.678315,1,0.01252747,0,0,0,HandGun
0.4953114,0.7650547,0.9142125,1,0.7741392,1,0.05003663,0,0.001391941,0.01985348,HandGun
0.634652,1,0.9218315,1,0.678315,1,0.01282051,0,0,0,HandGun
0.4953114,0.7650547,0.9142125,1,0.7741392,1,0.05003663,0,0.001098901,0.01985348,HandGun
0.634652,1,0.9218315,1,0.678315,1,0.01340659,0,0,0,HandGun
0.4953114,0.7650547,0.9142125,1,0.7741392,1,0.05032967,0,0.001391941,0.01985348,HandGun
0.634652,1,0.9218315,1,0.678315,1,0.01369963,0,0,0,HandGun
0.4953114,0.7650547,0.9142125,1,0.7741392,1,0.05062271,0,0.001391941,0.01985348,HandGun
0.6355311,1,0.9227107,1,0.6827106,1,0.01545788,0,0,0,HandGun
0.4953114,0.7679851,0.9142125,1,0.7767766,1,0.05384615,0,0.001684982,0.02014652,HandGun
0.6355311,1,0.9209524,1,0.6821246,1,0.016337,0,0,0,HandGun
0.4953114,0.7703294,0.9142125,1,0.7767766,1,0.05677656,0,0.001978022,0.02014652,HandGun
0.6352381,1,0.9209524,1,0.6815385,1,0.016337,0,0,0,HandGun
