pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.5915751,1,0.9584615,1,0.6408058,0.01838828,1,0.5086447,1,0.8145787,MiddleFinger
0.3717949,1,0.7568498,1,0.4995604,0.06322344,1,0.7184615,1,0.7111356,MiddleFinger
0.5915751,1,0.9584615,1,0.6408058,0.01838828,1,0.5086447,1,0.8145787,MiddleFinger
0.3717949,1,0.7565567,1,0.4995604,0.06293041,1,0.7184615,1,0.7111356,MiddleFinger
0.5915751,1,0.9584615,1,0.6408058,0.01838828,1,0.5086447,1,0.8145787,MiddleFinger
0.3717949,1,0.7565567,1,0.4995604,0.06293041,1,0.7184615,1,0.7111356,MiddleFinger
0.5915751,1,0.9584615,1,0.6408058,0.01838828,1,0.5086447,1,0.8145787,MiddleFinger
0.3717949,1,0.7568498,1,0.4995604,0.06293041,1,0.7184615,1,0.7111356,MiddleFinger
0.5921612,1,0.9587546,1,0.6408058,0.01809524,1,0.5086447,1,0.8145787,MiddleFinger
0.3717949,1,0.7571428,1,0.4995604,0.06263737,1,0.7184615,1,0.7111356,MiddleFinger
0.5933333,1,0.9587546,1,0.6408058,0.01809524,1,0.5086447,1,0.8145787,MiddleFinger
0.3717949,1,0.758022,1,0.4995604,0.06234432,1,0.7184615,1,0.7111356,MiddleFinger
0.5933333,1,0.9587546,1,0.6408058,0.0178022,1,0.5086447,1,0.8145787,MiddleFinger
0.3717949,1,0.7591941,1,0.4995604,0.06175824,1,0.7184615,1,0.7111356,MiddleFinger
0.5939194,1,0.9587546,1,0.6408058,0.0178022,1,0.5086447,1,0.8145787,MiddleFinger
0.3717949,1,0.7594872,1,0.4995604,0.06175824,1,0.7184615,1,0.7111356,MiddleFinger
0.5939194,1,0.9587546,1,0.6408058,0.0178022,1,0.5086447,1,0.8145787,MiddleFinger
0.3717949,1,0.7600732,1,0.4995604,0.06117216,1,0.7184615,1,0.7111356,MiddleFinger
0.5939194,1,0.9587546,1,0.6408058,0.0178022,1,0.5086447,1,0.8145787,MiddleFinger
0.3717949,1,0.7600732,1,0.4995604,0.06087912,1,0.7184615,1,0.7111356,MiddleFinger
