pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.1455678,0.4031502,0.1974359,0.08754579,0.2009524,0.008717949,0.2721612,0.01545788,0.2331868,0.01721612,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04945055,0.2106227,0.08930403,0.2791941,0.04681319,Nothing
0.1455678,0.4031502,0.1974359,0.08725274,0.2009524,0.008424909,0.2721612,0.01545788,0.2331868,0.01750916,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04945055,0.2106227,0.08901099,0.2791941,0.04681319,Nothing
0.1455678,0.4031502,0.1974359,0.0869597,0.2009524,0.008424909,0.2721612,0.01516484,0.2331868,0.01750916,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04945055,0.2106227,0.08901099,0.2791941,0.04681319,Nothing
0.1455678,0.4031502,0.1974359,0.0869597,0.2009524,0.008424909,0.2721612,0.01516484,0.2331868,0.01721612,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04945055,0.2106227,0.08901099,0.2791941,0.04681319,Nothing
0.1455678,0.4031502,0.1974359,0.08637363,0.2009524,0.008424909,0.2721612,0.01516484,0.2331868,0.01721612,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04945055,0.2106227,0.08842491,0.2791941,0.04652015,Nothing
0.1455678,0.4031502,0.1974359,0.08637363,0.2009524,0.008424909,0.2721612,0.01516484,0.2331868,0.01721612,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04945055,0.2106227,0.08842491,0.2791941,0.04681319,Nothing
0.1455678,0.4031502,0.1974359,0.08608059,0.2009524,0.008424909,0.2721612,0.01516484,0.2331868,0.01721612,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04915751,0.2106227,0.08813187,0.2791941,0.04652015,Nothing
0.1455678,0.4031502,0.1974359,0.08608059,0.2009524,0.008424909,0.2721612,0.01487179,0.2331868,0.01721612,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04945055,0.2106227,0.08813187,0.2791941,0.04681319,Nothing
0.1455678,0.4031502,0.1974359,0.08578754,0.2009524,0.008424909,0.2721612,0.01487179,0.2331868,0.01692308,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04915751,0.2106227,0.08783883,0.2791941,0.04652015,Nothing
0.1455678,0.4031502,0.1974359,0.08578754,0.2009524,0.008424909,0.2721612,0.01487179,0.2331868,0.01692308,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04915751,0.2106227,0.08783883,0.2791941,0.04652015,Nothing
0.1455678,0.4031502,0.1974359,0.0854945,0.2009524,0.008424909,0.2721612,0.01487179,0.2331868,0.01692308,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04915751,0.2106227,0.08783883,0.2791941,0.04652015,Nothing
0.1455678,0.4031502,0.1974359,0.0854945,0.2009524,0.008424909,0.2721612,0.01457876,0.2331868,0.01692308,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04915751,0.2106227,0.08754579,0.2791941,0.04652015,Nothing
0.1455678,0.4031502,0.1974359,0.08520146,0.2009524,0.008424909,0.2721612,0.01457876,0.2331868,0.01692308,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04915751,0.2106227,0.08754579,0.2791941,0.04652015,Nothing
0.1455678,0.4031502,0.1974359,0.08520146,0.2009524,0.008424909,0.2721612,0.01457876,0.2331868,0.01663004,Nothing
0.1734066,0.2695238,0.2548718,0.198315,0.2551648,0.04915751,0.2106227,0.08725274,0.2791941,0.0462271,Nothing
0.1455678,0.4031502,0.1974359,0.08520146,0.2009524,0.008424909,0.2721612,0.01457876,0.2331868,0.01663004,Nothing
