pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.002857143,0.04446886,0,0,0,0,0,0,0,0,OpenPalm
0.02659341,0.08051282,0.0447619,0.02747253,0.01047619,0.0008058608,0.0002197802,0,0.02336996,0.0002197802,OpenPalm
0.002564103,0.04417583,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08051282,0.0447619,0.02747253,0.01047619,0.0008058608,0,0,0.023663,0.0002197802,OpenPalm
0.002564103,0.04417583,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08051282,0.0447619,0.02747253,0.01047619,0.0008058608,0,0,0.023663,0.0002197802,OpenPalm
0.002564103,0.04446886,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.0810989,0.0447619,0.02717949,0.01047619,0.0008058608,0,0,0.023663,0.0002197802,OpenPalm
0.002564103,0.04446886,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.08051282,0.04446886,0.02747253,0.01018315,0.0008058608,0,0,0.02336996,0,OpenPalm
0.002564103,0.04417583,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.08051282,0.04446886,0.02717949,0.01018315,0.0008058608,0,0,0.02336996,0.0002197802,OpenPalm
0.002857143,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.0810989,0.04417583,0.02717949,0.01018315,0.0008058608,0,0,0.02336996,0.0002197802,OpenPalm
0.002564103,0.04417583,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.08051282,0.04417583,0.02717949,0.01018315,0.0008058608,0,0,0.02307692,0,OpenPalm
0.002564103,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.0810989,0.04417583,0.02717949,0.01018315,0.0008058608,0,0,0.02307692,0.0002197802,OpenPalm
0.002564103,0.04417583,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08051282,0.04417583,0.02717949,0.01018315,0.0008058608,0,0,0.02278388,0,OpenPalm
0.002857143,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08051282,0.04388278,0.02717949,0.01018315,0.0008058608,0,0,0.02278388,0,OpenPalm
0.002564103,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08051282,0.04388278,0.02717949,0.01018315,0.0008058608,0,0,0.02278388,0,OpenPalm
0.002564103,0.04417583,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08051282,0.04417583,0.02717949,0.00959707,0.0005128205,0,0,0.02249084,0,OpenPalm
0.002564103,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02659341,0.08051282,0.04446886,0.02717949,0.00959707,0.0005128205,0,0,0.02278388,0,OpenPalm
0.002564103,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08051282,0.04446886,0.02688645,0.00959707,0.0005128205,0,0,0.02249084,0,OpenPalm
0.002564103,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08051282,0.04417583,0.02688645,0.009304029,0.0005128205,0,0,0.02249084,0,OpenPalm
0.002564103,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08051282,0.04417583,0.02688645,0.009304029,0.0005128205,0,0,0.02249084,0,OpenPalm
0.002857143,0.04358974,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08021978,0.04417583,0.02688645,0.009304029,0.0005128205,0,0,0.02249084,0,OpenPalm
0.002857143,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08051282,0.04417583,0.02688645,0.009304029,0.0005128205,0,0,0.0221978,0,OpenPalm
0.002857143,0.04358974,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08051282,0.04417583,0.02688645,0.00959707,0.0005128205,0,0,0.0221978,0,OpenPalm
0.002857143,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08051282,0.04446886,0.02688645,0.00959707,0.0005128205,0,0,0.02161172,0,OpenPalm
0.002857143,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.08051282,0.04446886,0.02688645,0.00959707,0.0005128205,0,0,0.02131868,0,OpenPalm
0.002857143,0.04358974,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08021978,0.04417583,0.02688645,0.009304029,0.0005128205,0,0,0.02131868,0,OpenPalm
0.002857143,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.08021978,0.04417583,0.02688645,0.009304029,0.0005128205,0,0,0.02131868,0,OpenPalm
0.002857143,0.04358974,0,0,0,0,0,0,0,0,OpenPalm
0.02688645,0.08021978,0.04417583,0.02688645,0.009304029,0.0005128205,0,0,0.02131868,0,OpenPalm
0.002564103,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.08051282,0.04417583,0.02688645,0.009304029,0.0005128205,0,0,0.02102564,0,OpenPalm
0.002564103,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.08021978,0.04417583,0.02688645,0.009304029,0.0005128205,0,0,0.02131868,0,OpenPalm
0.002857143,0.04358974,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.08021978,0.04388278,0.02659341,0.009010989,0.0005128205,0,0,0.02278388,0,OpenPalm
0.002564103,0.04358974,0,0,0,0,0,0,0,0,OpenPalm
0.02747253,0.08051282,0.04388278,0.02659341,0.009010989,0.0008058608,0,0,0.023663,0,OpenPalm
0.002857143,0.04358974,0,0,0,0,0,0,0,0,OpenPalm
0.02747253,0.08021978,0.0432967,0.02659341,0.009010989,0.0005128205,0,0,0.023663,0,OpenPalm
0.002564103,0.04358974,0,0,0,0,0,0,0,0,OpenPalm
0.02747253,0.08051282,0.0432967,0.02659341,0.009010989,0.0005128205,0,0,0.02336996,0,OpenPalm
0.002857143,0.04358974,0,0,0,0,0,0,0,0,OpenPalm
0.02747253,0.08021978,0.04300366,0.02630037,0.008717949,0.0008058608,0,0,0.02278388,0,OpenPalm
0.002857143,0.04300366,0,0,0,0,0,0,0,0,OpenPalm
0.02747253,0.08021978,0.04271062,0.02630037,0.008717949,0.0008058608,0,0,0.02161172,0,OpenPalm
0.002857143,0.04300366,0,0,0,0,0,0,0,0,OpenPalm
0.02747253,0.08021978,0.04300366,0.02659341,0.008717949,0.0005128205,0,0,0.02102564,0,OpenPalm
0.002564103,0.04300366,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.08021978,0.0432967,0.02659341,0.008717949,0.0005128205,0,0,0.02102564,0,OpenPalm
0.002857143,0.04358974,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.08021978,0.0432967,0.02659341,0.008717949,0.0005128205,0,0,0.02102564,0,OpenPalm
0.002564103,0.04300366,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.07992674,0.04358974,0.02659341,0.008717949,0.0005128205,0,0,0.02043956,0,OpenPalm
0.002564103,0.04300366,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.08021978,0.04358974,0.02659341,0.008717949,0.0005128205,0,0,0.02014652,0,OpenPalm
0.002564103,0.04271062,0,0,0,0,0,0,0,0,OpenPalm
0.02717949,0.07992674,0.04388278,0.02659341,0.008717949,0.0005128205,0,0,0.02014652,0,OpenPalm
