pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.332674,0.6715751,0.605641,1,0.6973627,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6967766,0.9441026,0.03772894,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.03684982,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.03684982,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.03684982,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.03684982,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.03684982,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.03684982,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06087912,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.0614652,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06175824,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06175824,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06175824,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06205128,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.06175824,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
0.1575824,0.5487912,0.5490842,1,0.6510622,0.8567765,0.0614652,0,0.6815385,0.110989,Pointing
0.332674,0.6715751,0.605641,1,0.6964836,0.9441026,0.0374359,0,0.7410256,0.3098169,Pointing
