pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.01164835,0,0.03919414,0,0.04124542,0,0.05970696,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1197803,0.005201465,0.118315,0,1,0.1117216,BigBang
0.01164835,0,0.03919414,0,0.04124542,0,0.05941392,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1203664,0.005201465,0.1189011,0,1,0.1114286,BigBang
0.01164835,0,0.03919414,0,0.04124542,0,0.05941392,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1206594,0.005201465,0.1194872,0,1,0.1114286,BigBang
0.01164835,0,0.03919414,0,0.04124542,0,0.05941392,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1224177,0.005494506,0.1221245,0,1,0.1117216,BigBang
0.01164835,0,0.03919414,0,0.04124542,0,0.05912088,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1230037,0.005787546,0.1230037,0,1,0.1114286,BigBang
0.01164835,0,0.03919414,0,0.04153846,0,0.0585348,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1235898,0.005494506,0.1232967,0,1,0.1114286,BigBang
0.01164835,0,0.03919414,0,0.0418315,0,0.0585348,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1238829,0.005787546,0.1244689,0,1,0.110696,BigBang
0.01164835,0,0.03919414,0,0.0418315,0,0.05824176,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1238829,0.005787546,0.1247619,0,1,0.1096704,BigBang
0.01164835,0,0.03919414,0,0.0418315,0,0.05824176,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1238829,0.005787546,0.1250549,0,1,0.1089378,BigBang
0.01164835,0,0.03919414,0,0.0418315,0,0.05824176,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1238829,0.005494506,0.1250549,0,1,0.1076191,BigBang
0.01164835,0,0.03919414,0,0.04153846,0,0.05794872,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1238829,0.005494506,0.1250549,0,1,0.1074726,BigBang
0.01164835,0,0.03919414,0,0.04153846,0,0.05824176,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1238829,0.005494506,0.1250549,0,1,0.107326,BigBang
0.01164835,0,0.03948718,0,0.04153846,0,0.05794872,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1238829,0.005494506,0.1250549,0,1,0.107033,BigBang
0.01164835,0,0.03948718,0,0.0418315,0,0.05824176,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1238829,0.005494506,0.1250549,0,1,0.107033,BigBang
0.01164835,0,0.03919414,0,0.04153846,0,0.05824176,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1238829,0.005494506,0.1250549,0,1,0.1074726,BigBang
0.01164835,0,0.03948718,0,0.04153846,0,0.05824176,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1238829,0.005494506,0.1250549,0,1,0.1074726,BigBang
0.01164835,0,0.03919414,0,0.0418315,0,0.05824176,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1238829,0.005494506,0.1250549,0,1,0.1074726,BigBang
0.01164835,0,0.03919414,0,0.04153846,0,0.05824176,0,1,0,BigBang
0.1742857,0,0.1212454,0,0.1238829,0.005494506,0.1250549,0,1,0.1071795,BigBang
