pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.4183883,1,0.7823443,1,1,1,0.08168498,0,0,0.02043956,HandGun
0.5942125,1,0.8216118,1,1,1,0.2665934,0.01750916,0,0.01692308,HandGun
0.4183883,1,0.7823443,1,1,1,0.08168498,0,0,0.02014652,HandGun
0.5942125,1,0.8216118,1,1,1,0.2665934,0.01750916,0,0.01692308,HandGun
0.4183883,1,0.7823443,1,1,1,0.08139194,0,0,0.02014652,HandGun
0.5942125,1,0.8216118,1,1,1,0.2665934,0.01750916,0,0.01721612,HandGun
0.4183883,1,0.7823443,1,1,1,0.08139194,0,0,0.01985348,HandGun
0.5942125,1,0.8216118,1,1,1,0.2671795,0.01750916,0,0.01750916,HandGun
0.4183883,1,0.7823443,1,1,1,0.0810989,0,0,0.01985348,HandGun
0.5942125,1,0.8216118,1,1,1,0.2680586,0.01750916,0,0.01721612,HandGun
0.4183883,1,0.7823443,1,1,1,0.0810989,0,0,0.01956044,HandGun
0.5942125,1,0.8216118,1,1,1,0.2686447,0.01750916,0,0.01721612,HandGun
0.4183883,1,0.7823443,1,1,1,0.07992674,0,0,0.0192674,HandGun
0.5942125,1,0.8216118,1,1,1,0.2698168,0.01750916,0,0.01721612,HandGun
0.4189744,1,0.7823443,1,1,1,0.07875458,0,0,0.0192674,HandGun
0.5942125,1,0.8216118,1,1,1,0.270696,0.01750916,0,0.01721612,HandGun
0.4189744,1,0.7823443,1,1,1,0.0781685,0,0,0.0192674,HandGun
0.5942125,1,0.8216118,1,1,1,0.270989,0.01750916,0,0.01721612,HandGun
0.4189744,1,0.7823443,1,1,1,0.07787546,0,0,0.01897436,HandGun
0.5942125,1,0.8216118,1,1,1,0.270989,0.01692308,0,0.01692308,HandGun
0.4189744,1,0.7823443,1,1,1,0.07787546,0,0,0.01897436,HandGun
0.5942125,1,0.8221979,1,1,1,0.2721612,0.01692308,0,0.01692308,HandGun
0.4189744,1,0.7823443,1,1,1,0.07875458,0,0,0.01868132,HandGun
0.5962638,1,0.8403664,1,1,1,0.278022,0.01692308,0,0.01692308,HandGun
0.4189744,1,0.7838095,1,1,1,0.08021978,0,0,0.01868132,HandGun
0.5991942,1,0.8465202,1,1,1,0.2841758,0.01692308,0,0.01721612,HandGun
0.4189744,1,0.7861539,1,1,1,0.08168498,0,0,0.01868132,HandGun
0.6006594,1,0.8494506,1,1,1,0.2879853,0.01692308,0,0.01721612,HandGun
0.4189744,1,0.7914286,1,1,1,0.08432234,0,0,0.01809524,HandGun
0.6018315,1,0.8506228,1,1,1,0.2915018,0.01750916,0,0.01721612,HandGun
0.4201466,1,0.7975824,1,1,1,0.08783883,0,0,0.0178022,HandGun
0.6032967,1,0.8529671,1,1,1,0.2941392,0.01750916,0,0.01721612,HandGun
0.4219048,1,0.809011,1,1,1,0.09135531,0,0,0.01809524,HandGun
0.6091575,1,0.8600001,1,1,1,0.3008791,0.01750916,0,0.01750916,HandGun
0.423077,1,0.8122345,1,1,1,0.09223443,0,0,0.01809524,HandGun
0.6091575,1,0.8600001,1,1,1,0.3008791,0.01750916,0,0.01750916,HandGun
0.4336264,1,0.8444689,1,1,1,0.1054212,0,0,0.0178022,HandGun
0.6156044,1,0.8682052,1,1,1,0.3105494,0.0178022,0,0.01809524,HandGun
0.4394872,1,0.8605861,1,1,1,0.1150916,0,0,0.0178022,HandGun
0.6205861,1,0.8755312,1,1,1,0.3167033,0.0178022,0,0.01809524,HandGun
0.4506227,1,0.8796337,1,1,1,0.1297436,0,0,0.0178022,HandGun
