pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1707692,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1707692,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1716484,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1719414,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1734066,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1742857,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6211722,1,1,1,1,1,1,1,1,0.1772161,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6214652,1,1,1,1,1,1,1,1,0.1789744,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6223443,1,1,1,1,1,1,1,1,0.1789744,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6238095,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6246886,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6258608,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,0,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,0,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
0.6252747,1,1,1,1,1,1,1,1,0.1795604,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
