pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.6106228,1,1,1,0.4699634,0.00959707,1,1,1,0.003443223,MiddleFinger
0.350989,1,0.3574359,1,1,1,0.7266667,0.692674,1,0.05267399,MiddleFinger
0.6252748,1,1,1,0.4831502,0.009304029,1,1,1,0.004322344,MiddleFinger
0.3527473,1,0.3589011,1,1,1,0.7254945,0.6967766,1,0.05296703,MiddleFinger
0.6613187,1,1,1,0.503956,0.008131868,1,1,1,0.005787546,MiddleFinger
0.3547985,1,0.3618315,1,1,1,0.7322344,0.7278388,1,0.05355311,MiddleFinger
0.6724542,1,1,1,0.5177289,0.007838828,1,1,1,0.006080586,MiddleFinger
0.3589011,1,0.3697436,1,1,1,0.7518681,0.7565567,1,0.05443224,MiddleFinger
0.7090843,1,1,1,0.5540659,0.006959707,1,1,1,0.007838828,MiddleFinger
0.3603663,1,0.3709157,1,1,1,0.7609524,0.7632967,1,0.05560439,MiddleFinger
0.7366301,1,1,1,0.58337,0.005787546,1,1,1,0.01076923,MiddleFinger
0.3706227,1,0.3829304,1,1,1,0.7999268,0.7934799,1,0.05736264,MiddleFinger
0.7495239,1,1,1,0.5863004,0.005494506,1,1,1,0.01164835,MiddleFinger
0.3756044,1,0.3911355,1,1,1,0.809011,0.7993407,1,0.05882784,MiddleFinger
0.7612455,1,1,1,0.5880586,0.004908425,1,1,1,0.01340659,MiddleFinger
0.3770696,1,0.3926007,1,1,1,0.8157509,0.801392,1,0.06117216,MiddleFinger
0.7668132,1,1,1,0.5904029,0.004615385,1,1,1,0.01399267,MiddleFinger
0.3773626,1,0.3940659,1,1,1,0.8192674,0.8063737,1,0.06205128,MiddleFinger
0.7838095,1,1,1,0.5971429,0.004322344,1,1,1,0.016337,MiddleFinger
0.3829304,1,0.4066667,1,1,1,0.8356777,0.8110623,1,0.06849817,MiddleFinger
