pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02688645,0.4638095,0.02454212,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02688645,0.4638095,0.02424908,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05443224,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02688645,0.4638095,0.02424908,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05443224,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02659341,0.4638095,0.02424908,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02659341,0.4638095,0.02454212,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02659341,0.4638095,0.02424908,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02659341,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02600733,0.4638095,0.02424908,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02600733,0.4638095,0.02424908,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02600733,0.4638095,0.02424908,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02571429,0.4638095,0.02424908,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02571429,0.4638095,0.02424908,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02571429,0.4638095,0.02424908,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02542125,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05443224,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02571429,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02542125,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02542125,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02542125,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02542125,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.0251282,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05443224,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.006080586,0.3802931,0.0251282,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.0251282,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02483517,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02483517,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02483517,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02483517,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.006080586,0.3802931,0.02483517,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02454212,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02454212,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02454212,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02454212,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02424908,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02424908,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02424908,0.4638095,0.02307692,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02424908,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05355311,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02424908,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02395604,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02395604,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.02395604,0.4638095,0.02307692,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05355311,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.023663,0.4638095,0.023663,Nothing
0.1482051,0.2507693,0.2217582,0.2148718,1,1,0.3313553,0.1484982,0.5136264,0.05413919,Nothing
0.1816117,0.4101832,0.2132601,0.1291575,0.2223443,0.005787546,0.3802931,0.023663,0.4638095,0.02307692,Nothing
