pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0,0.04593407,0,0,0,0,0,0,0,0,OpenPalm
0.01164835,0.05384615,0.005201465,0.04564103,1,1,0,0,0.118022,0.04388278,OpenPalm
0,0.04564103,0,0,0,0,0,0,0,0,OpenPalm
0.01135531,0.05384615,0.005201465,0.04564103,1,1,0,0,0.118022,0.04358974,OpenPalm
0,0.04564103,0,0,0,0,0,0,0,0,OpenPalm
0.01106227,0.05355311,0.005201465,0.04564103,1,1,0,0,0.118022,0.0432967,OpenPalm
0,0.04564103,0,0,0,0,0,0,0,0,OpenPalm
0.01018315,0.05384615,0.005494506,0.04534798,1,1,0,0,0.118022,0.0432967,OpenPalm
0,0.04534798,0,0,0,0,0,0,0,0,OpenPalm
0.008717949,0.05384615,0.005787546,0.04564103,1,1,0,0,0.118022,0.0432967,OpenPalm
0,0.04534798,0,0,0,0,0,0,0,0,OpenPalm
0.00959707,0.05384615,0.005787546,0.04564103,1,1,0,0,0.118022,0.04300366,OpenPalm
0,0.04505495,0,0,0,0,0,0,0,0,OpenPalm
0.008424909,0.05384615,0.006080586,0.04534798,1,1,0,0,0.118022,0.04271062,OpenPalm
0,0.04505495,0,0,0,0,0,0,0,0,OpenPalm
0.007838828,0.05443224,0.006080586,0.04534798,1,1,0,0,0.118022,0.04271062,OpenPalm
0,0.04505495,0,0,0,0,0,0,0,0,OpenPalm
0.006959707,0.05472527,0.006080586,0.04534798,1,1,0,0,0.118022,0.04271062,OpenPalm
0,0.0447619,0,0,0,0,0,0,0,0,OpenPalm
0.006373626,0.05472527,0.005787546,0.04505495,1,1,0,0,0.118022,0.04241758,OpenPalm
0,0.0447619,0,0,0,0,0,0,0,0,OpenPalm
0.006080586,0.05443224,0.006080586,0.04505495,1,1,0,0,0.118022,0.04212454,OpenPalm
0,0.0447619,0,0,0,0,0,0,0,0,OpenPalm
0.005787546,0.05443224,0.006080586,0.04505495,1,1,0,0,0.118022,0.04212454,OpenPalm
0,0.04446886,0,0,0,0,0,0,0,0,OpenPalm
0.005494506,0.05443224,0.006080586,0.04505495,1,1,0,0,0.118022,0.04212454,OpenPalm
0,0.04446886,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05472527,0.006080586,0.04505495,1,1,0,0,0.118022,0.0418315,OpenPalm
0,0.04446886,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05472527,0.006080586,0.04505495,1,1,0,0,0.118022,0.04153846,OpenPalm
0,0.04446886,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05472527,0.006080586,0.04505495,1,1,0,0,0.118022,0.0418315,OpenPalm
0,0.04417583,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05472527,0.006080586,0.04505495,1,1,0,0,0.118022,0.04124542,OpenPalm
0,0.04417583,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05501831,0.006080586,0.0447619,1,1,0,0,0.118022,0.04153846,OpenPalm
0,0.04417583,0,0,0,0,0,0,0,0,OpenPalm
0.004615385,0.05472527,0.006080586,0.04505495,1,1,0,0,0.118022,0.04124542,OpenPalm
0,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.004615385,0.05472527,0.006080586,0.0447619,1,1,0,0,0.118022,0.04124542,OpenPalm
0,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.004615385,0.05472527,0.006080586,0.0447619,1,1,0,0,0.118022,0.04095238,OpenPalm
0,0.04388278,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05472527,0.006080586,0.0447619,1,1,0,0,0.118022,0.04124542,OpenPalm
0,0.04358974,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05472527,0.006080586,0.0447619,1,1,0,0,0.118022,0.04095238,OpenPalm
0,0.04358974,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05501831,0.006080586,0.0447619,1,1,0,0,0.118022,0.04065934,OpenPalm
0,0.04300366,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05501831,0.006080586,0.04446886,1,1,0,0,0.118022,0.04065934,OpenPalm
0,0.04300366,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05501831,0.006080586,0.0447619,1,1,0,0,0.118022,0.04065934,OpenPalm
0,0.04300366,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05501831,0.006373626,0.0447619,1,1,0,0,0.118022,0.04095238,OpenPalm
0.0002197802,0.04300366,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05472527,0.006373626,0.0447619,1,1,0,0,0.118022,0.04065934,OpenPalm
0.0002197802,0.04300366,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05501831,0.006666667,0.04446886,1,1,0,0,0.118022,0.04065934,OpenPalm
0.0002197802,0.04300366,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05501831,0.006666667,0.04446886,1,1,0,0,0.118022,0.0403663,OpenPalm
0.0002197802,0.04271062,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05501831,0.006666667,0.04446886,1,1,0,0,0.118022,0.0403663,OpenPalm
0.0002197802,0.04271062,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05560439,0.006666667,0.04446886,1,1,0,0,0.118022,0.0403663,OpenPalm
0.0002197802,0.04271062,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05589744,0.006666667,0.04446886,1,1,0,0,0.118022,0.0403663,OpenPalm
0.0002197802,0.04271062,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05619048,0.006666667,0.04446886,1,1,0,0,0.118022,0.04007326,OpenPalm
0.0002197802,0.04241758,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05619048,0.006666667,0.04446886,1,1,0,0,0.118022,0.04007326,OpenPalm
0.0002197802,0.04271062,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05619048,0.006666667,0.04417583,1,1,0,0,0.118022,0.04007326,OpenPalm
0.0002197802,0.04241758,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05619048,0.006666667,0.04417583,1,1,0,0,0.118022,0.03978022,OpenPalm
0.0002197802,0.04241758,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05619048,0.006666667,0.04417583,1,1,0,0,0.118022,0.04007326,OpenPalm
0.0002197802,0.04241758,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05619048,0.006666667,0.04417583,1,1,0,0,0.118022,0.03978022,OpenPalm
0.0002197802,0.04241758,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05619048,0.006666667,0.04417583,1,1,0,0,0.118022,0.03978022,OpenPalm
0.0002197802,0.04241758,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05619048,0.006666667,0.04417583,1,1,0,0,0.118022,0.03978022,OpenPalm
0.0002197802,0.04212454,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05619048,0.006959707,0.04417583,1,1,0,0,0.118022,0.03948718,OpenPalm
0.0002197802,0.04241758,0,0,0,0,0,0,0,0,OpenPalm
0.004908425,0.05619048,0.006959707,0.04417583,1,1,0,0,0.118022,0.03948718,OpenPalm
0.0002197802,0.04212454,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05619048,0.006959707,0.04417583,1,1,0,0,0.118022,0.03948718,OpenPalm
0.0002197802,0.04212454,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05619048,0.007545787,0.04417583,1,1,0,0,0.118022,0.03948718,OpenPalm
0.0002197802,0.04212454,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05619048,0.006959707,0.04417583,1,1,0,0,0.118022,0.03948718,OpenPalm
0.0002197802,0.04212454,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05648352,0.007545787,0.04417583,1,1,0,0,0.118022,0.0389011,OpenPalm
0.0002197802,0.04212454,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05619048,0.007545787,0.04417583,1,1,0,0,0.118022,0.0389011,OpenPalm
0.0002197802,0.0418315,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05619048,0.007545787,0.04417583,1,1,0,0,0.118022,0.0389011,OpenPalm
0.0002197802,0.0418315,0,0,0,0,0,0,0,0,OpenPalm
0.005494506,0.05619048,0.007545787,0.04358974,1,1,0,0,0.118022,0.0389011,OpenPalm
0.0002197802,0.0418315,0,0,0,0,0,0,0,0,OpenPalm
0.005494506,0.05619048,0.007545787,0.04358974,1,1,0,0,0.118022,0.03860806,OpenPalm
0.0002197802,0.0418315,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05648352,0.007545787,0.04358974,1,1,0,0,0.118022,0.0389011,OpenPalm
0.0002197802,0.0418315,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05648352,0.007545787,0.04358974,1,1,0,0,0.118022,0.03860806,OpenPalm
0.0002197802,0.0418315,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05648352,0.007545787,0.04358974,1,1,0,0,0.118022,0.03860806,OpenPalm
0.0002197802,0.04153846,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05648352,0.007545787,0.04358974,1,1,0,0,0.118022,0.03831502,OpenPalm
0.0002197802,0.04153846,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05648352,0.007545787,0.04358974,1,1,0,0,0.118022,0.03860806,OpenPalm
0.0002197802,0.04153846,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05648352,0.007545787,0.04358974,1,1,0,0,0.118022,0.03831502,OpenPalm
0.0002197802,0.04153846,0,0,0,0,0,0,0,0,OpenPalm
0.005201465,0.05648352,0.007545787,0.0432967,1,1,0,0,0.118022,0.03860806,OpenPalm
0.0002197802,0.04124542,0,0,0,0,0,0,0,0,OpenPalm
