pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.1780952,1,0.4189744,1,0.6355311,1,0.05003663,0,1,1,Pointing
0.2627839,0.8755311,0.3996337,1,1,1,0.02336996,0,1,0.4157509,Pointing
0.1780952,1,0.4189744,1,0.6355311,1,0.05062271,0,1,1,Pointing
0.2580952,0.8755311,0.3996337,1,1,1,0.02483517,0,1,0.4242491,Pointing
0.1780952,1,0.4189744,1,0.6364102,1,0.05120879,0,1,1,Pointing
0.168718,0.8755311,0.3996337,1,1,1,0.02542125,0,1,0.4324542,Pointing
0.1780952,1,0.4189744,1,0.6361172,1,0.05238095,0,1,1,Pointing
0.1898168,0.8210257,0.3996337,1,1,1,0.02571429,0,1,0.4362637,Pointing
0.1786813,1,0.4189744,1,0.6355311,1,0.05326007,0,1,1,Pointing
0.1898168,0.8210257,0.3996337,1,1,1,0.02571429,0,1,0.4362637,Pointing
0.1819048,1,0.4198535,1,0.6355311,1,0.05384615,0,1,1,Pointing
0.1754579,0.8166301,0.3996337,1,1,1,0.02542125,0,1,0.4330403,Pointing
0.1947985,1,0.4292308,1,0.6384615,1,0.05765568,0,1,1,Pointing
0.1694506,0.8154579,0.3996337,1,1,1,0.02542125,0,1,0.4258608,Pointing
0.2185348,1,0.4430037,1,0.6610256,1,0.06205128,0,1,1,Pointing
0.1754579,0.8154579,0.3996337,1,1,1,0.02542125,0,1,0.4258608,Pointing
0.2396337,1,0.4538462,1,0.6797802,1,0.06468865,0,1,1,Pointing
0.1936264,0.8154579,0.3996337,1,1,1,0.02571429,0,1,0.4264469,Pointing
0.2534066,1,0.4626374,1,0.6985348,1,0.06879121,0,1,1,Pointing
0.1738462,0.8154579,0.3996337,1,1,1,0.02483517,0,1,0.4238095,Pointing
0.2545788,1,0.4638095,1,0.700293,1,0.06908425,0,1,1,Pointing
0.2002198,0.8154579,0.3996337,1,1,1,0.02424908,0,1,0.4238095,Pointing
0.2551648,1,0.4623443,1,0.6964835,1,0.06937729,0,1,1,Pointing
0.2095971,0.8154579,0.3996337,1,1,1,0.023663,0,1,0.4238095,Pointing
0.2528205,1,0.4608791,1,0.692674,1,0.06820513,0,1,1,Pointing
0.2365568,0.8154579,0.3996337,1,1,1,0.02336996,0,1,0.4238095,Pointing
0.2528205,1,0.4608791,1,0.692674,1,0.06732601,0,1,1,Pointing
0.2293773,0.8154579,0.401685,1,1,1,0.02278388,0,1,0.4238095,Pointing
0.2528205,1,0.4608791,1,0.7008792,1,0.06703297,0,1,1,Pointing
0.256337,0.8154579,0.4057875,1,1,1,0.02278388,0,1,0.4238095,Pointing
0.25663,1,0.4646887,1,0.7169964,1,0.06673992,0,1,1,Pointing
0.2531136,0.8154579,0.409597,1,1,1,0.02307692,0,1,0.4229304,Pointing
0.2633699,1,0.4682051,1,0.7345788,1,0.06673992,0,1,1,Pointing
0.2964835,0.816337,0.4122344,1,1,1,0.023663,0,1,0.4229304,Pointing
0.2671795,1,0.4696703,1,0.7416117,1,0.06644689,0,1,0.9631502,Pointing
0.238022,0.8183883,0.4139926,1,1,1,0.02424908,0,1,0.4229304,Pointing
0.2683516,1,0.4682051,1,0.7460073,1,0.06644689,0,1,0.9285714,Pointing
0.2255678,0.8210256,0.41663,1,1,1,0.02571429,0,1,0.4229304,Pointing
0.2674725,1,0.4682051,1,0.743663,1,0.06703297,0,1,0.8998535,Pointing
0.2144322,0.8210256,0.416337,1,1,1,0.02630037,0,1,0.4138461,Pointing
0.2674725,1,0.4682051,1,0.743663,1,0.06732601,0,1,0.8898901,Pointing
0.2337729,0.8207326,0.4157509,1,1,1,0.02630037,0,1,0.3933333,Pointing
0.2674725,1,0.4682051,1,0.743663,1,0.06732601,0,1,0.8723077,Pointing
0.2463736,0.8207326,0.4157509,1,1,1,0.02630037,0,1,0.3782417,Pointing
0.2674725,1,0.4682051,1,0.7287179,1,0.06820513,0,1,0.8561905,Pointing
0.3334066,0.8207326,0.4157509,1,1,1,0.02630037,0,1,0.3750183,Pointing
0.2674725,1,0.4682051,1,0.7287179,1,0.06879121,0,1,0.8254213,Pointing
0.3252015,0.8207326,0.416337,1,1,1,0.02630037,0,1,0.3750183,Pointing
0.2674725,1,0.4682051,1,0.7287179,1,0.06908425,0,1,0.7826374,Pointing
0.321685,0.8207326,0.416337,1,1,1,0.02630037,0,1,0.3750183,Pointing
0.2674725,1,0.4682051,1,0.7310623,1,0.06937729,0,1,0.7571428,Pointing
0.2091575,0.8207326,0.416337,1,1,1,0.02630037,0,1,0.3666667,Pointing
0.2674725,1,0.4682051,1,0.7348718,1,0.07025641,0,1,0.7298901,Pointing
0.3281319,0.8207326,0.416337,1,1,1,0.02630037,0,1,0.3539194,Pointing
0.2674725,1,0.4682051,1,0.7331135,1,0.07084249,0,1,0.7128938,Pointing
0.292674,0.8207326,0.416337,1,1,1,0.02630037,0,1,0.3495238,Pointing
0.2674725,1,0.4682051,1,0.7313553,1,0.07260073,0,1,0.6721612,Pointing
0.2598535,0.8207326,0.416337,1,1,1,0.02600733,0,1,0.3439561,Pointing
0.2674725,1,0.4682051,1,0.7313553,1,0.07260073,0,1,0.6616117,Pointing
0.2598535,0.8207326,0.416337,1,1,1,0.02600733,0,1,0.3439561,Pointing
0.2674725,1,0.4682051,1,0.7313553,1,0.07347985,0,1,0.6161905,Pointing
0.2621978,0.8207326,0.416337,1,1,1,0.02600733,0,1,0.3439561,Pointing
0.2674725,1,0.4682051,1,0.7313553,1,0.07347985,0,1,0.598315,Pointing
0.2437363,0.8207326,0.416337,1,1,1,0.02571429,0,1,0.3353114,Pointing
0.2674725,1,0.4682051,1,0.7313553,1,0.07377289,0,1,0.5783883,Pointing
0.2267399,0.8207326,0.416337,1,1,1,0.02542125,0,1,0.3193406,Pointing
0.2674725,1,0.4682051,1,0.7322345,1,0.07406593,0,1,0.5317948,Pointing
0.1678388,0.8207326,0.416337,1,1,1,0.02483517,0,1,0.3023443,Pointing
0.2674725,1,0.4682051,1,0.7322345,1,0.07377289,0,1,0.5200732,Pointing
0.2361172,0.8207326,0.416337,1,1,1,0.02483517,0,1,0.2956044,Pointing
0.2674725,1,0.4682051,1,0.7328205,1,0.07377289,0,1,0.4752381,Pointing
0.1734066,0.8207326,0.416337,1,1,1,0.02483517,0,1,0.2871062,Pointing
0.2674725,1,0.4682051,1,0.7328205,0.9997069,0.07347985,0,1,0.4520879,Pointing
0.2293773,0.8207326,0.416337,1,1,1,0.02483517,0,1,0.2786081,Pointing
0.2674725,1,0.4682051,1,0.7328205,0.9997069,0.07347985,0,1,0.416044,Pointing
0.2588278,0.8207326,0.416337,1,1,1,0.0251282,0,1,0.2695238,Pointing
0.2674725,1,0.4682051,1,0.7328205,0.9997069,0.07347985,0,1,0.3905495,Pointing
0.2235165,0.8207326,0.416337,1,1,1,0.0251282,0,1,0.2510623,Pointing
0.2674725,1,0.4682051,1,0.7328205,0.9997069,0.07318681,0,1,0.3779487,Pointing
0.2132601,0.8207326,0.416337,1,1,1,0.0251282,0,1,0.2452015,Pointing
0.2674725,1,0.4682051,1,0.7328205,1,0.07289378,0,1,0.3457143,Pointing
0.2223443,0.8207326,0.416337,1,1,1,0.02542125,0,1,0.2326007,Pointing
0.2674725,1,0.4682051,1,0.7328205,1,0.07260073,0,1,0.3269597,Pointing
0.1778022,0.8207326,0.416337,1,1,1,0.02542125,0,1,0.2249817,Pointing
0.2674725,1,0.4682051,1,0.7328205,1,0.07201465,0,1,0.3041026,Pointing
0.1901099,0.8207326,0.416337,1,1,1,0.02542125,0,1,0.2147253,Pointing
0.2674725,1,0.4682051,1,0.7328205,1,0.07201465,0,1,0.2815385,Pointing
0.3310623,0.8207326,0.416337,1,1,1,0.02600733,0,1,0.2059341,Pointing
0.2674725,1,0.4682051,1,0.7328205,1,0.07172161,0,1,0.2739194,Pointing
0.3038095,0.8207326,0.416337,1,1,1,0.02659341,0,1,0.2021245,Pointing
0.2674725,1,0.4682051,1,0.7328205,1,0.07084249,0,1,0.2575092,Pointing
0.33663,0.8207326,0.416337,1,1,1,0.02864469,0,1,0.1945055,Pointing
0.2674725,1,0.4682051,1,0.7328205,1,0.06996337,0,1,0.2446154,Pointing
0.2170696,0.8207326,0.416337,1,1,1,0.03040293,0,1,0.1880586,Pointing
0.2674725,1,0.4682051,1,0.7328205,1,0.06967033,0,1,0.2326007,Pointing
0.3193406,0.8207326,0.416337,1,1,1,0.03362637,0,1,0.1807326,Pointing
0.2674725,1,0.4682051,1,0.7149451,1,0.06996337,0,1,0.220293,Pointing
0.168718,0.8207326,0.416337,1,1,1,0.03684982,0,1,0.1751648,Pointing
0.2674725,1,0.4682051,1,0.6956044,1,0.07054945,0,1,0.2164835,Pointing
0.1605128,0.8207326,0.416337,1,1,1,0.03802198,0,1,0.1745788,Pointing
0.2674725,1,0.4682051,1,0.670989,1,0.07172161,0,1,0.2112088,Pointing
0.1660806,0.8207326,0.416337,1,1,1,0.0418315,0,1,0.1745788,Pointing
0.2674725,1,0.4682051,1,0.6651282,1,0.07289378,0,1,0.2071062,Pointing
0.1924542,0.8207326,0.416337,1,1,1,0.04358974,0,1,0.1745788,Pointing
0.2674725,1,0.4682051,1,0.656337,1,0.07435898,0,1,0.2044689,Pointing
0.1684249,0.8207326,0.416337,1,1,1,0.05032967,0,1,0.1745788,Pointing
0.2674725,1,0.4682051,1,0.6542857,1,0.07494505,0,1,0.2044689,Pointing
0.1950916,0.8207326,0.416337,1,1,1,0.05150183,0,1,0.1745788,Pointing
0.2674725,1,0.4682051,1,0.6501831,1,0.0767033,0,1,0.2065201,Pointing
0.1956777,0.8207326,0.416337,1,1,1,0.05384615,0,1,0.1745788,Pointing
0.2674725,1,0.4682051,1,0.6501831,1,0.0781685,0,1,0.205641,Pointing
0.1827839,0.8207326,0.416337,1,1,1,0.05501831,0,1,0.1745788,Pointing
0.2674725,1,0.4682051,1,0.6501831,1,0.07934066,0,1,0.205641,Pointing
0.1886447,0.8207326,0.416337,1,1,1,0.05765568,0,1,0.1745788,Pointing
0.2674725,1,0.4682051,1,0.6501831,1,0.08227106,0,1,0.205641,Pointing
