pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.04212454,0.08783883,0.01369963,0,0,0.0570696,0.06820513,0,0.3846887,0.004322344,Choke
0.03714286,0.01135531,0.01047619,0.007252747,0,0.003150183,0.07347985,0,0.5153846,0.05501831,Choke
0.04212454,0.08783883,0.01369963,0,0,0.0570696,0.06820513,0,0.3846887,0.004322344,Choke
0.03714286,0.01106227,0.01047619,0.006959707,0,0.003150183,0.07318681,0,0.518315,0.05648352,Choke
0.04153846,0.08666667,0.01340659,0,0,0.05589744,0.06703297,0,0.387326,0.006080586,Choke
0.03684982,0.01076923,0.00989011,0.006666667,0,0.002564103,0.07230769,0,0.5212454,0.05882784,Choke
0.04124542,0.08608059,0.01282051,0,0,0.05443224,0.06673992,0,0.387033,0.006666667,Choke
0.03655678,0.01076923,0.00959707,0.006666667,0,0.002564103,0.07230769,0,0.5174359,0.0585348,Choke
0.04124542,0.08578754,0.01282051,0,0,0.05384615,0.06673992,0,0.38674,0.006666667,Choke
0.03655678,0.01076923,0.00959707,0.006666667,0,0.002564103,0.07230769,0,0.5174359,0.0585348,Choke
0.0403663,0.08520146,0.01252747,0,0,0.05296703,0.06644689,0,0.3846887,0.006666667,Choke
0.03655678,0.01076923,0.009304029,0.006373626,0,0.002564103,0.07172161,0,0.4972161,0.05677656,Choke
0.04007326,0.08490843,0.01223443,0,0,0.05267399,0.06644689,0,0.3846887,0.006373626,Choke
0.03626374,0.01018315,0.008717949,0.005787546,0,0.002271062,0.07084249,0,0.4723077,0.05355311,Choke
0.04007326,0.08490843,0.01223443,0,0,0.05238095,0.06615385,0,0.3846887,0.005787546,Choke
0.03626374,0.01018315,0.009010989,0.005494506,0,0.002271062,0.07054945,0,0.4638095,0.05267399,Choke
0.03978022,0.08432234,0.01194139,0,0,0.05208791,0.06644689,0,0.3615385,0.004322344,Choke
0.0359707,0.01018315,0.008424909,0.004615385,0,0.001684982,0.06937729,0,0.4409524,0.05032967,Choke
0.03948718,0.08490843,0.01194139,0,0,0.05208791,0.06644689,0,0.3547985,0.003150183,Choke
0.03538461,0.01018315,0.008424909,0.004322344,0,0.001684982,0.06879121,0,0.4274725,0.04857143,Choke
0.03919414,0.08490843,0.01194139,0,0,0.05179487,0.06673992,0,0.3498169,0.002271062,Choke
0.03538461,0.00989011,0.008131868,0.004029304,0,0.001684982,0.06820513,0,0.4154579,0.04681319,Choke
0.03919414,0.08490843,0.01164835,0,0,0.05120879,0.06732601,0,0.3474725,0.001391941,Choke
