pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,1,1,1,1,1,1,0.5830769,Fist
1,1,1,1,1,1,1,1,1,0.7539194,Fist
1,1,1,1,1,1,1,1,1,0.5405861,Fist
1,1,1,1,1,1,1,1,1,0.7539194,Fist
1,1,1,1,1,1,1,1,1,0.4983883,Fist
1,1,1,1,1,1,1,1,1,0.7539194,Fist
1,1,1,1,1,1,1,1,1,0.4558975,Fist
1,1,1,1,1,1,1,1,1,0.6730403,Fist
1,1,1,1,1,1,1,1,1,0.4043224,Fist
1,1,1,1,1,1,1,1,1,0.6730403,Fist
1,1,1,1,1,1,1,1,1,0.3855678,Fist
1,1,1,1,1,1,1,1,1,0.6730403,Fist
1,1,1,1,1,1,1,1,1,0.3577289,Fist
1,1,1,1,1,1,1,1,1,0.6038828,Fist
1,1,1,1,1,1,1,1,1,0.350989,Fist
1,1,1,1,1,1,1,1,1,0.6038828,Fist
1,1,1,1,1,1,1,1,1,0.3460073,Fist
1,1,1,1,1,1,1,1,1,0.5145055,Fist
1,1,1,1,1,1,1,1,1,0.3386813,Fist
1,1,1,1,1,1,1,1,1,0.5145055,Fist
1,1,1,1,1,1,1,1,1,0.3240293,Fist
1,1,1,1,1,1,1,1,1,0.5145055,Fist
1,1,1,1,1,1,1,1,1,0.3052747,Fist
1,1,1,1,1,1,1,1,1,0.4840293,Fist
1,1,1,1,1,1,1,1,1,0.2803663,Fist
1,1,1,1,1,1,1,1,1,0.4840293,Fist
1,1,1,1,1,1,1,1,1,0.2619048,Fist
1,1,1,1,1,1,1,1,1,0.4840293,Fist
1,1,1,1,1,1,1,1,1,0.2601465,Fist
1,1,1,1,1,1,1,1,1,0.4852015,Fist
1,1,1,1,1,1,1,1,1,0.2519414,Fist
1,1,1,1,1,1,1,1,1,0.4852015,Fist
1,1,1,1,1,1,1,1,1,0.2525275,Fist
1,1,1,1,1,1,1,1,1,0.4852015,Fist
1,1,1,1,1,1,1,1,1,0.2525275,Fist
1,1,1,1,1,1,1,1,1,0.7703297,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.7703297,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.7249084,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.7249084,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.7249084,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.6894506,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.6894506,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.6894506,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.6736264,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.6736264,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.6736264,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.6736264,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.6736264,Fist
1,1,1,1,1,1,1,1,1,0.2465201,Fist
1,1,1,1,1,1,1,1,1,0.6736264,Fist
1,1,1,1,1,1,1,1,1,0.1874725,Fist
1,1,1,1,1,1,1,1,1,0.6736264,Fist
1,1,1,1,1,1,1,1,1,0.1731136,Fist
1,1,1,1,1,1,1,1,1,0.6736264,Fist
1,1,1,1,1,1,1,1,1,0.1698901,Fist
1,1,1,1,1,1,1,1,1,0.6695238,Fist
1,1,1,1,1,1,1,1,1,0.1608059,Fist
1,1,1,1,1,1,1,1,1,0.6695238,Fist
1,1,1,1,1,1,1,1,1,0.1558242,Fist
1,1,1,1,1,1,1,1,1,0.6539927,Fist
1,1,1,1,1,1,1,1,1,0.1537729,Fist
1,1,1,1,1,1,1,1,1,0.6539927,Fist
1,1,1,1,1,1,1,1,1,0.1537729,Fist
1,1,1,1,1,1,1,1,1,0.6539927,Fist
1,1,1,1,1,1,1,1,1,0.1537729,Fist
1,1,1,1,1,1,1,1,1,0.6032966,Fist
1,1,1,1,1,1,1,1,1,0.1537729,Fist
1,1,1,1,1,1,1,1,1,0.6032966,Fist
1,1,1,1,1,1,1,1,1,0.1537729,Fist
1,1,1,1,1,1,1,1,1,0.6032966,Fist
1,1,1,1,1,1,1,1,1,0.1537729,Fist
1,1,1,1,1,1,1,1,1,0.4682051,Fist
1,1,1,1,1,1,1,1,1,0.1537729,Fist
1,1,1,1,1,1,1,1,1,0.4682051,Fist
1,1,1,1,1,1,1,1,1,0.1537729,Fist
1,1,1,1,1,1,1,1,1,0.4682051,Fist
1,1,1,1,1,1,1,1,1,0.1191941,Fist
1,1,1,1,1,1,1,1,1,0.3914286,Fist
1,1,1,1,1,1,1,1,1,0.1086447,Fist
1,1,1,1,1,1,1,1,1,0.3914286,Fist
1,1,1,1,1,1,1,1,1,0.09985348,Fist
1,1,1,1,1,1,1,1,1,0.3134798,Fist
1,1,1,1,1,1,1,1,1,0.09457876,Fist
1,1,1,1,1,1,1,1,1,0.3134798,Fist
1,1,1,1,1,1,1,1,1,0.09194139,Fist
1,1,1,1,1,1,1,1,1,0.3134798,Fist
1,1,1,1,1,1,1,1,1,0.08754579,Fist
1,1,1,1,1,1,1,0.9575458,1,0.285641,Fist
1,1,1,1,1,1,1,1,1,0.07758242,Fist
1,1,1,1,1,1,1,0.9575458,1,0.285641,Fist
1,1,1,1,1,1,1,1,1,0.07289378,Fist
1,1,1,1,1,1,1,0.9575458,1,0.285641,Fist
1,1,1,1,1,1,1,1,1,0.06644689,Fist
1,1,1,1,1,1,1,0.932674,1,0.263956,Fist
1,1,1,1,1,1,1,1,1,0.06205128,Fist
1,1,1,1,1,1,1,0.932674,1,0.263956,Fist
1,1,1,1,1,1,1,1,1,0.05765568,Fist
1,1,1,1,1,1,1,0.932674,1,0.263956,Fist
1,1,1,1,1,1,1,1,1,0.05501831,Fist
1,1,1,1,1,1,1,0.932674,1,0.263956,Fist
1,1,1,1,1,1,1,1,1,0.05355311,Fist
1,1,1,1,1,1,1,0.932674,1,0.263956,Fist
1,1,1,1,1,1,1,1,1,0.05267399,Fist
1,1,1,1,1,1,1,0.932674,1,0.263956,Fist
1,1,1,1,1,1,1,1,1,0.05150183,Fist
1,1,1,1,1,1,1,0.9153846,1,0.2349451,Fist
1,1,1,1,1,1,1,1,1,0.05062271,Fist
1,1,1,1,1,1,1,0.9153846,1,0.2349451,Fist
1,1,1,1,1,1,1,1,1,0.05091575,Fist
1,1,1,1,1,1,1,0.9065934,1,0.2044689,Fist
1,1,1,1,1,1,1,1,1,0.05032967,Fist
1,1,1,1,1,1,1,0.9065934,1,0.2044689,Fist
1,1,1,1,1,1,1,1,1,0.05062271,Fist
1,1,1,1,1,1,1,0.9065934,1,0.2044689,Fist
1,1,1,1,1,1,1,1,1,0.05120879,Fist
1,1,1,1,1,1,1,0.8942857,1,0.1637363,Fist
1,1,1,1,1,1,1,1,1,0.05296703,Fist
1,1,1,1,1,1,1,0.8942857,1,0.1637363,Fist
1,1,1,1,1,1,1,1,1,0.05413919,Fist
1,1,1,1,1,1,1,0.8778754,1,0.154652,Fist
1,1,1,1,1,1,1,1,1,0.05560439,Fist
1,1,1,1,1,1,1,0.8778754,1,0.154652,Fist
1,1,1,1,1,1,1,1,1,0.05619048,Fist
1,1,1,1,1,1,1,0.8778754,1,0.154652,Fist
1,1,1,1,1,1,1,1,1,0.06058608,Fist
1,1,1,1,1,1,1,0.8778754,1,0.154652,Fist
1,1,1,1,1,1,1,1,1,0.06058608,Fist
1,1,1,1,1,1,1,0.8802198,1,0.1610989,Fist
1,1,1,1,1,1,1,1,1,0.05970696,Fist
1,1,1,1,1,1,1,0.8802198,1,0.1610989,Fist
1,1,1,1,1,1,1,1,1,0.05824176,Fist
1,1,1,1,1,1,1,0.8957509,1,0.1801465,Fist
1,1,1,1,1,1,1,1,1,0.05677656,Fist
1,1,1,1,1,1,1,0.8957509,1,0.1801465,Fist
1,1,1,1,1,1,1,1,1,0.05589744,Fist
1,1,1,1,1,1,1,0.8957509,1,0.1801465,Fist
1,1,1,1,1,1,1,1,1,0.05413919,Fist
1,1,1,1,1,1,1,0.8957509,1,0.1991941,Fist
1,1,1,1,1,1,1,1,1,0.05326007,Fist
1,1,1,1,1,1,1,0.8957509,1,0.1991941,Fist
1,1,1,1,1,1,1,1,1,0.05296703,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2170696,Fist
1,1,1,1,1,1,1,1,1,0.05296703,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2170696,Fist
1,1,1,1,1,1,1,1,1,0.05296703,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2170696,Fist
1,1,1,1,1,1,1,1,1,0.05413919,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2153113,Fist
1,1,1,1,1,1,1,1,1,0.05560439,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2153113,Fist
1,1,1,1,1,1,1,1,1,0.05677656,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2153113,Fist
1,1,1,1,1,1,1,1,1,0.05824176,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2068132,Fist
1,1,1,1,1,1,1,1,1,0.0614652,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2068132,Fist
1,1,1,1,1,1,1,1,1,0.07025641,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2068132,Fist
1,1,1,1,1,1,1,1,1,0.08080586,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2068132,Fist
1,1,1,1,1,1,1,1,1,0.09164836,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2068132,Fist
1,1,1,1,1,1,1,1,1,0.1054212,Fist
1,1,1,1,1,1,1,0.8957509,1,0.198022,Fist
1,1,1,1,1,1,1,1,1,0.1300366,Fist
1,1,1,1,1,1,1,0.8957509,1,0.198022,Fist
1,1,1,1,1,1,1,1,1,0.1391209,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2059341,Fist
1,1,1,1,1,1,1,1,1,0.1429304,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2059341,Fist
1,1,1,1,1,1,1,1,1,0.1487912,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2059341,Fist
1,1,1,1,1,1,1,1,1,0.168718,Fist
1,1,1,1,1,1,1,0.8957509,1,0.2059341,Fist
1,1,1,1,1,1,1,1,1,0.1816117,Fist
1,1,1,1,1,1,1,0.9016117,1,0.2158974,Fist
1,1,1,1,1,1,1,1,1,0.1742857,Fist
1,1,1,1,1,1,1,0.9016117,1,0.2158974,Fist
1,1,1,1,1,1,1,1,1,0.1742857,Fist
1,1,1,1,1,1,1,0.9045421,1,0.2387546,Fist
1,1,1,1,1,1,1,1,1,0.1886447,Fist
1,1,1,1,1,1,1,0.9045421,1,0.2387546,Fist
1,1,1,1,1,1,1,1,1,0.2161905,Fist
1,1,1,1,1,1,1,0.9045421,1,0.2387546,Fist
1,1,1,1,1,1,1,1,1,0.2668864,Fist
1,1,1,1,1,1,1,0.8992674,1,0.2454945,Fist
1,1,1,1,1,1,1,1,1,0.3931868,Fist
1,1,1,1,1,1,1,0.8992674,1,0.2454945,Fist
1,1,1,1,1,1,1,1,1,0.4321612,Fist
1,1,1,1,1,1,1,0.8992674,1,0.2454945,Fist
1,1,1,1,1,1,1,1,1,0.4213187,Fist
1,1,1,1,1,1,1,0.8992674,1,0.2413919,Fist
1,1,1,1,1,1,1,1,1,0.3794139,Fist
1,1,1,1,1,1,1,0.8992674,1,0.2413919,Fist
1,1,1,1,1,1,1,1,1,0.3480586,Fist
1,1,1,1,1,1,1,0.8769963,1,0.2205861,Fist
1,1,1,1,1,1,1,1,1,0.3126007,Fist
1,1,1,1,1,1,1,0.8769963,1,0.2205861,Fist
1,1,1,1,1,1,1,1,1,0.3067399,Fist
1,1,1,1,1,1,1,0.8769963,1,0.2205861,Fist
1,1,1,1,1,1,1,1,1,0.2812454,Fist
1,1,1,1,1,1,1,0.8693773,1,0.2205861,Fist
1,1,1,1,1,1,1,1,1,0.2586813,Fist
1,1,1,1,1,1,1,0.8693773,1,0.2205861,Fist
1,1,1,1,1,1,1,1,1,0.227033,Fist
1,1,1,1,1,1,1,0.8693773,1,0.2205861,Fist
1,1,1,1,1,1,1,1,1,0.2021245,Fist
1,1,1,1,1,1,1,0.8693773,1,0.2205861,Fist
1,1,1,1,1,1,1,1,1,0.1936264,Fist
1,1,1,1,1,1,1,0.8693773,1,0.2205861,Fist
1,1,1,1,1,1,1,1,1,0.1821978,Fist
1,1,1,1,1,1,1,0.8693773,1,0.2205861,Fist
1,1,1,1,1,1,1,1,1,0.1716484,Fist
1,1,1,1,1,1,1,0.8693773,1,0.3410257,Fist
1,1,1,1,1,1,1,1,1,0.1587546,Fist
1,1,1,1,1,1,1,0.8693773,1,0.3410257,Fist
1,1,1,1,1,1,1,1,1,0.1569963,Fist
1,1,1,1,1,1,1,0.8693773,1,0.3410257,Fist
1,1,1,1,1,1,1,1,1,0.1593407,Fist
1,1,1,1,1,1,1,0.8693773,1,0.307326,Fist
1,1,1,1,1,1,1,1,1,0.1810256,Fist
1,1,1,1,1,1,1,0.8693773,1,0.307326,Fist
1,1,1,1,1,1,1,1,1,0.1921612,Fist
1,1,1,1,1,1,1,0.9153846,1,0.2680586,Fist
1,1,1,1,1,1,1,1,1,0.2082784,Fist
1,1,1,1,1,1,1,0.9153846,1,0.2680586,Fist
1,1,1,1,1,1,1,1,1,0.2076923,Fist
1,1,1,1,1,1,1,0.9153846,1,0.2680586,Fist
1,1,1,1,1,1,1,1,1,0.2012454,Fist
1,1,1,1,1,1,1,0.9238828,1,0.2478388,Fist
1,1,1,1,1,1,1,1,1,0.1868864,Fist
1,1,1,1,1,1,1,0.9238828,1,0.2478388,Fist
1,1,1,1,1,1,1,1,1,0.1827839,Fist
1,1,1,1,1,1,1,0.9238828,1,0.2478388,Fist
1,1,1,1,1,1,1,1,1,0.1819048,Fist
1,1,1,1,1,1,1,0.9271062,1,0.2292308,Fist
1,1,1,1,1,1,1,1,1,0.1880586,Fist
1,1,1,1,1,1,1,0.9271062,1,0.2292308,Fist
1,1,1,1,1,1,1,1,1,0.1892308,Fist
1,1,1,1,1,1,1,0.9039561,1,0.219707,Fist
1,1,1,1,1,1,1,1,1,0.1871795,Fist
1,1,1,1,1,1,1,0.9039561,1,0.219707,Fist
1,1,1,1,1,1,1,1,1,0.1871795,Fist
1,1,1,1,1,1,1,0.9039561,1,0.219707,Fist
1,1,1,1,1,1,1,1,1,0.1807326,Fist
1,1,1,1,1,1,1,0.9039561,1,0.219707,Fist
1,1,1,1,1,1,1,1,1,0.1807326,Fist
1,1,1,1,1,1,1,0.9039561,1,0.219707,Fist
1,1,1,1,1,1,1,1,1,0.1807326,Fist
1,1,1,1,1,1,1,0.9039561,1,0.219707,Fist
1,1,1,1,1,1,1,1,1,0.1807326,Fist
1,1,1,1,1,1,1,0.9039561,1,0.219707,Fist
1,1,1,1,1,1,1,1,1,0.1845421,Fist
1,1,1,1,1,1,1,0.9039561,1,0.219707,Fist
1,1,1,1,1,1,1,1,1,0.1986081,Fist
1,1,1,1,1,1,1,0.9039561,1,0.219707,Fist
1,1,1,1,1,1,1,1,1,0.205055,Fist
1,1,1,1,1,1,1,0.9039561,1,0.219707,Fist
1,1,1,1,1,1,1,1,1,0.2141392,Fist
1,1,1,1,1,1,1,0.9039561,1,0.219707,Fist
1,1,1,1,1,1,1,1,1,0.2188278,Fist
1,1,1,1,1,1,1,0.9039561,1,0.2302564,Fist
1,1,1,1,1,1,1,1,1,0.22,Fist
1,1,1,1,1,1,1,0.9039561,1,0.2302564,Fist
1,1,1,1,1,1,1,1,1,0.2081319,Fist
1,1,1,1,1,1,1,0.9039561,1,0.2249817,Fist
1,1,1,1,1,1,1,1,1,0.1986081,Fist
1,1,1,1,1,1,1,0.9039561,1,0.2249817,Fist
1,1,1,1,1,1,1,1,1,0.1860073,Fist
1,1,1,1,1,1,1,0.9039561,1,0.2249817,Fist
1,1,1,1,1,1,1,1,1,0.1821978,Fist
1,1,1,1,1,1,1,0.8844689,1,0.2085714,Fist
1,1,1,1,1,1,1,1,1,0.1780952,Fist
1,1,1,1,1,1,1,0.8844689,1,0.2085714,Fist
1,1,1,1,1,1,1,1,1,0.176044,Fist
1,1,1,1,1,1,1,0.8844689,1,0.2085714,Fist
1,1,1,1,1,1,1,1,1,0.176044,Fist
1,1,1,1,1,1,1,0.8528206,1,0.2021245,Fist
1,1,1,1,1,1,1,0.9736996,1,0.176044,Fist
1,1,1,1,1,1,1,0.8528206,1,0.2021245,Fist
1,1,1,1,1,1,1,0.9675458,1,0.1810257,Fist
1,1,1,1,1,1,1,0.8528206,1,0.2021245,Fist
1,1,1,1,1,1,1,0.9572894,1,0.2032967,Fist
1,1,1,1,1,1,1,0.8418315,1,0.2003663,Fist
1,1,1,1,1,1,1,0.9531868,1,0.2185348,Fist
1,1,1,1,1,1,1,0.8418315,1,0.2003663,Fist
1,1,1,1,1,1,1,0.9493773,1,0.227326,Fist
1,1,1,1,1,1,1,0.8327473,1,0.2082784,Fist
1,1,1,1,1,1,1,0.9405861,1,0.2372894,Fist
1,1,1,1,1,1,1,0.8327473,1,0.2082784,Fist
1,1,1,1,1,1,1,0.94,1,0.2507692,Fist
1,1,1,1,1,1,1,0.8327473,1,0.2082784,Fist
1,1,1,1,1,1,1,0.94,1,0.2821245,Fist
1,1,1,1,1,1,1,0.82337,1,0.2208791,Fist
1,1,1,1,1,1,1,0.9426373,1,0.2915018,Fist
1,1,1,1,1,1,1,0.82337,1,0.2208791,Fist
1,1,1,1,1,1,1,0.9660805,1,0.3782418,Fist
1,1,1,1,1,1,1,0.82337,1,0.2208791,Fist
1,1,1,1,1,1,1,0.9783882,1,0.3978755,Fist
1,1,1,1,1,1,1,0.8277656,1,0.2337729,Fist
1,1,1,1,1,1,1,0.9848351,1,0.3931868,Fist
1,1,1,1,1,1,1,0.8277656,1,0.2337729,Fist
1,1,1,1,1,1,1,0.9965568,1,0.3307692,Fist
