pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,1,1,1,0.3498169,0,0.02161172,0,HandGun
1,1,1,1,0.8983883,1,0.1953846,0.03274725,0.04857143,0.002857143,HandGun
1,1,1,1,1,1,0.3498169,0,0.02161172,0,HandGun
1,1,1,1,0.8983883,1,0.1953846,0.03274725,0.04857143,0.002857143,HandGun
1,1,1,1,1,1,0.3498169,0,0.02249084,0,HandGun
1,1,1,1,0.8983883,1,0.1953846,0.03274725,0.04857143,0.002857143,HandGun
1,1,1,1,1,1,0.3498169,0,0.02278388,0,HandGun
1,1,1,1,0.8983883,1,0.1962637,0.03245421,0.04915751,0.003443223,HandGun
1,1,1,1,1,1,0.3498169,0,0.02278388,0,HandGun
1,1,1,1,0.8983883,1,0.1962637,0.03245421,0.04915751,0.003443223,HandGun
1,1,1,1,1,1,0.3498169,0,0.02307692,0,HandGun
1,1,1,1,0.8983883,1,0.1950916,0.03304029,0.05003663,0.004029304,HandGun
1,1,1,1,1,1,0.3501099,0,0.023663,0,HandGun
1,1,1,1,0.8983883,1,0.1950916,0.03304029,0.05003663,0.004029304,HandGun
1,1,1,1,1,1,0.3512821,0,0.02424908,0,HandGun
1,1,1,1,0.8983883,1,0.1950916,0.03304029,0.05003663,0.004029304,HandGun
1,1,1,1,1,1,0.3539194,0,0.02424908,0,HandGun
1,1,1,1,0.8983883,1,0.1924542,0.03362637,0.05150183,0.003736264,HandGun
1,1,1,1,1,1,0.3556777,0,0.02542125,0,HandGun
1,1,1,1,0.8983883,1,0.1924542,0.03362637,0.05150183,0.003736264,HandGun
1,1,1,1,1,1,0.3591942,0,0.02600733,0,HandGun
1,1,1,1,0.8983883,1,0.1924542,0.03362637,0.05150183,0.003736264,HandGun
1,1,1,1,1,1,0.3591942,0,0.02600733,0,HandGun
1,1,1,1,0.8983883,1,0.1927473,0.03362637,0.05208791,0.004029304,HandGun
1,1,1,1,1,1,0.358022,0,0.02542125,0,HandGun
1,1,1,1,0.8983883,1,0.1927473,0.03362637,0.05208791,0.004029304,HandGun
1,1,1,1,1,1,0.358022,0,0.02542125,0,HandGun
1,1,1,1,0.8983883,1,0.1927473,0.03362637,0.05208791,0.004029304,HandGun
1,1,1,1,1,1,0.358022,0,0.02542125,0,HandGun
1,1,1,1,0.8983883,1,0.1927473,0.03362637,0.05208791,0.004029304,HandGun
1,1,1,1,1,1,0.358022,0,0.02542125,0,HandGun
1,1,1,1,0.8983883,1,0.1927473,0.03362637,0.05208791,0.004029304,HandGun
1,1,1,1,1,1,0.358022,0,0.02630037,0,HandGun
1,1,1,1,0.8983883,1,0.1933333,0.03362637,0.05150183,0.003736264,HandGun
1,1,1,1,1,1,0.358022,0,0.02688645,0,HandGun
1,1,1,1,0.8983883,1,0.1933333,0.03362637,0.05150183,0.003736264,HandGun
1,1,1,1,1,1,0.358022,0,0.02747253,0,HandGun
1,1,1,1,0.8983883,1,0.1933333,0.03362637,0.05150183,0.003736264,HandGun
1,1,1,1,1,1,0.358022,0,0.02835165,0,HandGun
1,1,1,1,0.8983883,1,0.1927473,0.03304029,0.05208791,0.003443223,HandGun
1,1,1,1,1,1,0.358022,0,0.02835165,0,HandGun
1,1,1,1,0.8983883,1,0.1927473,0.03304029,0.05208791,0.003443223,HandGun
1,1,1,1,1,1,0.358022,0,0.02952381,0,HandGun
1,1,1,1,0.8983883,1,0.1927473,0.03304029,0.05208791,0.003443223,HandGun
1,1,1,1,1,1,0.358022,0,0.02981685,0,HandGun
1,1,1,1,0.8983883,1,0.1947985,0.03421246,0.05267399,0.003736264,HandGun
1,1,1,1,1,1,0.358022,0,0.03069597,0,HandGun
1,1,1,1,0.8983883,1,0.1947985,0.03421246,0.05267399,0.003736264,HandGun
1,1,1,1,1,1,0.358022,0,0.03098901,0,HandGun
1,1,1,1,0.9083517,1,0.1953846,0.03479854,0.05267399,0.003736264,HandGun
1,1,1,1,1,1,0.358022,0,0.03157509,0,HandGun
1,1,1,1,0.9083517,1,0.1953846,0.03479854,0.05267399,0.003736264,HandGun
1,1,1,1,1,1,0.358022,0,0.03186813,0,HandGun
1,1,1,1,0.9083517,1,0.1953846,0.03479854,0.05267399,0.003736264,HandGun
1,1,1,1,1,1,0.358022,0,0.03216117,0,HandGun
1,1,1,1,0.9118682,1,0.1947985,0.03479854,0.05296703,0.004029304,HandGun
1,1,1,1,1,1,0.358022,0,0.03304029,0,HandGun
1,1,1,1,0.9118682,1,0.1947985,0.03479854,0.05296703,0.004029304,HandGun
1,1,1,1,1,1,0.358022,0,0.03333334,0,HandGun
1,1,1,1,0.9118682,1,0.198022,0.03479854,0.05413919,0.004029304,HandGun
