pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,0.7864469,0.8925275,0.04446886,1,0.5024908,0.5323809,0,MiddleFinger
1,0.9851282,1,0.7594872,1,0.0810989,1,0.6185348,0.3594872,0.02952381,MiddleFinger
1,1,1,0.7864469,0.8925275,0.04446886,1,0.5024908,0.5285714,0,MiddleFinger
1,0.9851282,1,0.7594872,1,0.0810989,1,0.6185348,0.3594872,0.02952381,MiddleFinger
1,1,1,0.7864469,0.8925275,0.04388278,1,0.5048351,0.5194872,0,MiddleFinger
1,0.9851282,1,0.7594872,1,0.0810989,1,0.6185348,0.3594872,0.02952381,MiddleFinger
1,1,1,0.7864469,0.8925275,0.0432967,1,0.5036629,0.5159707,0,MiddleFinger
1,0.9851282,1,0.7559707,1,0.07728938,1,0.6185348,0.3662271,0.02923077,MiddleFinger
1,1,1,0.7864469,0.8925275,0.04300366,1,0.5030769,0.5159707,0,MiddleFinger
1,0.9851282,1,0.7559707,1,0.07728938,1,0.6185348,0.3662271,0.02923077,MiddleFinger
1,1,1,0.7864469,0.8942857,0.04271062,1,0.5030769,0.5159707,0,MiddleFinger
1,0.9851282,1,0.7559707,1,0.07728938,1,0.6185348,0.3662271,0.02923077,MiddleFinger
1,1,1,0.7864469,0.8945788,0.04271062,1,0.5030769,0.5159707,0,MiddleFinger
1,0.9851282,1,0.7454212,1,0.07435898,1,0.5810257,0.3662271,0.02776557,MiddleFinger
1,1,1,0.7864469,0.8939927,0.04212454,1,0.5030769,0.4986813,0,MiddleFinger
1,0.9851282,1,0.7454212,1,0.07435898,1,0.5810257,0.3662271,0.02776557,MiddleFinger
1,1,1,0.7864469,0.8939927,0.0418315,1,0.5030769,0.4986813,0,MiddleFinger
1,0.9851282,1,0.7380952,1,0.07230769,1,0.5731136,0.336044,0.02542125,MiddleFinger
1,1,1,0.7864469,0.8939927,0.04153846,1,0.5030769,0.5077656,0,MiddleFinger
1,0.9851282,1,0.7380952,1,0.07230769,1,0.5731136,0.336044,0.02542125,MiddleFinger
1,1,1,0.7864469,0.8939927,0.04153846,1,0.5030769,0.518315,0,MiddleFinger
1,0.9851282,1,0.7380952,1,0.07230769,1,0.5731136,0.336044,0.02542125,MiddleFinger
1,1,1,0.787619,0.8948718,0.04124542,1,0.5027839,0.5273992,0,MiddleFinger
1,0.9851282,1,0.7339927,1,0.07113553,1,0.5698901,0.3295971,0.02454212,MiddleFinger
1,1,1,0.7867399,0.9027839,0.04095238,1,0.5016117,0.5353113,0,MiddleFinger
1,0.9851282,1,0.7339927,1,0.07113553,1,0.5698901,0.3295971,0.02454212,MiddleFinger
1,1,1,0.7867399,0.9042491,0.04095238,1,0.5016117,0.525641,0,MiddleFinger
1,0.9851282,1,0.7339927,1,0.07113553,1,0.5698901,0.3295971,0.02454212,MiddleFinger
1,1,1,0.7867399,0.90337,0.0403663,1,0.5016117,0.5162637,0,MiddleFinger
1,0.9712088,1,0.729011,1,0.07054945,1,0.5657876,0.3046886,0.02249084,MiddleFinger
1,1,1,0.7867399,0.9024909,0.04007326,1,0.5016117,0.5194872,0,MiddleFinger
1,0.9712088,1,0.729011,1,0.07054945,1,0.5657876,0.3046886,0.02249084,MiddleFinger
1,1,1,0.7867399,0.9024909,0.04007326,1,0.5016117,0.5722345,0,MiddleFinger
1,0.9712088,1,0.729011,1,0.07054945,1,0.5657876,0.3046886,0.02249084,MiddleFinger
1,1,1,0.7867399,0.8958974,0.03978022,1,0.5115751,1,0,MiddleFinger
1,0.9608059,1,0.7237363,1,0.07025641,1,0.5637363,0.2938462,0.02161172,MiddleFinger
1,1,1,0.7867399,0.8769963,0.03978022,1,0.5168498,1,0.004322344,MiddleFinger
1,0.9608059,1,0.7237363,1,0.07025641,1,0.5637363,0.2938462,0.02161172,MiddleFinger
1,1,1,0.787619,0.8772894,0.03978022,1,0.5230037,1,0.00959707,MiddleFinger
1,0.9511355,1,0.7149451,1,0.06937729,1,0.5599267,0.2821245,0.0207326,MiddleFinger
1,1,1,0.7882051,0.8808059,0.03978022,1,0.5335531,1,0.01897436,MiddleFinger
1,0.9511355,1,0.7149451,1,0.06937729,1,0.5599267,0.2821245,0.0207326,MiddleFinger
1,1,1,0.7870329,0.8790476,0.03948718,1,0.5490842,1,0.0462271,MiddleFinger
1,0.9511355,1,0.7149451,1,0.06937729,1,0.5599267,0.2821245,0.0207326,MiddleFinger
1,1,1,0.7870329,0.8790476,0.03919414,1,0.5886446,1,0.1526007,MiddleFinger
1,0.9526007,1,0.7087912,1,0.06879121,1,0.5496703,0.2832967,0.0207326,MiddleFinger
1,1,1,0.7870329,0.8790476,0.0389011,1,0.5950916,1,0.1945055,MiddleFinger
1,0.9526007,1,0.7087912,1,0.06879121,1,0.5496703,0.2832967,0.0207326,MiddleFinger
1,1,1,0.7870329,0.8790476,0.0389011,1,0.5936264,1,0.2097436,MiddleFinger
1,0.9526007,1,0.7087912,1,0.06879121,1,0.5496703,0.2832967,0.0207326,MiddleFinger
1,1,1,0.7813187,0.8790476,0.03860806,1,0.590989,1,0.2021245,MiddleFinger
1,0.9526007,1,0.7064469,1,0.06908425,1,0.5426373,0.2832967,0.0251282,MiddleFinger
1,1,1,0.7742857,0.8790476,0.03831502,1,0.590989,1,0.1971429,MiddleFinger
1,0.9526007,1,0.7064469,1,0.06908425,1,0.5426373,0.2832967,0.0251282,MiddleFinger
1,1,1,0.7742857,0.8790476,0.03831502,1,0.5968498,1,0.2252747,MiddleFinger
