pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06556777,0.3536264,0.02776557,0.4942857,0.01428571,Nothing
0.1265201,0.2032967,0.1778022,0.1285714,0.1827839,0.1004396,0.1675458,0.07084249,0.4447619,0.0585348,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06556777,0.3536264,0.02776557,0.4942857,0.01399267,Nothing
0.1265201,0.2030037,0.1778022,0.1282784,0.1830769,0.1004396,0.1675458,0.07084249,0.4438828,0.05882784,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06527472,0.3536264,0.02776557,0.4942857,0.01399267,Nothing
0.1265201,0.2030037,0.1778022,0.1282784,0.1830769,0.1004396,0.1675458,0.07084249,0.4438828,0.05882784,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06556777,0.3536264,0.02776557,0.4942857,0.01399267,Nothing
0.1265201,0.2030037,0.1778022,0.1282784,0.1830769,0.1004396,0.1675458,0.07084249,0.4438828,0.05882784,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06527472,0.3536264,0.02776557,0.4942857,0.01399267,Nothing
0.1265201,0.2030037,0.1778022,0.1279853,0.1830769,0.1004396,0.1678388,0.07113553,0.4476923,0.05912088,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06527472,0.3536264,0.02776557,0.4942857,0.01369963,Nothing
0.1265201,0.2030037,0.1778022,0.1279853,0.1830769,0.1004396,0.1678388,0.07113553,0.4476923,0.05912088,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06527472,0.3536264,0.02776557,0.4942857,0.01428571,Nothing
0.1265201,0.2024176,0.1778022,0.1279853,0.1830769,0.1004396,0.1681319,0.07113553,0.4561905,0.06029304,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06527472,0.3536264,0.02776557,0.4942857,0.01369963,Nothing
0.1265201,0.2024176,0.1778022,0.1279853,0.1830769,0.1004396,0.1681319,0.07113553,0.4561905,0.06029304,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06527472,0.3536264,0.02776557,0.4942857,0.01369963,Nothing
0.1265201,0.2024176,0.1778022,0.1279853,0.1830769,0.1004396,0.1681319,0.07113553,0.4561905,0.06029304,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06527472,0.3536264,0.02776557,0.4942857,0.01369963,Nothing
0.1262271,0.2024176,0.1780952,0.1276923,0.1827839,0.1004396,0.1701832,0.07142857,0.4620513,0.06087912,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06527472,0.3536264,0.02776557,0.4942857,0.01369963,Nothing
0.1262271,0.2024176,0.1780952,0.1276923,0.1827839,0.1004396,0.1701832,0.07142857,0.4620513,0.06087912,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06527472,0.3536264,0.02747253,0.4942857,0.01399267,Nothing
0.1262271,0.2024176,0.1780952,0.1276923,0.1827839,0.1004396,0.1701832,0.07142857,0.4620513,0.06087912,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06527472,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1262271,0.2024176,0.1780952,0.1276923,0.1827839,0.1004396,0.1701832,0.07142857,0.4620513,0.06087912,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02776557,0.4942857,0.01369963,Nothing
0.1262271,0.2024176,0.1780952,0.1276923,0.1827839,0.1004396,0.1701832,0.07142857,0.4620513,0.06087912,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02776557,0.4942857,0.01399267,Nothing
0.1262271,0.2024176,0.1780952,0.1276923,0.1827839,0.1004396,0.1701832,0.07142857,0.4620513,0.06087912,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1288645,0.2030037,0.1819048,0.1271062,0.1871795,0.1004396,0.1701832,0.07084249,0.4298168,0.05941392,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1288645,0.2030037,0.1819048,0.1271062,0.1871795,0.1004396,0.1701832,0.07084249,0.4298168,0.05941392,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1279853,0.2024176,0.1816117,0.1265201,0.1865934,0.1004396,0.1704762,0.07084249,0.4274725,0.05912088,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1279853,0.2024176,0.1816117,0.1265201,0.1865934,0.1004396,0.1704762,0.07084249,0.4274725,0.05912088,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1279853,0.2024176,0.1816117,0.1265201,0.1865934,0.1004396,0.1704762,0.07084249,0.4274725,0.05912088,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01399267,Nothing
0.1276923,0.2024176,0.1813187,0.1265201,0.1857143,0.1004396,0.1701832,0.07054945,0.4257143,0.05882784,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1276923,0.2024176,0.1813187,0.1265201,0.1857143,0.1004396,0.1701832,0.07054945,0.4257143,0.05882784,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1276923,0.2024176,0.1813187,0.1265201,0.1857143,0.1004396,0.1701832,0.07054945,0.4257143,0.05882784,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1276923,0.2024176,0.1813187,0.1265201,0.1857143,0.1004396,0.1701832,0.07054945,0.4257143,0.05882784,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1276923,0.2024176,0.1813187,0.1265201,0.1857143,0.1004396,0.1701832,0.07054945,0.4257143,0.05882784,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1276923,0.2021245,0.1810256,0.1265201,0.1851282,0.1004396,0.1701832,0.07054945,0.423956,0.0585348,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1276923,0.2021245,0.1810256,0.1265201,0.1851282,0.1004396,0.1701832,0.07054945,0.423956,0.0585348,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1276923,0.2021245,0.1810256,0.1265201,0.1851282,0.1004396,0.1701832,0.07054945,0.423956,0.0585348,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
0.1276923,0.2024176,0.1807326,0.1262271,0.1848352,0.1004396,0.1698901,0.07054945,0.4224908,0.0585348,Nothing
0.241685,0.3685714,0.2428571,0.1540659,0.2369963,0.06498168,0.3536264,0.02747253,0.4942857,0.01369963,Nothing
