pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.006373626,0.1539194,0.0002197802,0,0,0,0.006959707,0,0.2473993,0,OpenPalm
0,0.06410257,0.01076923,0.02395604,0,0.01809524,0,0.007545787,0.1552381,0.01750916,OpenPalm
0.006373626,0.1539194,0.0002197802,0,0,0,0.006959707,0,0.2503297,0,OpenPalm
0,0.06410257,0.01076923,0.02395604,0,0.01809524,0,0.007545787,0.1552381,0.01750916,OpenPalm
0.006373626,0.1539194,0.0002197802,0,0,0,0.006959707,0,0.2517949,0,OpenPalm
0,0.06468865,0.01282051,0.02424908,0,0.01838828,0,0.007545787,0.1528938,0.01750916,OpenPalm
0.006373626,0.1539194,0.0002197802,0,0,0,0.006959707,0,0.2517949,0,OpenPalm
0,0.06468865,0.01282051,0.02424908,0,0.01838828,0,0.007545787,0.1528938,0.01750916,OpenPalm
0.006373626,0.1539194,0.0002197802,0,0,0,0.006959707,0,0.252381,0,OpenPalm
0,0.06468865,0.01282051,0.02424908,0,0.01838828,0,0.007545787,0.1528938,0.01750916,OpenPalm
0.006373626,0.1539194,0.0005128205,0,0,0,0.006959707,0,0.2544322,0,OpenPalm
0,0.06439561,0.01194139,0.02395604,0,0.01809524,0,0.007545787,0.1490843,0.01721612,OpenPalm
0.006666667,0.1539194,0.0005128205,0,0,0,0.006959707,0,0.2550183,0,OpenPalm
0,0.06439561,0.01194139,0.02395604,0,0.01809524,0,0.007545787,0.1490843,0.01721612,OpenPalm
0.006373626,0.1539194,0.0008058608,0,0,0,0.006959707,0,0.2544322,0,OpenPalm
0,0.06439561,0.01194139,0.02395604,0,0.01809524,0,0.007545787,0.1490843,0.01721612,OpenPalm
0.006373626,0.1539194,0.0008058608,0,0,0,0.006959707,0,0.2544322,0,OpenPalm
0,0.06439561,0.01194139,0.02395604,0,0.01809524,0,0.007545787,0.1490843,0.01721612,OpenPalm
0.006373626,0.1539194,0.0008058608,0,0,0,0.006959707,0,0.2544322,0,OpenPalm
0,0.06439561,0.01194139,0.02395604,0,0.01809524,0,0.007545787,0.1490843,0.01721612,OpenPalm
