pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,1,1,1,0.04827839,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04241758,0.002271062,1,0.4321612,Pointing
1,1,1,1,1,1,0.04886447,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04241758,0.002271062,1,0.4321612,Pointing
1,1,1,1,1,1,0.05238095,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04241758,0.002271062,1,0.4321612,Pointing
1,1,1,1,1,1,0.05472527,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04300366,0.001978022,1,0.4321612,Pointing
1,1,1,1,1,1,0.05472527,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04300366,0.001978022,1,0.4321612,Pointing
1,1,1,1,1,1,0.05501831,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001978022,1,0.4321612,Pointing
1,1,1,1,1,1,0.05531136,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001978022,1,0.4321612,Pointing
1,1,1,1,1,1,0.05619048,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001978022,1,0.4321612,Pointing
1,1,1,1,1,1,0.05619048,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001978022,1,0.4321612,Pointing
1,1,1,1,1,1,0.05589744,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001978022,1,0.4321612,Pointing
1,1,1,1,1,1,0.05648352,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001978022,1,0.4321612,Pointing
1,1,1,1,1,1,0.05736264,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04358974,0.001684982,1,0.4321612,Pointing
1,1,1,1,1,1,0.05824176,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04358974,0.001684982,1,0.4321612,Pointing
1,1,1,1,1,1,0.0585348,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04358974,0.001684982,1,0.4321612,Pointing
1,1,1,1,1,1,0.05824176,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04505495,0.001684982,1,0.4098901,Pointing
1,1,1,1,1,1,0.05765568,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04505495,0.001684982,1,0.4098901,Pointing
1,1,1,1,1,1,0.05765568,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.0447619,0.001684982,1,0.3920147,Pointing
1,1,1,1,1,1,0.05765568,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.0447619,0.001684982,1,0.3920147,Pointing
1,1,1,1,1,1,0.05794872,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.0447619,0.001684982,1,0.3920147,Pointing
1,1,1,1,1,1,0.05794872,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04446886,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.05736264,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04446886,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.0570696,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04358974,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.05677656,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04358974,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.0570696,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04358974,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.05736264,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04300366,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.05794872,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04300366,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.05912088,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04300366,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.06,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04358974,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.06029304,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04358974,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.06087912,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04358974,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.06263737,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.06439561,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.06732601,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.06937729,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.07201465,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.07289378,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.07377289,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.07494505,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04388278,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.07699633,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.0462271,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.07875458,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.0462271,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.0810989,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.0462271,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.08197802,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04739927,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.08285714,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04739927,0.001391941,1,0.3920147,Pointing
1,1,1,1,1,1,0.08285714,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04827839,0.0008058608,1,0.3920147,Pointing
1,1,1,1,1,1,0.08344322,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04827839,0.0008058608,1,0.3920147,Pointing
1,1,1,1,1,1,0.08461539,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04827839,0.0008058608,1,0.3920147,Pointing
1,1,1,1,1,1,0.08520146,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04827839,0.0008058608,1,0.3920147,Pointing
1,1,1,1,1,1,0.08578754,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04827839,0.0008058608,1,0.3920147,Pointing
1,1,1,1,1,1,0.08666667,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04827839,0.0008058608,1,0.3920147,Pointing
1,1,1,1,1,1,0.08666667,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04827839,0.0008058608,1,0.3920147,Pointing
1,1,1,1,1,1,0.08637363,0,1,1,Pointing
1,1,1,1,1,0.8084249,0.04827839,0.0008058608,1,0.3920147,Pointing
1,1,1,1,1,1,0.08666667,0,1,1,Pointing
