pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.9285714,1,1,0.6400732,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9649084,1,1,1,0.9550917,1,1,0.6717216,0.8406593,0.3703297,Fist
0.9285714,1,1,0.6403663,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9649084,1,1,1,0.9550917,1,1,0.6717216,0.8406593,0.3703297,Fist
0.9285714,1,1,0.6400732,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9649084,1,1,1,0.9550917,1,1,0.6717216,0.8389011,0.3694505,Fist
0.9285714,1,1,0.6400732,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9649084,1,1,1,0.9550917,1,1,0.6717216,0.8356777,0.3679853,Fist
0.9285714,1,1,0.6397802,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9649084,1,1,1,0.9550917,1,1,0.6717216,0.8356777,0.3679853,Fist
0.9285714,1,1,0.6397802,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9649084,1,1,1,0.9550917,1,1,0.6717216,0.8356777,0.3679853,Fist
0.9285714,1,1,0.6397802,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9649084,1,1,1,0.9550917,1,1,0.6717216,0.8356777,0.3679853,Fist
0.9285714,1,1,0.6397802,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9649084,1,1,1,0.9550917,1,1,0.6717216,0.8356777,0.3679853,Fist
0.9285714,1,1,0.6397802,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9652014,1,1,1,0.9550917,1,1,0.6717216,0.8356777,0.3703297,Fist
0.9285714,1,1,0.6397802,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9666666,1,1,1,0.9556777,1,1,0.6717216,0.8435898,0.3764835,Fist
0.9285714,1,1,0.6397802,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9669597,1,1,1,0.9559708,1,1,0.6717216,0.8476924,0.3788278,Fist
0.9285714,1,1,0.6400732,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9663736,1,1,1,0.9553847,1,1,0.6717216,0.8582418,0.387326,Fist
0.9285714,1,1,0.6400732,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9666666,1,1,1,0.9550917,1,1,0.6717216,0.859414,0.387033,Fist
0.9303297,1,1,0.6412454,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9660805,1,1,1,0.9550917,1,1,0.6717216,0.8585348,0.3849817,Fist
0.9309157,1,1,0.6418315,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9660805,1,1,1,0.9550917,1,1,0.6717216,0.8570696,0.3826374,Fist
0.9309157,1,1,0.6415384,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9660805,1,1,1,0.9550917,1,1,0.6717216,0.8567766,0.3826374,Fist
0.9317949,1,1,0.6424176,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9660805,1,1,1,0.9550917,1,1,0.6717216,0.8564836,0.3826374,Fist
0.932674,1,1,0.6430036,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9663736,1,1,1,0.9550917,1,1,0.6717216,0.8564836,0.3826374,Fist
0.932674,1,1,0.6430036,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9660805,1,1,1,0.9550917,1,1,0.6717216,0.8564836,0.3826374,Fist
0.9332601,1,1,0.6430036,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9654945,1,1,1,0.9550917,1,1,0.6717216,0.8564836,0.3826374,Fist
0.9332601,1,1,0.6430036,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9657875,1,1,1,0.9550917,1,1,0.6717216,0.8564836,0.3826374,Fist
0.9338461,1,1,0.6430036,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9657875,1,1,1,0.9550917,1,1,0.6717216,0.8561905,0.3826374,Fist
0.9341392,1,1,0.6430036,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9657875,1,1,1,0.9550917,1,1,0.6717216,0.8558975,0.3826374,Fist
0.9347253,1,1,0.6430036,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9657875,1,1,1,0.9550917,1,1,0.6717216,0.8558975,0.3826374,Fist
0.9347253,1,1,0.6430036,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9657875,1,1,1,0.9550917,1,1,0.6717216,0.8558975,0.3832234,Fist
0.9356044,1,1,0.6430036,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
0.9657875,1,1,1,0.9550917,1,1,0.6717216,0.8558975,0.3832234,Fist
0.9367765,1,1,0.6430036,1,0.892381,1,0.6961905,0.7972894,0.2891575,Fist
