pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,0.9775091,0.8793407,0.9294506,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06205128,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9294506,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06205128,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9294506,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06205128,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9294506,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.0614652,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9294506,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.0614652,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9294506,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.0614652,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.0614652,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06087912,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06087912,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06087912,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06087912,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06087912,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06087912,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06087912,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06087912,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06087912,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06058608,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06058608,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06029304,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06029304,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8520879,0.7090843,0.06,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852674,0.7090843,0.06,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.8532601,0.7090843,0.06,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05970696,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05970696,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05970696,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05970696,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05970696,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05970696,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05970696,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05970696,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05970696,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05970696,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05941392,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05912088,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05912088,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05882784,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05882784,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05882784,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.0585348,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.0585348,0,1,0,HandGun
1,1,1,0.9775091,0.8793407,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05794872,0,1,0,HandGun
1,1,1,0.9775091,0.8796337,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05794872,0,1,0,HandGun
1,1,1,0.9775091,0.8802198,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05794872,0,1,0,HandGun
1,1,1,0.9775091,0.8802198,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05794872,0,1,0,HandGun
1,1,1,0.9775091,0.8810989,0.9297436,0.2071062,0,0.0002197802,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05765568,0,1,0,HandGun
1,1,1,0.9780952,0.881978,0.9297436,0.2071062,0,0.0005128205,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05765568,0,1,0,HandGun
1,1,1,0.9780952,0.881978,0.9297436,0.2071062,0,0.0002197802,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05736264,0,1,0,HandGun
1,1,1,0.9780952,0.881978,0.9297436,0.2071062,0,0.0002197802,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05736264,0,1,0,HandGun
1,1,1,0.9780952,0.881978,0.9297436,0.2071062,0,0.0002197802,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05736264,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0.0005128205,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.0570696,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0.0002197802,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.0570696,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.0570696,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.0570696,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05619048,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05589744,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05531136,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05531136,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05501831,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.852967,0.7090843,0.05501831,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05472527,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05472527,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05443224,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05443224,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05413919,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05413919,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05413919,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05413919,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05413919,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05413919,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05443224,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05413919,0,1,0,HandGun
1,1,1,0.9780952,0.881685,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05413919,0,1,0,HandGun
1,1,1,0.9780952,0.8825641,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05413919,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05413919,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05384615,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05384615,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05384615,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05355311,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05355311,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05326007,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05326007,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05326007,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05326007,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05326007,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05296703,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05296703,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05296703,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05296703,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05238095,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05238095,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05238095,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
0.8676191,1,1,0.9150916,0.85326,0.7090843,0.05238095,0,1,0,HandGun
1,1,1,0.9780952,0.8822711,0.9297436,0.2071062,0,0,0,HandGun
