pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.9338462,1,1,1,1,1,1,0.9587546,1,0.4248352,Fist
1,1,0.9271062,1,1,1,1,1,1,0.4441758,Fist
0.9247619,1,1,1,1,1,1,0.9587546,1,0.4274725,Fist
1,1,0.9221246,1,1,1,1,1,1,0.4471062,Fist
0.896044,1,1,1,1,1,1,0.9587546,1,0.445348,Fist
1,1,0.8922344,1,1,1,1,1,1,0.4837363,Fist
0.896044,1,1,1,1,1,1,0.9587546,1,0.445348,Fist
1,1,0.8922344,1,1,1,1,1,1,0.4837363,Fist
0.8860806,1,1,1,1,1,1,0.9587546,1,0.4582418,Fist
1,1,0.8922344,1,1,1,1,1,1,0.5060073,Fist
0.8805128,1,1,1,1,1,1,0.9622711,1,0.4761172,Fist
1,1,0.8980953,1,1,1,1,1,1,0.5221245,Fist
0.8805128,1,1,1,1,1,1,0.9663736,1,0.4869597,Fist
1,1,0.9118682,1,1,1,1,1,1,0.5344323,Fist
0.8805128,1,1,1,1,1,1,0.9681319,1,0.4928205,Fist
1,1,0.9370696,1,1,1,1,1,1,0.5564103,Fist
0.9367766,1,1,1,1,1,1,0.9731136,1,0.5262271,Fist
1,1,0.954945,1,1,1,1,1,1,0.5622711,Fist
0.9441026,1,1,1,1,1,1,0.9754579,1,0.5317948,Fist
1,1,0.9789743,1,1,1,1,1,1,0.5848352,Fist
0.9716483,1,1,1,1,1,1,0.9798535,1,0.5584615,Fist
1,1,1,1,1,1,1,1,1,0.6305494,Fist
0.9801465,1,1,1,1,1,1,0.9813187,1,0.5634432,Fist
1,1,1,1,1,1,1,1,1,0.6663004,Fist
0.9795604,1,1,1,1,1,1,0.9813187,1,0.5678388,Fist
1,1,1,1,1,1,1,1,1,0.6838828,Fist
0.9798535,1,1,1,1,1,1,0.9883516,1,0.5942125,Fist
1,1,1,1,1,1,1,1,1,0.7149451,Fist
0.9857143,1,1,1,1,1,1,0.9886447,1,0.5947985,Fist
1,1,1,1,1,1,1,1,1,0.7149451,Fist
1,1,1,1,1,1,1,0.9877656,1,0.5994872,Fist
1,1,1,1,1,1,1,1,1,0.7439561,Fist
1,1,1,1,1,1,1,0.9901099,1,0.6009524,Fist
1,1,1,1,1,1,1,1,1,0.7504029,Fist
1,1,1,1,1,1,1,0.9933333,1,0.6041758,Fist
1,1,1,1,1,1,1,1,1,0.7656411,Fist
1,1,1,1,1,1,1,0.998315,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.765348,Fist
1,1,1,1,1,1,1,0.9947985,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9947985,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9947985,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9947985,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9947985,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9947985,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9945055,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9945055,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9939194,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
1,1,1,1,1,1,1,1,1,0.7621245,Fist
1,1,1,1,1,1,1,0.9942124,1,0.6047619,Fist
