pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.932967,1,1,0.9112821,0.4726007,0,1,0.5429304,1,0.147326,MiddleFinger
0.7917216,1,1,0.9739926,0.4210256,0.03567766,1,1,1,0.1874725,MiddleFinger
0.9215385,1,1,0.9268132,0.4781685,0,1,0.5649084,1,0.147326,MiddleFinger
0.7917216,1,1,0.9739926,0.4210256,0.03509158,1,1,1,0.1874725,MiddleFinger
0.9153846,1,1,0.9443956,0.4775824,0,1,0.5821978,1,0.1479121,MiddleFinger
0.8046154,1,1,0.9739926,0.4210256,0.03479854,1,1,1,0.1874725,MiddleFinger
0.90337,1,1,0.9722344,0.4761172,0,1,0.6044689,1,0.1479121,MiddleFinger
0.8614652,1,1,0.9414652,0.438022,0.03362637,1,1,1,0.1898168,MiddleFinger
0.896337,1,1,0.9748718,0.4761172,0,1,0.6009524,1,0.1479121,MiddleFinger
0.8834432,1,1,0.9262271,0.4482784,0.03274725,1,1,1,0.1918681,MiddleFinger
0.8951648,1,1,0.9742857,0.4761172,0,1,0.6009524,1,0.1479121,MiddleFinger
0.8975092,1,1,0.9156777,0.4641026,0.03245421,1,1,1,0.1947985,MiddleFinger
0.8951648,1,1,0.9736996,0.4664469,0,0.9778022,0.5842491,1,0.1442491,MiddleFinger
0.9080586,1,1,0.9057143,0.4769963,0.03216117,1,1,1,0.1974359,MiddleFinger
0.8951648,1,1,0.9736996,0.4664469,0,0.9716483,0.5792674,1,0.1442491,MiddleFinger
0.9092308,1,1,0.8995605,0.4764103,0.03157509,1,1,1,0.1971428,MiddleFinger
0.8951648,1,1,0.9736996,0.4664469,0,0.9625641,0.5663736,1,0.1408791,MiddleFinger
0.9045421,1,1,0.8936996,0.4682051,0.03128205,1,1,1,0.198022,MiddleFinger
0.8951648,1,1,0.940293,0.4538462,0,0.9394139,0.5391209,1,0.1345787,MiddleFinger
0.9045421,1,1,0.8919414,0.4350916,0.03098901,1,1,1,0.2012454,MiddleFinger
0.8951648,1,1,0.940293,0.4538462,0,0.9394139,0.5391209,1,0.1345787,MiddleFinger
0.9045421,1,1,0.8919414,0.4336264,0.03098901,1,1,1,0.2021245,MiddleFinger
0.8951648,1,1,0.9417582,0.4541392,0,0.9361905,0.5341392,1,0.1345787,MiddleFinger
0.9045421,1,1,0.874652,0.4283516,0.03069597,1,1,1,0.2024176,MiddleFinger
0.8951648,1,1,0.9540659,0.4541392,0,0.9341392,0.532674,1,0.1345787,MiddleFinger
0.9045421,1,1,0.860293,0.4219048,0.03010989,1,1,1,0.2018315,MiddleFinger
0.8951648,1,1,0.9540659,0.4541392,0,0.9341392,0.532674,1,0.1345787,MiddleFinger
0.9045421,1,1,0.860293,0.4219048,0.03010989,1,1,1,0.2018315,MiddleFinger
0.8641025,1,1,0.9540659,0.4347985,0,0.9341392,0.532674,1,0.1345787,MiddleFinger
0.9045421,1,1,0.8570696,0.4207326,0.02952381,1,1,1,0.2018315,MiddleFinger
0.8576557,1,1,0.9505494,0.4391941,0,0.9341392,0.54,1,0.1348718,MiddleFinger
0.9045421,1,1,0.8561905,0.4207326,0.02893773,1,1,1,0.2018315,MiddleFinger
0.8538461,1,1,0.9505494,0.4391941,0,0.9341392,0.5567033,1,0.1378022,MiddleFinger
0.9045421,1,1,0.8488645,0.4271795,0.02864469,1,1,1,0.2018315,MiddleFinger
0.8538461,1,1,0.9713553,0.4391941,0,0.9341392,0.5751649,1,0.1395604,MiddleFinger
0.9045421,1,1,0.845348,0.4315751,0.02835165,1,1,1,0.2018315,MiddleFinger
0.8538461,1,1,0.9567033,0.430696,0,0.9341392,0.5605128,1,0.1386813,MiddleFinger
0.9045421,1,1,0.8324542,0.4430037,0.02717949,1,1,1,0.2018315,MiddleFinger
0.8409524,1,1,0.9423443,0.4365568,0,0.9341392,0.5490842,1,0.1386813,MiddleFinger
