pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01194139,0.4623443,0.03040293,0.4334798,0.005201465,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2818315,0.06322344,0.2844689,0.14,0.3237363,0.04564103,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01194139,0.4623443,0.03040293,0.4334798,0.005494506,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2818315,0.06322344,0.2844689,0.14,0.3237363,0.04534798,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01194139,0.4623443,0.03040293,0.4334798,0.005201465,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2818315,0.06322344,0.2844689,0.14,0.3237363,0.04505495,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01194139,0.4623443,0.03040293,0.4334798,0.005201465,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2818315,0.06380952,0.2844689,0.14,0.3237363,0.04505495,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01194139,0.4623443,0.03040293,0.4334798,0.005201465,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2818315,0.06351648,0.2844689,0.14,0.3237363,0.04534798,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01194139,0.4623443,0.03040293,0.4334798,0.004908425,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2818315,0.06380952,0.2844689,0.14,0.3237363,0.04534798,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01223443,0.4623443,0.03040293,0.4334798,0.004908425,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2818315,0.06439561,0.2844689,0.14,0.3237363,0.04505495,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01223443,0.4623443,0.03010989,0.4334798,0.004908425,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2818315,0.06380952,0.2844689,0.14,0.3237363,0.04505495,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01223443,0.4623443,0.03040293,0.4334798,0.004908425,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2818315,0.06380952,0.2844689,0.14,0.3237363,0.04534798,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01223443,0.4623443,0.03010989,0.4334798,0.004908425,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2818315,0.06498168,0.2844689,0.14,0.3237363,0.04505495,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01223443,0.4623443,0.03010989,0.4334798,0.004908425,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2818315,0.06527472,0.2844689,0.14,0.3237363,0.04505495,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01223443,0.4623443,0.03010989,0.4334798,0.004908425,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2824176,0.06615385,0.2844689,0.14,0.3237363,0.04505495,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01223443,0.4623443,0.03010989,0.4334798,0.004908425,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2821245,0.06586081,0.2844689,0.14,0.3237363,0.0447619,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01223443,0.4623443,0.03010989,0.4334798,0.004322344,Nothing
0.2299634,0.3055678,0.3152381,0.1695971,0.2832967,0.06644689,0.2844689,0.14,0.3237363,0.04505495,Nothing
0.2384615,0.3090842,0.2915018,0.132381,0.271282,0.01223443,0.4623443,0.02952381,0.4334798,0.004908425,Nothing
