pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.0403663,0.2217582,0.003150183,0,0,0,0,0,0.01809524,0,OpenPalm
0.03684982,0.1830769,0.01692308,0.03333334,0,0.01194139,0,0.006080586,0,0.02542125,OpenPalm
0.0403663,0.2217582,0.003150183,0,0,0,0,0,0.01809524,0,OpenPalm
0.03684982,0.1830769,0.01692308,0.03333334,0,0.01194139,0,0.006080586,0,0.0251282,OpenPalm
0.0403663,0.2217582,0.003150183,0,0,0,0,0,0.01897436,0,OpenPalm
0.03684982,0.1830769,0.01663004,0.03304029,0,0.01194139,0,0.005494506,0.0008058608,0.02542125,OpenPalm
0.0403663,0.2217582,0.002857143,0,0,0,0,0,0.02424908,0,OpenPalm
0.03655678,0.1830769,0.01663004,0.03274725,0,0.01164835,0,0.005494506,0.001978022,0.02542125,OpenPalm
0.0403663,0.2217582,0.002857143,0,0,0,0,0,0.02864469,0,OpenPalm
0.0359707,0.1830769,0.01575092,0.03245421,0,0.01135531,0,0.005201465,0.003150183,0.02542125,OpenPalm
0.0403663,0.2217582,0.002857143,0,0,0,0,0,0.02952381,0,OpenPalm
0.0359707,0.1830769,0.01575092,0.03245421,0,0.01135531,0,0.005201465,0.003150183,0.02542125,OpenPalm
0.0403663,0.2217582,0.002857143,0,0,0,0,0,0.03069597,0,OpenPalm
0.03538461,0.1830769,0.01575092,0.03245421,0,0.01164835,0,0.005201465,0.003443223,0.02542125,OpenPalm
0.04007326,0.2217582,0.002564103,0,0,0,0,0,0.03333334,0,OpenPalm
0.0359707,0.1830769,0.01575092,0.03245421,0,0.01164835,0,0.005201465,0.004029304,0.02542125,OpenPalm
0.04007326,0.2217582,0.002564103,0,0,0,0,0,0.03304029,0,OpenPalm
0.03538461,0.1830769,0.01575092,0.03216117,0,0.01164835,0,0.005201465,0.004029304,0.0251282,OpenPalm
0.04007326,0.2217582,0.002564103,0,0,0,0,0,0.03216117,0,OpenPalm
0.03538461,0.1830769,0.01575092,0.03186813,0,0.01135531,0,0.005201465,0.003150183,0.0251282,OpenPalm
0.04007326,0.2217582,0.002564103,0,0,0,0,0,0.03098901,0,OpenPalm
0.03538461,0.1830769,0.01575092,0.03128205,0,0.01106227,0,0.004908425,0.0008058608,0.02454212,OpenPalm
0.04007326,0.2217582,0.002564103,0,0,0,0,0,0.03069597,0,OpenPalm
0.03538461,0.1830769,0.01575092,0.03128205,0,0.01106227,0,0.004908425,0.0008058608,0.02454212,OpenPalm
0.03978022,0.2217582,0.002564103,0,0,0,0,0,0.03069597,0,OpenPalm
0.03538461,0.1830769,0.01575092,0.03098901,0,0.01106227,0,0.004908425,0.0005128205,0.02454212,OpenPalm
0.03978022,0.2217582,0.002564103,0,0,0,0,0,0.03069597,0,OpenPalm
0.03538461,0.1830769,0.01575092,0.03098901,0,0.01106227,0,0.004908425,0.0008058608,0.02454212,OpenPalm
0.03978022,0.2217582,0.002271062,0,0,0,0,0,0.03040293,0,OpenPalm
0.03538461,0.1830769,0.01575092,0.03040293,0,0.01076923,0,0.004615385,0.0008058608,0.02454212,OpenPalm
0.03978022,0.2217582,0.002271062,0,0,0,0,0,0.02923077,0,OpenPalm
0.03538461,0.1830769,0.01575092,0.03040293,0,0.01076923,0,0.004615385,0.0005128205,0.02424908,OpenPalm
0.04007326,0.2217582,0.002271062,0,0,0,0,0,0.02835165,0,OpenPalm
0.03538461,0.1830769,0.01575092,0.03040293,0,0.01076923,0,0.004615385,0.0005128205,0.02483517,OpenPalm
0.03978022,0.2217582,0.002271062,0,0,0,0,0,0.02805861,0,OpenPalm
0.03479854,0.1830769,0.01575092,0.03040293,0,0.01076923,0,0.004615385,0.0008058608,0.02424908,OpenPalm
0.04007326,0.2217582,0.002271062,0,0,0,0,0,0.02747253,0,OpenPalm
0.03479854,0.1830769,0.01575092,0.03040293,0,0.01076923,0,0.004615385,0.001098901,0.02424908,OpenPalm
0.04007326,0.2217582,0.002271062,0,0,0,0,0,0.02717949,0,OpenPalm
0.03479854,0.1830769,0.01575092,0.03040293,0,0.01076923,0,0.004615385,0.001098901,0.02424908,OpenPalm
0.04007326,0.2217582,0.002271062,0,0,0,0,0,0.02688645,0,OpenPalm
0.03479854,0.1830769,0.01575092,0.02981685,0,0.01018315,0,0.004615385,0.001098901,0.02454212,OpenPalm
0.04007326,0.2217582,0.002271062,0,0,0,0,0,0.02688645,0,OpenPalm
0.03479854,0.1830769,0.01575092,0.02981685,0,0.01018315,0,0.004615385,0.001098901,0.02454212,OpenPalm
0.04007326,0.2217582,0.002271062,0,0,0,0,0,0.02688645,0,OpenPalm
0.03479854,0.1830769,0.01575092,0.02952381,0,0.01018315,0,0.004322344,0.0008058608,0.02454212,OpenPalm
0.04007326,0.2217582,0.002271062,0,0,0,0,0,0.02717949,0,OpenPalm
0.03479854,0.1830769,0.016337,0.02952381,0,0.01018315,0,0.004322344,0.0008058608,0.02424908,OpenPalm
0.03978022,0.2217582,0.002271062,0,0,0,0,0,0.02688645,0,OpenPalm
0.03479854,0.1830769,0.01663004,0.02923077,0,0.01018315,0,0.004322344,0.0008058608,0.02424908,OpenPalm
0.03978022,0.2217582,0.002271062,0,0,0,0,0,0.02688645,0,OpenPalm
0.03479854,0.1830769,0.01692308,0.02923077,0,0.01018315,0,0.004322344,0.001098901,0.02395604,OpenPalm
0.04007326,0.2217582,0.002271062,0,0,0,0,0,0.02630037,0,OpenPalm
0.03479854,0.1830769,0.01663004,0.02923077,0,0.01018315,0,0.004322344,0.001098901,0.02424908,OpenPalm
0.03978022,0.2217582,0.002271062,0,0,0,0,0,0.02600733,0,OpenPalm
0.03479854,0.1830769,0.01663004,0.02923077,0,0.01018315,0,0.004322344,0.001391941,0.02424908,OpenPalm
0.03978022,0.2217582,0.002271062,0,0,0,0,0,0.02600733,0,OpenPalm
0.03479854,0.1830769,0.01663004,0.02864469,0,0.00989011,0,0.004029304,0.001684982,0.02424908,OpenPalm
0.03978022,0.2217582,0.001978022,0,0,0,0,0,0.02424908,0,OpenPalm
0.03479854,0.1830769,0.01663004,0.02864469,0,0.00989011,0,0.004029304,0.002857143,0.02424908,OpenPalm
0.03978022,0.2217582,0.001978022,0,0,0,0,0,0.02424908,0,OpenPalm
0.03479854,0.1830769,0.01663004,0.02864469,0,0.00989011,0,0.004029304,0.002857143,0.02424908,OpenPalm
0.03948718,0.2217582,0.002271062,0,0,0,0,0,0.02424908,0,OpenPalm
0.03479854,0.1830769,0.01663004,0.02864469,0,0.00989011,0,0.004029304,0.002857143,0.02424908,OpenPalm
0.03978022,0.2217582,0.001978022,0,0,0,0,0,0.023663,0,OpenPalm
0.03479854,0.1830769,0.01663004,0.02864469,0,0.00989011,0,0.004029304,0.004029304,0.02424908,OpenPalm
0.03978022,0.2217582,0.001978022,0,0,0,0,0,0.02307692,0,OpenPalm
0.03538461,0.1830769,0.016337,0.02835165,0,0.00959707,0,0.004029304,0.005494506,0.02424908,OpenPalm
0.03978022,0.2217582,0.001978022,0,0,0,0,0,0.02307692,0,OpenPalm
0.03538461,0.1830769,0.01663004,0.02835165,0,0.00959707,0,0.003736264,0.006373626,0.02424908,OpenPalm
0.03978022,0.2217582,0.001978022,0,0,0,0,0,0.02278388,0,OpenPalm
0.03538461,0.1830769,0.01575092,0.02805861,0,0.00959707,0,0.003150183,0.007252747,0.02395604,OpenPalm
0.03978022,0.2217582,0.001978022,0,0,0,0,0,0.02278388,0,OpenPalm
0.03538461,0.1830769,0.01575092,0.02805861,0,0.00959707,0,0.003150183,0.007252747,0.02395604,OpenPalm
0.03978022,0.2217582,0.001978022,0,0,0,0,0,0.02131868,0,OpenPalm
