pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.8573626,1,1,1,1,1,0.3167033,0,1,0.220293,Pointing
0.6619048,1,1,1,1,1,0.190989,0,1,0.605348,Pointing
0.8541392,1,1,1,1,1,0.3169963,0,1,0.2220513,Pointing
0.6712821,1,1,1,1,1,0.1965568,0,1,0.6073993,Pointing
0.852674,1,1,1,1,1,0.3167033,0,1,0.2308425,Pointing
0.7023443,1,1,1,1,1,0.2176557,0,1,0.6144322,Pointing
0.852674,1,1,1,1,1,0.3167033,0,1,0.2378755,Pointing
0.7114286,1,1,1,1,1,0.2299634,0,1,0.6076923,Pointing
0.852674,1,1,1,1,1,0.3167033,0,1,0.2440293,Pointing
0.7058608,1,1,1,1,1,0.2238095,0,1,0.5713553,Pointing
0.852674,1,1,1,1,1,0.3167033,0,1,0.2534066,Pointing
0.7058608,1,1,1,1,1,0.2238095,0,1,0.5713553,Pointing
0.852674,1,1,1,1,1,0.3167033,0,1,0.2621978,Pointing
0.6964835,1,1,1,1,1,0.2115018,0,1,0.5561172,Pointing
0.8585348,1,1,1,1,1,0.3167033,0,1,0.2815385,Pointing
0.6888645,1,1,1,1,1,0.2024176,0.0005128205,1,0.5537729,Pointing
0.8608791,1,1,1,1,1,0.3167033,0,1,0.2850549,Pointing
0.6888645,1,1,1,1,1,0.2021245,0.0008058608,1,0.5537729,Pointing
0.8761172,1,1,1,1,1,0.3167033,0,1,0.2982417,Pointing
0.6888645,1,1,1,1,1,0.2015385,0.001684982,1,0.5666667,Pointing
0.8922344,1,1,1,1,1,0.3167033,0,1,0.3046886,Pointing
0.6888645,1,1,1,1,1,0.2015385,0.001684982,1,0.569304,Pointing
0.9174359,1,1,1,1,1,0.3167033,0,1,0.3140659,Pointing
0.6888645,1,1,1,1,1,0.2015385,0.001684982,1,0.568718,Pointing
0.9385348,1,1,1,1,1,0.3167033,0,1,0.3202198,Pointing
0.6888645,1,1,1,1,1,0.2015385,0.001391941,1,0.5704762,Pointing
0.9807326,1,1,1,1,1,0.3167033,0,1,0.3266667,Pointing
0.6695238,1,1,1,1,1,0.2015385,0.0008058608,1,0.5710623,Pointing
1,1,1,1,1,1,0.3167033,0,1,0.3287179,Pointing
0.6695238,1,1,1,1,1,0.2015385,0.0005128205,1,0.5701832,Pointing
1,1,1,1,1,1,0.3167033,0,1,0.3301831,Pointing
0.6695238,1,1,1,1,1,0.1764835,0,1,0.5701832,Pointing
1,1,1,1,1,1,0.3167033,0,1,0.3319414,Pointing
0.6695238,1,1,1,1,1,0.169304,0,1,0.5701832,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3451282,Pointing
0.6454945,1,1,1,1,1,0.1596337,0,1,0.5701832,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3539194,Pointing
0.6323077,1,1,1,1,1,0.1496703,0,1,0.5701832,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3539194,Pointing
0.6323077,1,1,1,1,1,0.1496703,0,1,0.5701832,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3539194,Pointing
0.6264469,1,1,1,0.9894872,1,0.1455678,0,1,0.5701832,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3542125,Pointing
0.6238095,1,1,1,0.9798535,1,0.1435165,0,1,0.5701832,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.6167766,1,1,1,0.9725274,1,0.1385348,0,1,0.5701832,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.6073993,1,1,1,0.9628571,1,0.1323809,0,1,0.5230036,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.6012454,1,1,1,0.9572894,1,0.1285714,0,1,0.5159707,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.5953846,1,1,1,0.9520146,1,0.1276923,0,1,0.510989,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.5936264,1,1,1,0.9520146,1,0.1276923,0,1,0.5092308,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3542124,Pointing
0.5936264,1,1,1,0.9520146,1,0.1276923,0,1,0.5077656,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3539194,Pointing
0.5936264,1,1,1,0.9520146,1,0.1276923,0,1,0.5077656,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.5936264,1,1,1,0.9520146,1,0.1276923,0,1,0.5077656,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.5936264,1,1,1,0.9520146,1,0.1276923,0,1,0.5077656,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.5936264,1,1,1,0.9520146,1,0.1276923,0,1,0.5077656,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.5965568,1,1,1,0.9552381,1,0.1276923,0,1,0.5121612,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.5977289,1,1,1,0.9610989,1,0.1276923,0,1,0.5127473,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.6030036,1,1,1,0.9745787,1,0.1276923,0,1,0.5162638,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.6085714,1,1,1,0.990989,1,0.1276923,0,1,0.518022,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.6147253,1,1,1,1,1,0.1288645,0,1,0.5241759,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.6232234,1,1,1,1,1,0.1315018,0,1,0.5294506,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.6340659,1,1,1,1,1,0.1353114,0,1,0.5373627,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.6425641,1,1,1,1,1,0.1385348,0,1,0.5414652,Pointing
1,1,1,1,1,1,0.3060074,0,1,0.3536264,Pointing
0.6475458,1,1,1,1,1,0.1405861,0,1,0.5438096,Pointing
1,1,1,1,1,1,0.3023444,0,1,0.3536264,Pointing
0.6519414,1,1,1,1,1,0.1429304,0,1,0.5464469,Pointing
1,1,1,1,1,1,0.3023444,0,1,0.3536264,Pointing
0.6519414,1,1,1,1,1,0.1432234,0,1,0.5446887,Pointing
1,1,1,1,1,1,0.3052748,0,1,0.3058608,Pointing
0.6516483,1,1,1,1,1,0.1429304,0,1,0.5194872,Pointing
1,1,1,1,1,1,0.3052748,0,1,0.3058608,Pointing
0.6516483,1,1,1,1,1,0.1429304,0,1,0.5194872,Pointing
1,1,1,1,1,1,0.307326,0,1,0.3058608,Pointing
0.6516483,1,1,1,1,1,0.1429304,0,1,0.5007326,Pointing
1,1,1,1,1,1,0.3076191,0,1,0.3058608,Pointing
0.6264469,1,1,1,0.9789743,1,0.1429304,0,1,0.4910623,Pointing
1,1,1,1,1,1,0.3087912,0,1,0.3058608,Pointing
0.62,1,1,1,0.9637362,1,0.1429304,0,1,0.4837363,Pointing
1,1,1,1,1,1,0.3084982,0,1,0.3058608,Pointing
0.62,1,1,1,0.9608058,1,0.1429304,0,1,0.481978,Pointing
1,1,1,1,1,1,0.3084982,0,1,0.3058608,Pointing
0.62,1,1,1,0.9505494,1,0.1398535,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3084982,0,1,0.3058608,Pointing
0.62,1,1,1,0.9505494,1,0.1398535,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3084982,0,1,0.3058608,Pointing
0.62,1,1,1,0.9534798,1,0.1398535,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3084982,0,1,0.3058608,Pointing
0.62,1,1,1,0.9526007,1,0.1398535,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3084982,0,1,0.3058608,Pointing
0.62,1,1,1,0.9526007,1,0.1398535,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3084982,0,1,0.3058608,Pointing
0.62,1,1,1,0.9526007,1,0.1407326,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3084982,0,1,0.3058608,Pointing
0.62,1,1,1,0.9526007,1,0.1536264,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3084982,0,1,0.307326,Pointing
0.62,1,1,1,0.9526007,1,0.1545055,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3084982,0,1,0.3114286,Pointing
0.62,1,1,1,0.9526007,1,0.1547986,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3084982,0,1,0.3210989,Pointing
0.62,1,1,1,0.9526007,1,0.1545055,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3096704,0,1,0.3249084,Pointing
0.62,1,1,1,0.9526007,1,0.1545055,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3102565,0,1,0.3284249,Pointing
0.62,1,1,1,0.9526007,1,0.1545055,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3096704,0,1,0.3284249,Pointing
0.62,1,1,1,0.9526007,1,0.1545055,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3093773,0,1,0.3252015,Pointing
0.62,1,1,1,0.9526007,1,0.1545055,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3093773,0,1,0.3252015,Pointing
0.62,1,1,1,0.9526007,1,0.1545055,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3093773,0,1,0.3252015,Pointing
0.62,1,1,1,0.9526007,1,0.1545055,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3093773,0,1,0.2985348,Pointing
0.62,1,1,1,0.9526007,1,0.1545055,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3027839,0,1,0.2976557,Pointing
0.62,1,1,1,0.9526007,1,0.1545055,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3027839,0,1,0.2961905,Pointing
0.62,1,1,1,0.9526007,1,0.1559707,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.3027839,0,1,0.2953114,Pointing
0.62,1,1,1,0.9526007,1,0.1562638,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.2761173,0,1,0.2891575,Pointing
0.62,1,1,1,0.9608058,1,0.1594872,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.2761173,0,1,0.2891575,Pointing
0.62,1,1,1,0.9748718,1,0.1630037,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.2761173,0,1,0.2891575,Pointing
0.62,1,1,1,0.9736996,1,0.1624176,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.2761173,0,1,0.2891575,Pointing
0.62,1,1,1,0.9704762,1,0.1615385,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.2761173,0,1,0.2891575,Pointing
0.62,1,1,1,0.9704762,1,0.1615385,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.2761173,0,1,0.2891575,Pointing
0.62,1,1,1,0.9704762,1,0.1615385,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.2761173,0,1,0.2891575,Pointing
0.62,1,1,1,0.9704762,1,0.1615385,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.2761173,0,1,0.2891575,Pointing
0.62,1,1,1,0.9704762,1,0.1615385,0,1,0.4796337,Pointing
1,1,1,1,1,1,0.2761173,0,1,0.2891575,Pointing
