pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03450549,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02805861,0,0.04505495,0.03391941,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03391941,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02747253,0,0.04505495,0.03391941,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03391941,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02747253,0,0.04505495,0.03391941,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03391941,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02688645,0,0.04446886,0.03391941,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03333334,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02688645,0,0.0447619,0.03391941,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03362637,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02688645,0,0.0447619,0.03391941,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03333334,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02659341,0,0.0462271,0.03333334,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03333334,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02630037,0,0.04652015,0.03333334,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03274725,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02630037,0,0.04710623,0.03333334,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03216117,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02659341,0,0.04739927,0.03333334,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03216117,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02630037,0,0.04769231,0.03333334,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03216117,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02630037,0,0.04827839,0.03304029,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03216117,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02659341,0,0.04886447,0.03304029,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03157509,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02659341,0,0.04915751,0.03304029,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03157509,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02688645,0,0.04915751,0.03304029,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03128205,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02688645,0,0.04974359,0.03274725,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03128205,HandGun
0.7052747,1,1,1,0.9197801,0.7744321,0.02776557,0,0.05032967,0.03274725,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03128205,HandGun
0.7052747,1,1,1,0.9194871,0.7744321,0.02805861,0,0.05091575,0.03245421,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03098901,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02835165,0,0.05120879,0.03245421,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03098901,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02835165,0,0.05150183,0.03245421,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03098901,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02805861,0,0.05208791,0.03216117,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03069597,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02776557,0,0.05238095,0.03216117,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03069597,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02747253,0,0.05267399,0.03216117,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03069597,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02688645,0,0.05267399,0.03216117,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03069597,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02688645,0,0.05296703,0.03186813,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03010989,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02630037,0,0.05355311,0.03186813,HandGun
0.9019048,1,1,1,0.6516484,0.8517949,0,0,0,0.03010989,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02630037,0,0.05355311,0.03186813,HandGun
0.9019048,1,1,1,0.6531136,0.8517949,0,0,0,0.02981685,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02600733,0,0.05355311,0.03186813,HandGun
0.9019048,1,1,1,0.6539927,0.8517949,0,0,0,0.02981685,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02571429,0,0.05413919,0.03157509,HandGun
0.9019048,1,1,1,0.6531136,0.8353847,0,0,0,0.02864469,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02571429,0,0.05413919,0.03157509,HandGun
0.9019048,1,1,1,0.6531136,0.8031502,0,0,0,0.02864469,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02600733,0,0.05413919,0.03157509,HandGun
0.9019048,1,1,1,0.6531136,0.8028572,0,0,0,0.02835165,HandGun
0.7052747,1,1,1,0.9197802,0.7744321,0.02600733,0,0.05413919,0.03157509,HandGun
0.9019048,1,1,1,0.6531136,0.7967033,0,0,0,0.02805861,HandGun
0.7052747,1,1,1,0.9203662,0.7744321,0.02571429,0,0.05267399,0.03157509,HandGun
0.9019048,1,1,1,0.6531136,0.7961172,0,0,0,0.02805861,HandGun
0.7052747,1,1,1,0.9203662,0.7744321,0.02571429,0,0.05238095,0.03157509,HandGun
0.9019048,1,1,1,0.6531136,0.7961172,0,0,0,0.02805861,HandGun
0.7052747,1,1,1,0.9203662,0.7744321,0.02542125,0,0.05208791,0.03128205,HandGun
0.9019048,1,1,1,0.6531136,0.7961172,0,0,0,0.02747253,HandGun
0.7052747,1,1,1,0.9203662,0.7744321,0.02600733,0,0.05208791,0.03128205,HandGun
0.9019048,1,1,1,0.6531136,0.7961172,0,0,0,0.02747253,HandGun
0.7052747,1,1,1,0.9203662,0.7744321,0.02630037,0,0.05238095,0.03128205,HandGun
0.9019048,1,1,1,0.6531136,0.7961172,0,0,0,0.02717949,HandGun
0.7052747,1,1,1,0.9203662,0.7744321,0.02688645,0,0.05238095,0.03098901,HandGun
0.9019048,1,1,1,0.6542858,0.7961172,0,0,0,0.02717949,HandGun
0.7052747,1,1,1,0.9203662,0.7744321,0.02747253,0,0.05267399,0.03098901,HandGun
0.9019048,1,1,1,0.655458,0.7961172,0,0,0,0.02688645,HandGun
0.7052747,1,1,1,0.9203662,0.7744321,0.02747253,0,0.05267399,0.03098901,HandGun
0.9019048,1,1,1,0.6583884,0.7961172,0,0,0,0.02688645,HandGun
0.7052747,1,1,1,0.9203662,0.7744321,0.02776557,0,0.05238095,0.03098901,HandGun
0.9019048,1,1,1,0.6621979,0.7961172,0,0,0,0.02630037,HandGun
0.7052747,1,1,1,0.9203662,0.7744321,0.02805861,0,0.05267399,0.03069597,HandGun
0.9019048,1,1,1,0.6648352,0.7961172,0,0,0,0.02600733,HandGun
0.7052747,1,1,1,0.9203662,0.7744321,0.02776557,0,0.05238095,0.03069597,HandGun
0.9019048,1,1,1,0.6660074,0.7961172,0,0,0,0.02571429,HandGun
0.7052747,1,1,1,0.9227105,0.7744321,0.02835165,0,0.05208791,0.03069597,HandGun
0.9019048,1,1,1,0.6668865,0.7961172,0,0,0,0.0251282,HandGun
0.7052747,1,1,1,0.9256409,0.7744321,0.02864469,0,0.05150183,0.03069597,HandGun
0.9019048,1,1,1,0.6668865,0.7961172,0,0,0,0.0251282,HandGun
0.7052747,1,1,1,0.9256409,0.7744321,0.02864469,0,0.05150183,0.03069597,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.02424908,HandGun
0.7052747,1,1,1,0.9323809,0.7744321,0.02952381,0,0.05238095,0.03069597,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.023663,HandGun
0.7052747,1,1,1,0.9338461,0.7744321,0.02952381,0,0.05296703,0.03098901,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.023663,HandGun
0.7052747,1,1,1,0.9341391,0.7744321,0.02952381,0,0.05355311,0.03069597,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.023663,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.02923077,0,0.05355311,0.03069597,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.023663,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.02893773,0,0.05384615,0.03069597,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.02307692,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.02893773,0,0.05384615,0.03040293,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.02278388,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.02893773,0,0.05384615,0.03040293,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.02278388,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.02864469,0,0.05384615,0.03040293,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.02278388,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.02805861,0,0.05413919,0.03040293,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.02249084,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.02747253,0,0.05472527,0.03040293,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.02249084,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.0251282,0,0.05765568,0.03010989,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.02190476,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.02395604,0,0.05824176,0.03010989,HandGun
0.9019048,1,1,1,0.6657144,0.7961172,0,0,0,0.02131868,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.02395604,0,0.05824176,0.02981685,HandGun
0.9019048,1,1,1,0.6657144,0.7972894,0,0,0,0.0207326,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.02424908,0,0.05824176,0.02952381,HandGun
0.9019048,1,1,1,0.6663004,0.7984616,0,0,0,0.02014652,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.02395604,0,0.05794872,0.02923077,HandGun
0.9019048,1,1,1,0.6663004,0.7972894,0,0,0,0.0192674,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.023663,0,0.05824176,0.02923077,HandGun
0.9019048,1,1,1,0.6663004,0.7972894,0,0,0,0.0192674,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.02483517,0,0.05736264,0.02923077,HandGun
0.9019048,1,1,1,0.6663004,0.7972894,0,0,0,0.01897436,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.0251282,0,0.05736264,0.02893773,HandGun
0.9019048,1,1,1,0.6663004,0.7972894,0,0,0,0.01897436,HandGun
0.7052747,1,1,1,0.933553,0.7744321,0.0251282,0,0.05736264,0.02893773,HandGun
