pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.7155311,1,1,1,0.5526007,0.005201465,1,0.6663004,1,0.06908425,MiddleFinger
0.8044685,1,1,1,0.4825641,0.01838828,1,0.4227839,1,0.1772161,MiddleFinger
0.7155311,1,1,1,0.5526007,0.005201465,1,0.6663004,1,0.06849817,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01809524,1,0.4227839,1,0.1772161,MiddleFinger
0.7155311,1,1,1,0.5526007,0.005201465,1,0.6663004,1,0.06849817,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01809524,1,0.4227839,1,0.1772161,MiddleFinger
0.7155311,1,1,1,0.5526007,0.005201465,1,0.6663004,1,0.06879121,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01809524,1,0.4227839,1,0.1772161,MiddleFinger
0.6964835,1,1,1,0.5334066,0.005201465,1,0.6663004,1,0.06791209,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01809524,1,0.4227839,1,0.1772161,MiddleFinger
0.6944323,1,1,1,0.5268132,0.005201465,1,0.6663004,1,0.06761905,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01750916,1,0.4227839,1,0.1772161,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06761905,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01721612,1,0.4227839,1,0.1772161,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06761905,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01721612,1,0.4227839,1,0.1772161,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06761905,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01721612,1,0.4227839,1,0.1772161,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06732601,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01721612,1,0.4227839,1,0.1772161,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004615385,1,0.6485714,1,0.06732601,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01692308,1,0.4227839,1,0.1772161,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004615385,1,0.6485714,1,0.06732601,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01692308,1,0.4227839,1,0.1772161,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004615385,1,0.6485714,1,0.06732601,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01692308,1,0.4227839,1,0.1772161,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06732601,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01692308,1,0.4227839,1,0.1772161,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06703297,MiddleFinger
0.7991938,1,1,1,0.4825641,0.01692308,1,0.4227839,1,0.1772161,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06673992,MiddleFinger
0.7978751,1,1,1,0.4825641,0.01663004,1,0.4227839,1,0.1772161,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06644689,MiddleFinger
0.7978751,1,1,1,0.4825641,0.01663004,1,0.4227839,1,0.1772161,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06556777,MiddleFinger
0.796703,1,1,1,0.4825641,0.01663004,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06615385,MiddleFinger
0.796703,1,1,1,0.4825641,0.01663004,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06556777,MiddleFinger
0.7959704,1,1,1,0.4825641,0.01663004,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06556777,MiddleFinger
0.7959704,1,1,1,0.4825641,0.01663004,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06556777,MiddleFinger
0.7959704,1,1,1,0.4825641,0.01663004,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06556777,MiddleFinger
0.7959704,1,1,1,0.4825641,0.01663004,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06556777,MiddleFinger
0.7959704,1,1,1,0.4825641,0.01663004,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06556777,MiddleFinger
0.7959704,1,1,1,0.4825641,0.01663004,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06498168,MiddleFinger
0.7959704,1,1,1,0.4825641,0.01663004,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004908425,1,0.6485714,1,0.06439561,MiddleFinger
0.7959704,1,1,1,0.4825641,0.016337,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004615385,1,0.6485714,1,0.06468865,MiddleFinger
0.7959704,1,1,1,0.4825641,0.016337,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004615385,1,0.6485714,1,0.06410257,MiddleFinger
0.7959704,1,1,1,0.4825641,0.016337,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004615385,1,0.6485714,1,0.06410257,MiddleFinger
0.7959704,1,1,1,0.4825641,0.016337,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004615385,1,0.6485714,1,0.06380952,MiddleFinger
0.7959704,1,1,1,0.4825641,0.016337,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004615385,1,0.6485714,1,0.06410257,MiddleFinger
0.7959704,1,1,1,0.4825641,0.016337,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004615385,1,0.6485714,1,0.06410257,MiddleFinger
0.7959704,1,1,1,0.4825641,0.016337,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004615385,1,0.6485714,1,0.06410257,MiddleFinger
0.7955309,1,1,1,0.4825641,0.016337,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004615385,1,0.6485714,1,0.06380952,MiddleFinger
0.7955309,1,1,1,0.4825641,0.016337,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004615385,1,0.6485714,1,0.06380952,MiddleFinger
0.7955309,1,1,1,0.4825641,0.016337,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004322344,1,0.6485714,1,0.06380952,MiddleFinger
0.7946517,1,1,1,0.4825641,0.016337,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004322344,1,0.6485714,1,0.06380952,MiddleFinger
0.793333,1,1,1,0.4825641,0.016337,1,0.4227839,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004322344,1,0.6485714,1,0.06351648,MiddleFinger
0.793333,1,1,1,0.4825641,0.016337,1,0.4230769,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004322344,1,0.6485714,1,0.06322344,MiddleFinger
0.793333,1,1,1,0.4825641,0.016337,1,0.4230769,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004322344,1,0.6485714,1,0.06322344,MiddleFinger
0.793333,1,1,1,0.4825641,0.016337,1,0.4230769,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5235897,0.004322344,1,0.6485714,1,0.06322344,MiddleFinger
0.793333,1,1,1,0.4825641,0.01663004,1,0.4230769,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.004322344,1,0.6485714,1,0.06322344,MiddleFinger
0.793333,1,1,1,0.4825641,0.01663004,1,0.4230769,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.004322344,1,0.6485714,1,0.06322344,MiddleFinger
0.793333,1,1,1,0.4825641,0.01663004,1,0.4230769,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5247619,0.004615385,1,0.6485714,1,0.06322344,MiddleFinger
0.793919,1,1,1,0.4825641,0.01663004,1,0.4230769,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5247619,0.004615385,1,0.6485714,1,0.06263737,MiddleFinger
0.7950912,1,1,1,0.4825641,0.01663004,1,0.4233699,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5247619,0.004615385,1,0.6485714,1,0.06263737,MiddleFinger
0.7980216,1,1,1,0.4825641,0.016337,1,0.4233699,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5247619,0.004615385,1,0.6485714,1,0.06263737,MiddleFinger
0.8003659,1,1,1,0.4828571,0.016337,1,0.4233699,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5247619,0.004615385,1,0.6485714,1,0.06263737,MiddleFinger
0.8015381,1,1,1,0.4840293,0.016337,1,0.4233699,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.525641,0.004322344,1,0.6485714,1,0.06263737,MiddleFinger
0.801245,1,1,1,0.4840293,0.01575092,1,0.4233699,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.004322344,1,0.6485714,1,0.06234432,MiddleFinger
0.801245,1,1,1,0.4846154,0.01575092,1,0.4233699,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.004322344,1,0.6485714,1,0.06205128,MiddleFinger
0.801245,1,1,1,0.4846154,0.01545788,1,0.4233699,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.004029304,1,0.6485714,1,0.06234432,MiddleFinger
0.801245,1,1,1,0.4846154,0.01545788,1,0.4248351,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.004029304,1,0.6485714,1,0.06205128,MiddleFinger
0.801245,1,1,1,0.4846154,0.01545788,1,0.4292307,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.003443223,1,0.6485714,1,0.06205128,MiddleFinger
0.8005124,1,1,1,0.4846154,0.01516484,1,0.4301099,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.003443223,1,0.6485714,1,0.06234432,MiddleFinger
0.8003659,1,1,1,0.4846154,0.01516484,1,0.4298168,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.003150183,1,0.6485714,1,0.06175824,MiddleFinger
0.7999263,1,1,1,0.4846154,0.01516484,1,0.4292307,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.002857143,1,0.6485714,1,0.06205128,MiddleFinger
0.7999263,1,1,1,0.4846154,0.01516484,1,0.4292307,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.002857143,1,0.6485714,1,0.06205128,MiddleFinger
0.7999263,1,1,1,0.4846154,0.01516484,1,0.4292307,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.002857143,1,0.6485714,1,0.06175824,MiddleFinger
0.7999263,1,1,1,0.4846154,0.01516484,1,0.4292307,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.002857143,1,0.6485714,1,0.06205128,MiddleFinger
0.7989007,1,1,1,0.4846154,0.01487179,1,0.4292307,1,0.1756044,MiddleFinger
0.6903297,1,1,1,0.5250549,0.002564103,1,0.6485714,1,0.06175824,MiddleFinger
0.7989007,1,1,1,0.4846154,0.01487179,1,0.4292307,1,0.1756044,MiddleFinger
