pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.1918681,0.2576557,0.1933333,0.0934066,0.161978,0.01340659,0.3014652,0.02864469,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2331868,0.06439561,0.2498901,0.08842491,0.4468132,0.04945055,Nothing
0.1918681,0.2519414,0.1933333,0.09282051,0.161978,0.01340659,0.3014652,0.02864469,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2355312,0.06439561,0.2498901,0.08813187,0.4468132,0.04945055,Nothing
0.1918681,0.2494505,0.1933333,0.09252747,0.161978,0.01340659,0.3014652,0.02835165,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2378755,0.06380952,0.2498901,0.08813187,0.4468132,0.04974359,Nothing
0.1918681,0.2494505,0.1933333,0.09252747,0.161978,0.01340659,0.3014652,0.02835165,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2390476,0.06380952,0.2501832,0.08783883,0.4468132,0.04974359,Nothing
0.1918681,0.2494505,0.1933333,0.09282051,0.161978,0.01340659,0.3014652,0.02835165,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2393407,0.06380952,0.2501832,0.08783883,0.4468132,0.04974359,Nothing
0.1918681,0.2494505,0.1933333,0.09282051,0.161978,0.01340659,0.3014652,0.02805861,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2396337,0.06380952,0.2501832,0.08783883,0.4468132,0.04974359,Nothing
0.1918681,0.2494505,0.1933333,0.09282051,0.1625641,0.01340659,0.3014652,0.02805861,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2396337,0.06380952,0.2501832,0.08754579,0.4468132,0.04945055,Nothing
0.1918681,0.2494505,0.1933333,0.09282051,0.1631502,0.01340659,0.3020513,0.02776557,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2396337,0.06380952,0.2501832,0.08754579,0.4468132,0.04945055,Nothing
0.1918681,0.2494505,0.1933333,0.09282051,0.1631502,0.01340659,0.3020513,0.02776557,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2396337,0.06380952,0.2501832,0.08725274,0.4468132,0.04945055,Nothing
0.1918681,0.2494505,0.1933333,0.09282051,0.1631502,0.01340659,0.3020513,0.02776557,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2396337,0.06380952,0.2501832,0.08725274,0.4468132,0.04886447,Nothing
0.1918681,0.2494505,0.1933333,0.09282051,0.1646154,0.01340659,0.3020513,0.02747253,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2396337,0.06380952,0.2501832,0.08725274,0.4468132,0.04886447,Nothing
0.1918681,0.2494505,0.1933333,0.09282051,0.1654945,0.01340659,0.3032234,0.02747253,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2396337,0.06380952,0.2501832,0.0869597,0.4468132,0.04886447,Nothing
0.1918681,0.2494505,0.1933333,0.09369963,0.1663736,0.01340659,0.3046886,0.02747253,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2396337,0.06380952,0.2501832,0.0869597,0.4468132,0.04886447,Nothing
0.1918681,0.2494505,0.1933333,0.09369963,0.1666667,0.01340659,0.3055677,0.02747253,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2405128,0.06380952,0.2501832,0.08666667,0.4468132,0.04886447,Nothing
0.1918681,0.2494505,0.1933333,0.0934066,0.1666667,0.01340659,0.3064469,0.02747253,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2434433,0.06351648,0.2501832,0.08666667,0.4468132,0.04886447,Nothing
0.1918681,0.2494505,0.1933333,0.09282051,0.1666667,0.01340659,0.3067399,0.02717949,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2449085,0.06380952,0.2504762,0.08608059,0.4468132,0.04886447,Nothing
0.1918681,0.2494505,0.1933333,0.09252747,0.1666667,0.01340659,0.3070329,0.02717949,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2457876,0.06351648,0.2516484,0.08608059,0.4468132,0.04886447,Nothing
0.1918681,0.2494505,0.1933333,0.09164836,0.1666667,0.01340659,0.3079121,0.02717949,0.4405128,0,Nothing
0.2520879,0.3703297,0.3171428,0.2085714,0.2463737,0.06351648,0.2516484,0.08608059,0.4468132,0.04945055,Nothing
0.1918681,0.2494505,0.1933333,0.09164836,0.1666667,0.01340659,0.307619,0.02717949,0.4405128,0,Nothing
