pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.5338461,0.4916484,1,1,0.7348718,1,0.02659341,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8397802,1,0.02307692,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02659341,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8397802,1,0.023663,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02630037,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8397802,1,0.02395604,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02600733,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.02424908,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02600733,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.02395604,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02571429,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.02395604,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02571429,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.023663,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02542125,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.02395604,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02542125,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.02395604,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.0251282,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.02395604,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02483517,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.02395604,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02424908,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.02395604,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.023663,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.02395604,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.023663,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.02395604,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.023663,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.02395604,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.023663,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8403663,1,0.02424908,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02395604,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8427106,1,0.02571429,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.023663,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8465201,1,0.02805861,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02336996,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8497436,1,0.02893773,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02336996,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8541392,1,0.03069597,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02336996,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8553113,1,0.03098901,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02336996,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8547253,1,0.03069597,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02307692,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03069597,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02307692,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03069597,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02307692,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03040293,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02307692,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03040293,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02278388,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03069597,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.7348718,1,0.02278388,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03069597,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736923,1,0.02307692,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03040293,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736923,1,0.02336996,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03040293,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736337,1,0.02307692,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.02981685,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736337,1,0.02307692,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03040293,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736337,1,0.02307692,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03040293,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736337,1,0.02278388,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03069597,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736337,1,0.02278388,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03040293,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736337,1,0.02278388,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03040293,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736337,1,0.02278388,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03040293,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736337,1,0.02278388,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.03040293,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736337,1,0.02307692,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.02981685,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736337,1,0.02307692,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.02981685,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736337,1,0.02307692,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.02952381,0,1,0.2794872,Pointing
0.5338461,0.4916484,1,1,0.736337,1,0.02307692,0,1,0.4336264,Pointing
0.6868131,1,1,1,0.8550183,1,0.02923077,0,1,0.2794872,Pointing
