pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,0.7984616,1,0.7486447,1,0.4397802,1,1,Fist
0.9962637,1,1,0.8066667,1,0.9218315,1,0.6337729,1,0.8737729,Fist
1,1,1,0.7984616,1,0.7433699,1,0.4353846,1,1,Fist
0.9924542,1,1,0.8066667,1,0.9218315,1,0.6252747,1,0.8623443,Fist
1,1,0.9807326,0.7984616,0.9687179,0.7064469,1,0.4069597,1,1,Fist
0.9206594,1,1,0.7858608,1,0.881685,1,0.5792674,1,0.8219048,Fist
0.918022,1,0.910403,0.7984616,0.9361905,0.6642491,1,0.3917216,1,1,Fist
0.8784615,1,1,0.7761905,1,0.8658608,1,0.5640293,1,0.8063737,Fist
0.8353846,1,0.8412454,0.7858608,0.9007326,0.6173626,1,0.3829304,1,1,Fist
0.8781685,1,1,0.7612454,1,0.8532601,1,0.5569963,1,0.7958242,Fist
0.8031502,1,0.7902564,0.7448351,0.8696703,0.598022,1,0.3788278,1,1,Fist
0.8846154,1,1,0.7518681,1,0.8500366,1,0.5526007,1,0.7890843,Fist
0.8093041,1,0.7928938,0.73663,0.8682051,0.5933333,1,0.3788278,1,1,Fist
0.8945788,1,1,0.7480586,1,0.8485714,1,0.5526007,1,0.7887912,Fist
0.8134066,1,0.7972894,0.721685,0.8705494,0.58337,1,0.3788278,1,1,Fist
0.8957509,1,1,0.7465934,1,0.8485714,1,0.5526007,1,0.7931868,Fist
0.8035897,1,0.7972894,0.7208059,0.8705494,0.58337,1,0.369597,1,1,Fist
0.8948718,1,1,0.7465934,1,0.8485714,1,0.5526007,1,0.7931868,Fist
0.7673993,1,0.7671062,0.7199267,0.8561905,0.5745788,1,0.3568498,1,1,Fist
0.8948718,1,1,0.7465934,1,0.8485714,1,0.5526007,1,0.7785348,Fist
0.7618315,1,0.7694505,0.7199267,0.8561905,0.5734066,1,0.3568498,1,1,Fist
0.9083517,1,1,0.7465934,1,0.8485714,1,0.5537729,1,0.78,Fist
0.7665201,1,0.7753114,0.7199267,0.867326,0.5734066,1,0.3568498,1,1,Fist
