pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.0810989,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.0810989,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08139194,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08139194,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.0810989,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08139194,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08139194,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08139194,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08139194,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.0810989,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.0810989,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08051282,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08051282,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08051282,0,HandGun
1,1,1,0.7483517,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08080586,0,HandGun
1,1,1,0.7483517,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08080586,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08051282,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08051282,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08051282,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08051282,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08021978,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08021978,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.0796337,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9356043,0.7468864,0.2519414,0,0.08021978,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9358974,0.7468864,0.2519414,0,0.08021978,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9358974,0.7468864,0.2519414,0,0.0796337,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9358974,0.7468864,0.2519414,0,0.0796337,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9358974,0.7468864,0.2519414,0,0.07934066,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9367766,0.7468864,0.2519414,0,0.07934066,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9373626,0.7468864,0.2519414,0,0.0796337,0,HandGun
1,1,1,0.7468865,1,0.4638095,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9373626,0.7468864,0.2519414,0,0.0796337,0,HandGun
1,1,1,0.7468865,1,0.4652747,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9373626,0.7468864,0.2519414,0,0.0796337,0,HandGun
1,1,1,0.7468865,1,0.4655678,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9373626,0.7468864,0.2519414,0,0.0796337,0,HandGun
1,1,1,0.7468865,1,0.4646887,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9373626,0.7468864,0.2519414,0,0.07934066,0,HandGun
1,1,1,0.7468865,1,0.4646887,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9379486,0.7468864,0.2519414,0,0.0796337,0,HandGun
1,1,1,0.7468865,1,0.4646887,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9379486,0.7468864,0.2519414,0,0.08021978,0,HandGun
1,1,1,0.7468865,1,0.4646887,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9385347,0.7468864,0.2519414,0,0.0796337,0,HandGun
1,1,1,0.7468865,1,0.4646887,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9388278,0.7468864,0.2519414,0,0.0796337,0,HandGun
1,1,1,0.7468865,1,0.4646887,0.3753113,0,0,0,HandGun
0.8075457,1,0.8561904,0.467619,0.9388278,0.7468864,0.2519414,0,0.0796337,0,HandGun
1,1,1,0.7468865,1,0.4646887,0.3753113,0,0,0,HandGun
