pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.1317949,0.2220513,0.1801465,0.03216117,0.096337,0.002271062,0.1991941,0,0.2970696,0.003443223,Nothing
0.2264469,0.2471062,0.1789744,0.08637363,0.1754579,0.03684982,0.2018315,0.05882784,0.4632235,0.04271062,Nothing
0.1317949,0.2220513,0.1801465,0.03186813,0.09516484,0.002857143,0.1989011,0,0.2958974,0.003736264,Nothing
0.2255678,0.2471062,0.1795604,0.08637363,0.1783883,0.03714286,0.2050549,0.05912088,0.4611722,0.04271062,Nothing
0.1317949,0.2220513,0.1801465,0.03216117,0.0948718,0.003150183,0.1989011,0,0.2958974,0.003736264,Nothing
0.2248352,0.2471062,0.1792674,0.08637363,0.1807326,0.0374359,0.2068132,0.05941392,0.4556044,0.04212454,Nothing
0.1317949,0.2220513,0.1804396,0.03216117,0.09516484,0.003443223,0.1989011,0,0.2958974,0.004322344,Nothing
0.2243956,0.2471062,0.1792674,0.08637363,0.1816117,0.0374359,0.2073993,0.05941392,0.4506227,0.04241758,Nothing
0.1317949,0.2220513,0.1810256,0.03216117,0.096337,0.003443223,0.1991941,0,0.2958974,0.004322344,Nothing
0.2229304,0.2471062,0.1792674,0.08637363,0.1824908,0.0374359,0.2088645,0.05941392,0.4409524,0.04153846,Nothing
0.1317949,0.2220513,0.1810256,0.03245421,0.09692308,0.003443223,0.2003663,0,0.2958974,0.004322344,Nothing
0.2229304,0.2471062,0.1792674,0.08637363,0.1830769,0.0374359,0.2094505,0.05941392,0.4371428,0.0418315,Nothing
0.1317949,0.2220513,0.1816117,0.03245421,0.09721611,0.003443223,0.2009524,0,0.2958974,0.003736264,Nothing
0.2221978,0.2471062,0.1792674,0.08637363,0.1830769,0.0374359,0.2097436,0.05941392,0.4342124,0.04153846,Nothing
0.1317949,0.2220513,0.1821978,0.03245421,0.09838828,0.003150183,0.2024176,0,0.2958974,0.003736264,Nothing
0.2216118,0.2471062,0.1792674,0.08637363,0.1830769,0.0374359,0.2094505,0.05941392,0.4265934,0.04124542,Nothing
0.1317949,0.2220513,0.1824908,0.03245421,0.0992674,0.003150183,0.2032967,0,0.2958974,0.003443223,Nothing
0.2205861,0.2471062,0.1792674,0.08666667,0.1830769,0.03772894,0.2094505,0.05970696,0.4195604,0.04095238,Nothing
0.1317949,0.2220513,0.1824908,0.03245421,0.1001465,0.003150183,0.2047619,0,0.2958974,0.003150183,Nothing
0.219707,0.2471062,0.1792674,0.08666667,0.1830769,0.03772894,0.2094505,0.05970696,0.4122344,0.04065934,Nothing
0.1317949,0.2220513,0.1824908,0.03245421,0.1001465,0.003150183,0.205348,0,0.2958974,0.003443223,Nothing
0.2191209,0.2471062,0.1792674,0.08666667,0.1830769,0.03772894,0.2094505,0.05970696,0.4081319,0.0403663,Nothing
0.1317949,0.2220513,0.1824908,0.03245421,0.1004396,0.003150183,0.205934,0,0.2958974,0.003150183,Nothing
0.2176557,0.2471062,0.1792674,0.08637363,0.1830769,0.0374359,0.2094505,0.05970696,0.4046154,0.04007326,Nothing
0.1317949,0.2220513,0.1824908,0.03216117,0.1007326,0.003150183,0.2065201,0,0.2958974,0.003150183,Nothing
0.2169231,0.2471062,0.1792674,0.08637363,0.1830769,0.0374359,0.2094505,0.05941392,0.3978755,0.03978022,Nothing
0.1317949,0.2220513,0.1824908,0.03216117,0.1007326,0.003150183,0.2065201,0,0.2958974,0.003150183,Nothing
0.2169231,0.2471062,0.1792674,0.08637363,0.1830769,0.0374359,0.2094505,0.05912088,0.3964103,0.03978022,Nothing
0.1317949,0.2220513,0.1824908,0.03216117,0.1001465,0.003150183,0.2065201,0,0.2958974,0.002857143,Nothing
0.216044,0.2471062,0.1792674,0.08637363,0.1830769,0.0374359,0.2094505,0.05912088,0.3920147,0.03948718,Nothing
0.1317949,0.2220513,0.1824908,0.03216117,0.09985348,0.003150183,0.2065201,0,0.2958974,0.002857143,Nothing
0.216044,0.2471062,0.1792674,0.08637363,0.1830769,0.0374359,0.2094505,0.05912088,0.3914286,0.0389011,Nothing
0.1317949,0.2220513,0.1824908,0.03216117,0.09985348,0.003150183,0.2065201,0,0.2958974,0.002857143,Nothing
0.2153114,0.2471062,0.1792674,0.08608059,0.1830769,0.0374359,0.2094505,0.05882784,0.3905495,0.0389011,Nothing
0.1317949,0.2220513,0.1824908,0.03216117,0.09985348,0.003150183,0.2065201,0,0.2958974,0.002857143,Nothing
0.2145788,0.2471062,0.1792674,0.08608059,0.1830769,0.0374359,0.2094505,0.05882784,0.3905495,0.03860806,Nothing
0.1317949,0.2220513,0.1824908,0.03216117,0.09956044,0.003150183,0.2065201,0,0.2958974,0.002564103,Nothing
0.2136997,0.2471062,0.1792674,0.08608059,0.1830769,0.03714286,0.2094505,0.05824176,0.3905495,0.03860806,Nothing
0.1317949,0.2220513,0.1824908,0.03216117,0.09956044,0.003150183,0.2065201,0,0.2958974,0.002857143,Nothing
0.2136997,0.2471062,0.1792674,0.08608059,0.1830769,0.03714286,0.2094505,0.05824176,0.3905495,0.03860806,Nothing
0.1317949,0.2220513,0.1824908,0.03216117,0.09956044,0.003150183,0.2065201,0,0.2958974,0.002857143,Nothing
0.2132601,0.2471062,0.1792674,0.08608059,0.1830769,0.0374359,0.2094505,0.05824176,0.3905495,0.03860806,Nothing
0.1317949,0.2220513,0.1824908,0.03186813,0.0992674,0.003150183,0.2065201,0,0.2958974,0.002857143,Nothing
0.2132601,0.2471062,0.1792674,0.08608059,0.1830769,0.0374359,0.2094505,0.05824176,0.3905495,0.03860806,Nothing
0.1317949,0.2220513,0.1824908,0.03186813,0.09897436,0.003150183,0.2065201,0,0.2958974,0.002857143,Nothing
0.212381,0.2471062,0.1792674,0.08608059,0.1830769,0.0374359,0.2094505,0.05794872,0.3905495,0.03860806,Nothing
