pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.007545787,0.01311355,0,0,0,0,0,0,0.06527472,0,OpenPalm
0,0.03421246,0.01340659,0.005201465,0,0,0,0,0.1405861,0.0005128205,OpenPalm
0.007252747,0.01282051,0,0,0,0,0,0,0.06410257,0,OpenPalm
0,0.03421246,0.01282051,0.005201465,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.007252747,0.01282051,0,0,0,0,0,0,0.06410257,0,OpenPalm
0,0.03421246,0.01282051,0.005201465,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.006959707,0.01252747,0,0,0,0,0,0,0.06293041,0,OpenPalm
0,0.03421246,0.01282051,0.005201465,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.006959707,0.01252747,0,0,0,0,0,0,0.06205128,0,OpenPalm
0,0.03391941,0.01282051,0.005201465,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.006959707,0.01223443,0,0,0,0,0,0,0.0614652,0,OpenPalm
0,0.03391941,0.01252747,0.004908425,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.006666667,0.01282051,0,0,0,0,0,0,0.06029304,0,OpenPalm
0,0.03362637,0.01252747,0.004908425,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.006666667,0.01252747,0,0,0,0,0,0,0.05970696,0,OpenPalm
0,0.03362637,0.01223443,0.004908425,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.006666667,0.01252747,0,0,0,0,0,0,0.05941392,0,OpenPalm
0,0.03362637,0.01223443,0.004615385,0,0,0,0,0.1405861,0,OpenPalm
0.006373626,0.01252747,0,0,0,0,0,0,0.05824176,0,OpenPalm
0,0.03333334,0.01223443,0.004908425,0,0,0,0,0.1405861,0,OpenPalm
0.006373626,0.01252747,0,0,0,0,0,0,0.0570696,0,OpenPalm
0,0.03274725,0.01223443,0.004615385,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.006373626,0.01194139,0,0,0,0,0,0,0.05677656,0,OpenPalm
0,0.03333334,0.01194139,0.004615385,0,0,0,0,0.1405861,0,OpenPalm
0.006080586,0.01223443,0,0,0,0,0,0,0.05501831,0,OpenPalm
0,0.03333334,0.01194139,0.004615385,0,0,0,0,0.1405861,0,OpenPalm
0.006080586,0.01223443,0,0,0,0,0,0,0.05355311,0,OpenPalm
0,0.03274725,0.01194139,0.004615385,0,0,0,0,0.1405861,0,OpenPalm
0.006080586,0.01223443,0,0,0,0,0,0,0.05267399,0,OpenPalm
0,0.03274725,0.01194139,0.004322344,0,0,0,0,0.1405861,0,OpenPalm
0.005787546,0.01223443,0,0,0,0,0,0,0.05120879,0,OpenPalm
0,0.03333334,0.01164835,0.004322344,0,0,0,0,0.1405861,0,OpenPalm
0.005787546,0.01194139,0,0,0,0,0,0,0.05032967,0,OpenPalm
0,0.03274725,0.01164835,0.004322344,0,0,0,0,0.1405861,0,OpenPalm
0.005787546,0.01194139,0,0,0,0,0,0,0.04915751,0,OpenPalm
0,0.03274725,0.01164835,0.004322344,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.005494506,0.01164835,0,0,0,0,0,0,0.04095238,0,OpenPalm
0,0.03274725,0.01164835,0.004322344,0,0,0,0,0.1405861,0,OpenPalm
0.005494506,0.01164835,0,0,0,0,0,0,0.04095238,0,OpenPalm
0,0.03274725,0.01164835,0.004322344,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.005201465,0.01194139,0,0,0,0,0,0,0.03714286,0,OpenPalm
0,0.03245421,0.01164835,0.004029304,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.005201465,0.01194139,0,0,0,0,0,0,0.03509158,0,OpenPalm
0,0.03274725,0.01135531,0.004322344,0,0,0,0,0.1405861,0,OpenPalm
0.005201465,0.01135531,0,0,0,0,0,0,0.03421246,0,OpenPalm
0,0.03245421,0.01135531,0.004029304,0,0,0,0,0.1405861,0,OpenPalm
0.005201465,0.01164835,0,0,0,0,0,0,0.02981685,0,OpenPalm
0,0.03245421,0.01135531,0.004029304,0,0,0,0,0.1405861,0.0005128205,OpenPalm
0.004908425,0.01135531,0,0,0,0,0,0,0.02542125,0,OpenPalm
0,0.03245421,0.01135531,0.004029304,0,0,0,0,0.1405861,0.0005128205,OpenPalm
0.004908425,0.01164835,0,0,0,0,0,0,0.02043956,0,OpenPalm
0,0.03245421,0.01135531,0.004029304,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.004908425,0.01164835,0,0,0,0,0,0,0.008424909,0,OpenPalm
0,0.03245421,0.01135531,0.004029304,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.004908425,0.01164835,0,0,0,0,0,0,0.008424909,0,OpenPalm
0,0.03245421,0.01135531,0.004029304,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.004908425,0.01135531,0,0,0,0,0,0,0.003443223,0,OpenPalm
0,0.03245421,0.01135531,0.004029304,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.004615385,0.01106227,0,0,0,0,0,0,0,0,OpenPalm
0,0.03245421,0.01164835,0.003736264,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.004615385,0.01135531,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01135531,0.003736264,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.004615385,0.01135531,0,0,0,0,0,0,0,0,OpenPalm
0,0.03245421,0.01135531,0.003736264,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.004615385,0.01106227,0,0,0,0,0,0,0,0,OpenPalm
0,0.03245421,0.01135531,0.003736264,0,0,0,0,0.1405861,0,OpenPalm
0.004615385,0.01106227,0,0,0,0,0,0,0,0,OpenPalm
0,0.03245421,0.01135531,0.003736264,0,0,0,0,0.1405861,0,OpenPalm
0.004029304,0.01106227,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01135531,0.003736264,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.004029304,0.01106227,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01106227,0.003736264,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.004029304,0.01076923,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01106227,0.003736264,0,0,0,0,0.1405861,0,OpenPalm
0.004029304,0.01106227,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01106227,0.003150183,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.003736264,0.01106227,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01106227,0.003150183,0,0,0,0,0.1405861,0,OpenPalm
0.004029304,0.01076923,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01106227,0.003150183,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.003736264,0.01106227,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01106227,0.003150183,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.003736264,0.01076923,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01076923,0.003150183,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.003443223,0.01018315,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01076923,0.003150183,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.003736264,0.01076923,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01076923,0.003150183,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.003736264,0.01076923,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01076923,0.003150183,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.003736264,0.01076923,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01076923,0.003150183,0,0,0,0,0.1405861,0,OpenPalm
0.003443223,0.01018315,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01047619,0.003150183,0,0,0,0,0.1405861,0.0002197802,OpenPalm
0.003443223,0.01018315,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01047619,0.002857143,0,0,0,0,0.1405861,0,OpenPalm
0.003443223,0.01018315,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01047619,0.002857143,0,0,0,0,0.1405861,0,OpenPalm
0.003443223,0.01018315,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01047619,0.002857143,0,0,0,0,0.1405861,0,OpenPalm
0.003443223,0.01018315,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01047619,0.002857143,0,0,0,0,0.1405861,0,OpenPalm
0.003150183,0.00989011,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01047619,0.002857143,0,0,0,0,0.1405861,0,OpenPalm
0.003150183,0.00989011,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.01047619,0.002857143,0,0,0,0,0.1405861,0,OpenPalm
0.003150183,0.00989011,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.00989011,0.002857143,0,0,0,0,0.1405861,0,OpenPalm
0.003150183,0.00989011,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.00989011,0.002857143,0,0,0,0,0.1405861,0,OpenPalm
0.003150183,0.00989011,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.00989011,0.002564103,0,0,0,0,0.1405861,0,OpenPalm
0.003150183,0.00989011,0,0,0,0,0,0,0,0,OpenPalm
0,0.03216117,0.00989011,0.002564103,0,0,0,0,0.1405861,0,OpenPalm
0.003150183,0.00989011,0,0,0,0,0,0,0,0,OpenPalm
