pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.9268132,1,1,1,1,1,0.1338462,0,1,1,Pointing
1,1,1,0.7867399,1,1,0.2428571,0,1,0.7079121,Pointing
0.9010257,1,1,1,1,1,0.129011,0,1,1,Pointing
1,1,1,0.7867399,1,1,0.2428571,0,1,0.7079121,Pointing
0.8934066,1,1,1,1,1,0.129011,0,1,1,Pointing
1,1,1,0.7867399,1,1,0.2428571,0,1,0.7079121,Pointing
0.8822711,1,1,1,1,1,0.1266667,0,1,1,Pointing
1,1,1,0.7867399,1,1,0.2463736,0,1,0.7079121,Pointing
0.8594139,1,1,0.9780952,1,1,0.1266667,0,1,1,Pointing
1,1,1,0.7867399,1,1,0.2454945,0,1,0.6806594,Pointing
0.8629304,1,1,0.9742857,1,1,0.1266667,0,1,1,Pointing
1,1,1,0.7867399,1,1,0.2454945,0,1,0.6789011,Pointing
0.8617582,1,1,0.9742857,1,1,0.1266667,0,1,1,Pointing
1,1,1,0.7867399,1,1,0.2454945,0,1,0.6745055,Pointing
0.8667399,1,1,0.9742857,1,1,0.125055,0,1,1,Pointing
1,1,1,0.7867399,1,1,0.2454945,0,1,0.6730403,Pointing
0.8664469,1,1,0.9742857,1,1,0.1232967,0,1,1,Pointing
1,1,1,0.7867399,1,1,0.2454945,0,1,0.6730403,Pointing
0.8450549,1,0.9985348,0.9520146,1,1,0.1093773,0,1,1,Pointing
1,1,1,0.7867399,1,1,0.2260073,0,1,0.6730403,Pointing
0.8450549,1,0.9985348,0.9520146,1,1,0.1093773,0,1,1,Pointing
1,1,1,0.7867399,1,1,0.2260073,0,1,0.6730403,Pointing
0.8368498,1,0.9985348,0.9376557,1,1,0.1,0,1,1,Pointing
1,1,1,0.7867399,1,1,0.2097436,0,1,0.6730403,Pointing
0.7934799,1,0.9669597,0.9203663,1,1,0.08959707,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.198315,0,1,0.6730403,Pointing
0.7934799,1,0.9669597,0.9203663,1,1,0.08959707,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1974359,0,1,0.6730403,Pointing
0.7893773,1,0.9590476,0.9074726,1,1,0.08842491,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1956777,0,1,0.6730403,Pointing
0.7893773,1,0.9590476,0.9021978,1,1,0.08783883,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1956777,0,1,0.6730403,Pointing
0.7893773,1,0.9590476,0.8951648,1,1,0.08783883,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1819048,0,1,0.6789011,Pointing
0.7893773,1,0.9590476,0.8881319,1,1,0.08901099,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1775092,0,1,0.6821246,Pointing
0.7893773,1,0.9590476,0.8881319,1,1,0.09106227,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6759707,Pointing
0.7893773,1,0.9590476,0.8881319,1,1,0.09164836,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6564835,Pointing
0.7923077,1,0.9590476,0.8881319,1,1,0.09252747,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6454945,Pointing
0.7934799,1,0.9590476,0.8881319,1,1,0.09369963,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8046154,1,0.9681318,0.8881319,1,1,0.09399267,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8242491,1,0.9819047,0.8881319,1,1,0.09223443,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8242491,1,0.9819047,0.8881319,1,1,0.09223443,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8274725,1,0.9819047,0.8881319,1,1,0.09164836,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.830696,1,0.9827839,0.8881319,1,1,0.09076923,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8353846,1,0.9860073,0.8881319,1,1,0.09018315,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8371428,1,0.983663,0.8881319,1,1,0.08901099,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8362637,1,0.983663,0.8881319,1,1,0.08725274,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8362637,1,0.983663,0.8881319,1,1,0.08725274,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.838315,1,0.9842491,0.8881319,1,1,0.08637363,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8391941,1,0.9854212,0.8881319,1,1,0.08608059,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8406593,1,0.9845421,0.8881319,1,1,0.0854945,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8415385,1,0.9857143,0.8881319,1,1,0.08520146,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8418315,1,0.9865934,0.8881319,1,1,0.08520146,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.08461539,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.0840293,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.08344322,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.08285714,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.08197802,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.08168498,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.0796337,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6457875,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.07904762,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.07904762,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.07875458,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.07787546,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.07787546,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9865934,0.8881319,1,1,0.07699633,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9868864,0.8881319,1,1,0.0767033,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9868864,0.8881319,1,1,0.07641026,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9868864,0.8881319,1,1,0.07641026,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9868864,0.8881319,1,1,0.07611722,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9868864,0.8881319,1,1,0.07641026,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9868864,0.8887179,1,1,0.07641026,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9868864,0.8881319,1,1,0.07641026,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6469597,Pointing
0.8415385,1,0.9868864,0.8881319,1,1,0.07641026,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6481319,Pointing
0.8415385,1,0.9868864,0.8881319,1,1,0.07523809,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.1757509,0,1,0.6528205,Pointing
0.8415385,1,0.9868864,0.8881319,1,1,0.07435898,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6542857,Pointing
0.8415385,1,0.9868864,0.889304,1,1,0.07230769,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6610256,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06967033,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.663663,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06732601,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.663663,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06615385,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6645421,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06615385,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6645421,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06468865,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6651282,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06293041,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06293041,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06293041,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06234432,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06234432,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.0614652,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06087912,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06058608,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06029304,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06029304,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.05970696,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.05941392,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.05912088,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06029304,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06058608,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8415385,1,0.9868864,0.889597,1,1,0.06058608,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8421246,1,0.9868864,0.889597,1,1,0.06,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8430037,1,0.9868864,0.889597,1,1,0.06,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9868864,0.889597,1,1,0.05970696,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9871795,0.889597,1,1,0.0585348,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9871795,0.889597,1,1,0.0570696,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9871795,0.889597,1,1,0.05677656,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9871795,0.889597,1,1,0.05677656,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9871795,0.889597,1,1,0.05677656,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9871795,0.889597,1,1,0.05648352,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9871795,0.889597,1,1,0.05619048,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9871795,0.889597,1,1,0.05619048,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9871795,0.889597,1,1,0.05589744,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9871795,0.889597,1,1,0.05531136,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9871795,0.889597,1,1,0.05501831,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8435898,1,0.9871795,0.889597,1,1,0.05501831,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8441759,1,0.9871795,0.889597,1,1,0.05501831,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.845055,1,0.9871795,0.889597,1,1,0.05501831,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8453481,1,0.9871795,0.889597,1,1,0.05472527,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8465202,1,0.9871795,0.889597,1,1,0.05443224,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8465202,1,0.9871795,0.889597,1,1,0.05443224,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8465202,1,0.9871795,0.889597,1,1,0.05413919,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8465202,1,0.9871795,0.889597,1,1,0.05413919,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8465202,1,0.9871795,0.889597,1,1,0.05384615,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8465202,1,0.9871795,0.889597,1,1,0.05384615,0,1,1,Pointing
1,1,1,0.7482051,1,1,0.176044,0,1,0.6660074,Pointing
0.8465202,1,0.9871795,0.889597,1,1,0.05384615,0,1,1,Pointing
