pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.3993407,0.7383882,0.7263736,0.721978,0.3993407,0.03421246,1,0.4928205,0.3134799,0.3187546,MiddleFinger
0.4142857,1,0.9320879,1,0.5652015,0.06527472,1,0.619707,0.5511355,0.139707,MiddleFinger
0.3993407,0.7383882,0.7199267,0.6894505,0.3996337,0.03421246,1,0.4928205,0.3134799,0.3260806,MiddleFinger
0.4142857,1,0.9332601,1,0.5684249,0.06527472,1,0.6331868,0.5625641,0.169011,MiddleFinger
0.3814652,0.7383882,0.7161172,0.6894505,0.4002198,0.03421246,1,0.4928205,0.3134799,0.3357509,MiddleFinger
0.4142857,1,0.9341392,1,0.5701832,0.06498168,1,0.6408058,0.5695971,0.1877656,MiddleFinger
0.3814652,0.7383882,0.714652,0.6894505,0.4005128,0.03391941,1,0.4928205,0.3134799,0.350989,MiddleFinger
0.4142857,1,0.9350183,1,0.5704762,0.06498168,1,0.6428571,0.5719414,0.1945055,MiddleFinger
0.3814652,0.7383882,0.714652,0.6941392,0.401392,0.03391941,1,0.4942857,0.3134799,0.3671062,MiddleFinger
0.4142857,1,0.9356044,1,0.5742857,0.06468865,1,0.6542857,0.5821978,0.2217582,MiddleFinger
0.3814652,0.7383882,0.714652,0.7,0.4031502,0.03362637,1,0.4934066,0.3134799,0.3823443,MiddleFinger
0.4142857,1,0.9388278,1,0.583956,0.06439561,1,0.6683517,0.598022,0.2701099,MiddleFinger
0.3814652,0.7383882,0.714652,0.7046887,0.4034432,0.03333334,1,0.4934066,0.3134799,0.3884982,MiddleFinger
0.4142857,1,0.9441025,1,0.5868864,0.06380952,1,0.6774359,0.605641,0.2912088,MiddleFinger
0.3814652,0.7383882,0.714652,0.7041026,0.4028572,0.03333334,1,0.4934066,0.3134799,0.387619,MiddleFinger
0.4142857,1,0.9467399,1,0.5886447,0.06380952,1,0.6797802,0.6085714,0.3008791,MiddleFinger
0.3814652,0.7383882,0.714652,0.7058608,0.4028572,0.03333334,1,0.4934066,0.3134799,0.3890842,MiddleFinger
0.4142857,1,0.9487912,1,0.590989,0.06351648,1,0.6856411,0.612674,0.3175824,MiddleFinger
0.3814652,0.7383882,0.714652,0.7099634,0.4028572,0.03304029,1,0.4934066,0.3134799,0.3975824,MiddleFinger
0.4142857,1,0.9526007,1,0.5968498,0.06351648,1,0.6976557,0.6208792,0.3442491,MiddleFinger
0.3814652,0.7383882,0.714652,0.7178755,0.4028572,0.03304029,1,0.4934066,0.3134799,0.4113553,MiddleFinger
0.4142857,1,0.9578754,1,0.6030036,0.06322344,1,0.7055678,0.627619,0.3691575,MiddleFinger
0.3814652,0.7383882,0.714652,0.7231502,0.4028572,0.03304029,1,0.4934066,0.3134799,0.4219048,MiddleFinger
0.4142857,1,0.9637362,1,0.6103296,0.06293041,1,0.7137729,0.6334798,0.3882051,MiddleFinger
0.3814652,0.7383882,0.714652,0.7257875,0.4028572,0.03245421,1,0.4934066,0.3134799,0.4292308,MiddleFinger
0.4142857,1,0.9660805,1,0.6135532,0.06263737,1,0.7140659,0.6372894,0.3978755,MiddleFinger
0.3814652,0.7383882,0.714652,0.7284249,0.4028572,0.03245421,1,0.4934066,0.3134799,0.4333333,MiddleFinger
0.4142857,1,0.9684249,1,0.6156044,0.06263737,1,0.7164103,0.641392,0.4060806,MiddleFinger
0.3814652,0.7383882,0.714652,0.7298901,0.4028572,0.03245421,1,0.4934066,0.3134799,0.4377289,MiddleFinger
