pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.07875458,0.1927473,0.1520147,0.04095238,0.08959707,0.01282051,0.1795604,0,0.09663004,0.02014652,Nothing
0.1373626,0.1994872,0.2059341,0.1288645,0.190696,0.05208791,0.1953846,0.05736264,0.1353114,0.03538461,Nothing
0.07904762,0.1927473,0.1531868,0.04095238,0.09076923,0.01282051,0.1813187,0,0.09516484,0.01985348,Nothing
0.1373626,0.1994872,0.2062271,0.1288645,0.190696,0.05208791,0.1974359,0.05736264,0.1358974,0.03567766,Nothing
0.07904762,0.1927473,0.1531868,0.04095238,0.09135531,0.01282051,0.1830769,0,0.09369963,0.01956044,Nothing
0.1373626,0.1994872,0.2068132,0.1288645,0.1921612,0.05208791,0.2003663,0.05736264,0.1364835,0.0359707,Nothing
0.07934066,0.1927473,0.1531868,0.04095238,0.09164836,0.01282051,0.183956,0,0.09282051,0.01956044,Nothing
0.1373626,0.1994872,0.2071062,0.1288645,0.1924542,0.05208791,0.2006593,0.05736264,0.1364835,0.0359707,Nothing
0.07934066,0.1927473,0.1531868,0.04095238,0.09164836,0.01282051,0.1848352,0,0.09164836,0.0192674,Nothing
0.1376557,0.1994872,0.2079854,0.1288645,0.1933333,0.05208791,0.2021245,0.05736264,0.1370696,0.03626374,Nothing
0.07934066,0.1927473,0.1531868,0.04124542,0.09164836,0.01282051,0.1851282,0,0.09164836,0.0192674,Nothing
0.1376557,0.1994872,0.2079854,0.1288645,0.1933333,0.05208791,0.2021245,0.05736264,0.1370696,0.03626374,Nothing
0.07934066,0.1927473,0.1531868,0.04124542,0.09135531,0.01282051,0.1854212,0,0.09106227,0.0192674,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2032967,0.05736264,0.1385348,0.0359707,Nothing
0.07934066,0.1927473,0.1531868,0.04153846,0.09135531,0.01311355,0.1860073,0,0.08989011,0.01897436,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.05736264,0.1391209,0.0359707,Nothing
0.07934066,0.1927473,0.1531868,0.04153846,0.09135531,0.01311355,0.1863004,0,0.08959707,0.01897436,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.05736264,0.1391209,0.0359707,Nothing
0.07934066,0.1927473,0.1531868,0.04153846,0.09135531,0.01311355,0.1868864,0,0.08930403,0.01868132,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.0570696,0.1394139,0.0359707,Nothing
0.07934066,0.1927473,0.1531868,0.04153846,0.09164836,0.01311355,0.1871795,0,0.08930403,0.01868132,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.05736264,0.1394139,0.0359707,Nothing
0.07934066,0.1927473,0.1531868,0.04153846,0.09164836,0.01311355,0.1874725,0,0.08842491,0.01809524,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.0570696,0.1394139,0.0359707,Nothing
0.07934066,0.1927473,0.1531868,0.04153846,0.09194139,0.01311355,0.1883516,0,0.08754579,0.01809524,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.0570696,0.1394139,0.0359707,Nothing
0.0796337,0.1927473,0.1531868,0.04153846,0.09252747,0.01311355,0.1886447,0,0.08754579,0.01809524,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.0570696,0.1394139,0.0359707,Nothing
0.0796337,0.1927473,0.1531868,0.04153846,0.09282051,0.01311355,0.1892308,0,0.0869597,0.01809524,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.05677656,0.1394139,0.0359707,Nothing
0.0796337,0.1927473,0.1531868,0.0418315,0.09282051,0.01311355,0.1898168,0,0.08666667,0.0178022,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.0570696,0.1394139,0.0359707,Nothing
0.0796337,0.1927473,0.1531868,0.0418315,0.09369963,0.01311355,0.1904029,0,0.08666667,0.0178022,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.05677656,0.1394139,0.0359707,Nothing
0.0796337,0.1927473,0.1531868,0.04212454,0.09399267,0.01340659,0.190989,0,0.08608059,0.0178022,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.05677656,0.1394139,0.0359707,Nothing
0.0796337,0.1927473,0.1531868,0.0418315,0.09428571,0.01311355,0.190989,0,0.08578754,0.0178022,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05267399,0.2030037,0.0570696,0.1394139,0.0359707,Nothing
0.0796337,0.1927473,0.1531868,0.0418315,0.09428571,0.01340659,0.191282,0,0.0854945,0.0178022,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.05677656,0.1394139,0.03567766,Nothing
0.07992674,0.1927473,0.1531868,0.0418315,0.09428571,0.01340659,0.191282,0,0.0854945,0.0178022,Nothing
0.1376557,0.1994872,0.2082784,0.1288645,0.1930403,0.05238095,0.2030037,0.05677656,0.1394139,0.03567766,Nothing
