pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.02688645,0.05970696,0.01575092,0,0,0,0.02307692,0,0,0,OpenPalm
0.03772894,0.08608059,0.02893773,0.02659341,0,0.01252747,0.01750916,0.004322344,0,0.01369963,OpenPalm
0.02688645,0.05941392,0.01516484,0,0,0,0.02307692,0,0,0,OpenPalm
0.0374359,0.08578754,0.02893773,0.02659341,0,0.01252747,0.0178022,0.004029304,0,0.01369963,OpenPalm
0.02688645,0.05941392,0.01516484,0,0,0,0.02307692,0,0,0,OpenPalm
0.0374359,0.08578754,0.02893773,0.02659341,0,0.01252747,0.0178022,0.004029304,0,0.01369963,OpenPalm
0.02659341,0.05970696,0.01516484,0,0,0,0.02307692,0,0,0,OpenPalm
0.03684982,0.08520146,0.02835165,0.02542125,0,0.01164835,0.0178022,0.003150183,0,0.01369963,OpenPalm
0.02659341,0.05912088,0.01487179,0,0,0,0.02278388,0,0,0,OpenPalm
0.03655678,0.08490843,0.02805861,0.0251282,0,0.01135531,0.016337,0.002857143,0,0.01369963,OpenPalm
0.02659341,0.05912088,0.01487179,0,0,0,0.02249084,0,0,0,OpenPalm
0.03655678,0.08461539,0.02805861,0.02483517,0,0.01106227,0.01545788,0.002564103,0,0.01369963,OpenPalm
0.02659341,0.05941392,0.01487179,0,0,0,0.0221978,0,0,0,OpenPalm
0.03626374,0.08461539,0.02747253,0.02454212,0,0.01106227,0.01487179,0.002271062,0,0.01369963,OpenPalm
0.02659341,0.05882784,0.01487179,0,0,0,0.02190476,0,0,0,OpenPalm
0.03655678,0.08461539,0.02747253,0.02483517,0,0.01106227,0.01457876,0.002271062,0,0.01369963,OpenPalm
0.02630037,0.05882784,0.01487179,0,0,0,0.02161172,0,0,0,OpenPalm
0.03655678,0.08432234,0.02747253,0.02454212,0,0.01106227,0.01428571,0.002271062,0,0.01369963,OpenPalm
0.02659341,0.05882784,0.01487179,0,0,0,0.02102564,0,0,0,OpenPalm
0.03626374,0.08432234,0.02747253,0.02454212,0,0.01076923,0.01369963,0.001978022,0,0.01369963,OpenPalm
0.02659341,0.05882784,0.01487179,0,0,0,0.0207326,0,0,0,OpenPalm
0.03626374,0.0840293,0.02747253,0.02424908,0,0.01076923,0.01340659,0.001978022,0,0.01340659,OpenPalm
0.02630037,0.0585348,0.01487179,0,0,0,0.02043956,0,0,0,OpenPalm
0.03626374,0.0840293,0.02717949,0.02424908,0,0.01076923,0.01282051,0.001684982,0,0.01340659,OpenPalm
0.02630037,0.0585348,0.01457876,0,0,0,0.02014652,0,0,0,OpenPalm
0.03626374,0.0840293,0.02717949,0.02395604,0,0.01018315,0.01282051,0.001684982,0,0.01340659,OpenPalm
0.02630037,0.0585348,0.01457876,0,0,0,0.0192674,0,0,0,OpenPalm
0.03626374,0.08344322,0.02747253,0.02395604,0,0.01076923,0.01252747,0.001684982,0,0.01340659,OpenPalm
0.02630037,0.05824176,0.01457876,0,0,0,0.01897436,0,0,0,OpenPalm
0.03626374,0.08344322,0.02747253,0.02395604,0,0.01018315,0.01223443,0.001391941,0,0.01340659,OpenPalm
0.02600733,0.05824176,0.01457876,0,0,0,0.01897436,0,0,0,OpenPalm
0.03626374,0.08344322,0.02747253,0.023663,0,0.01018315,0.01164835,0.001391941,0,0.01340659,OpenPalm
0.02630037,0.05794872,0.01457876,0,0,0,0.01897436,0,0,0,OpenPalm
0.03626374,0.08315019,0.02747253,0.023663,0,0.01018315,0.01135531,0.001391941,0,0.01340659,OpenPalm
0.02600733,0.05824176,0.01457876,0,0,0,0.0192674,0,0,0,OpenPalm
0.03626374,0.08315019,0.02747253,0.023663,0,0.01018315,0.01106227,0.0008058608,0,0.01340659,OpenPalm
0.02600733,0.05794872,0.01457876,0,0,0,0.01956044,0,0,0,OpenPalm
