pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.03772894,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.01252747,0,0.5627106,0.03684982,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.03802198,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.01252747,0,0.5627106,0.03684982,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.03831502,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.01194139,0,0.5627106,0.03684982,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.03831502,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.01164835,0,0.5627106,0.03684982,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.03860806,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.01106227,0,0.5627106,0.03655678,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.03860806,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.01106227,0,0.5627106,0.03626374,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.0389011,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.01076923,0,0.5627106,0.03626374,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.03978022,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.01047619,0,0.5627106,0.03567766,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.04007326,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.00989011,0,0.5627106,0.03567766,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.03978022,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.00989011,0,0.5627106,0.03567766,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.03978022,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.00989011,0,0.5627106,0.03567766,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.03948718,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.00959707,0,0.5627106,0.03509158,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.03978022,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.00959707,0,0.5627106,0.03479854,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.04065934,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.00959707,0,0.5627106,0.03479854,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.04065934,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.00959707,0,0.5627106,0.03450549,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.04065934,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.00959707,0,0.5627106,0.03450549,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.04065934,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.00959707,0,0.5627106,0.03421246,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.04124542,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.00989011,0,0.5627106,0.03421246,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.04124542,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.01047619,0,0.5627106,0.03421246,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.04153846,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.01047619,0,0.5627106,0.03391941,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.04153846,0,0.5153847,0.3785348,Pointing
0.1997802,0.4397802,0.6372894,1,1,1,0.01076923,0,0.5627106,0.03391941,Pointing
0.3685714,0.4696703,0.9461538,0.8301099,1,0.9928205,0.04271062,0,0.5153847,0.3785348,Pointing
