pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,0.6531135,1,0.4964836,0.6446154,0,1,0.3483517,1,1,MiddleFinger
0.86,0.6361172,1,0.3184615,0.7339927,0.004029304,1,0.4389011,0.6598535,0.3577289,MiddleFinger
1,0.6531135,1,0.4964836,0.6446154,0,1,0.3483517,1,1,MiddleFinger
0.86,0.6361172,1,0.3184615,0.7339927,0.004029304,1,0.4389011,0.6598535,0.3577289,MiddleFinger
1,0.6531135,1,0.4964836,0.6446154,0,1,0.3483517,1,1,MiddleFinger
0.86,0.6361172,1,0.3184615,0.7339927,0.004029304,1,0.4389011,0.6598535,0.3577289,MiddleFinger
1,0.6531135,1,0.4964836,0.6446154,0,1,0.3483517,1,1,MiddleFinger
0.86,0.6361172,1,0.3184615,0.7339927,0.004029304,1,0.4389011,0.6598535,0.3439561,MiddleFinger
1,0.6531135,1,0.4970697,0.6446154,0,1,0.3334066,1,1,MiddleFinger
0.86,0.6361172,1,0.3184615,0.7339927,0.003736264,1,0.4389011,0.6598535,0.3295971,MiddleFinger
1,0.6531135,1,0.4973627,0.6446154,0,1,0.3322344,1,1,MiddleFinger
0.86,0.6361172,1,0.3184615,0.7339927,0.003736264,1,0.4389011,0.6598535,0.3230036,MiddleFinger
1,0.6531135,1,0.4967766,0.6446154,0,1,0.3328205,1,1,MiddleFinger
0.86,0.6361172,1,0.3184615,0.7339927,0.003736264,1,0.4389011,0.6598535,0.3230036,MiddleFinger
1,0.6531135,1,0.4976557,0.6446154,0,1,0.3328205,1,1,MiddleFinger
0.86,0.6361172,1,0.3184615,0.7339927,0.003736264,1,0.4389011,0.6598535,0.3230036,MiddleFinger
1,0.6531135,1,0.499121,0.6375824,0,1,0.3328205,0.9798535,1,MiddleFinger
0.86,0.6361172,1,0.3184615,0.7339927,0.003443223,1,0.4389011,0.6598535,0.3230036,MiddleFinger
1,0.6531135,1,0.499414,0.6301098,0,1,0.3328205,0.9783882,1,MiddleFinger
0.86,0.6361172,1,0.3184615,0.7339927,0.003443223,1,0.4389011,0.6598535,0.3230036,MiddleFinger
1,0.6531135,1,0.5011722,0.6301098,0,1,0.3328205,0.9731135,1,MiddleFinger
0.8602931,0.6050549,1,0.3184615,0.7339927,0.003443223,1,0.4389011,0.6598535,0.3232967,MiddleFinger
1,0.6531135,1,0.5026374,0.6301098,0,1,0.3328205,0.9713553,1,MiddleFinger
0.8602931,0.5946519,1,0.3184615,0.7339927,0.003150183,1,0.4389011,0.6598535,0.3238828,MiddleFinger
1,0.6531135,1,0.5043957,0.6301098,0,1,0.3328205,0.9654945,1,MiddleFinger
0.8605861,0.5772161,1,0.3184615,0.7339927,0.003150183,1,0.4389011,0.6598535,0.3238828,MiddleFinger
1,0.6531135,1,0.5043957,0.6301098,0,1,0.3328205,0.9587546,1,MiddleFinger
0.8617583,0.5719414,1,0.3184615,0.7339927,0.002857143,1,0.4389011,0.6598535,0.3230036,MiddleFinger
1,0.6531135,1,0.5035166,0.6301098,0,1,0.3328205,0.9567033,1,MiddleFinger
0.8629304,0.568718,1,0.3184615,0.7339927,0.002857143,1,0.4389011,0.6598535,0.3230036,MiddleFinger
1,0.6531135,1,0.5026374,0.6301098,0,1,0.3191941,0.9534798,1,MiddleFinger
0.8626374,0.5666667,1,0.3184615,0.7339927,0.002857143,1,0.4389011,0.6598535,0.3230036,MiddleFinger
1,0.6531135,1,0.5026374,0.6301098,0,1,0.3191941,0.947326,1,MiddleFinger
0.8635165,0.5605128,1,0.3184615,0.7339927,0.002564103,1,0.4389011,0.6598535,0.3230036,MiddleFinger
1,0.6531135,1,0.5026374,0.6301098,0,1,0.3191941,0.9443956,1,MiddleFinger
0.8629304,0.5581685,1,0.3184615,0.7339927,0.002564103,1,0.4389011,0.6598535,0.3230036,MiddleFinger
1,0.6531135,1,0.5026374,0.6301098,0,1,0.3191941,0.940293,1,MiddleFinger
0.8629304,0.5575824,1,0.3184615,0.7339927,0.002271062,1,0.4389011,0.6598535,0.3230036,MiddleFinger
1,0.6531135,1,0.5026374,0.6301098,0,1,0.3191941,0.9338462,1,MiddleFinger
0.8629304,0.5549451,1,0.3184615,0.7339927,0.002271062,1,0.4389011,0.6598535,0.3230036,MiddleFinger
1,0.6531135,1,0.5026374,0.6301098,0,1,0.3191941,0.9303297,1,MiddleFinger
0.8629304,0.554652,1,0.3184615,0.7339927,0.001684982,1,0.4389011,0.6598535,0.3230036,MiddleFinger
