pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,0.4049084,1,0.04212454,1,0.3407328,1,0.2789009,1,0.3089377,Fist
1,0.3547984,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4049084,1,0.0418315,1,0.3407328,1,0.2789009,1,0.3104029,Fist
1,0.3534797,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4041758,1,0.04153846,1,0.3407328,1,0.2789009,1,0.3121612,Fist
1,0.3534797,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4041758,1,0.04153846,1,0.3407328,1,0.2774357,1,0.3124542,Fist
1,0.3523076,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4032967,1,0.04124542,1,0.3407328,1,0.2756775,1,0.3142124,Fist
1,0.3506958,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4025641,1,0.04095238,1,0.3407328,1,0.2756775,1,0.318022,Fist
1,0.3506958,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4012454,1,0.04065934,1,0.3407328,1,0.2742123,1,0.3262271,Fist
1,0.3506958,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4012454,1,0.0403663,1,0.3407328,1,0.2742123,1,0.3297436,Fist
1,0.3498167,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4012454,1,0.0403663,1,0.3407328,1,0.2742123,1,0.3291575,Fist
1,0.3486446,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4012454,1,0.0403663,1,0.3407328,1,0.2742123,1,0.3262271,Fist
1,0.3454211,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4009524,1,0.0403663,1,0.3410258,1,0.2742123,1,0.3262271,Fist
1,0.3454211,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4009524,1,0.0403663,1,0.3407328,1,0.2742123,1,0.3262271,Fist
1,0.3441025,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4009524,1,0.04007326,1,0.3407328,1,0.2742123,1,0.3262271,Fist
1,0.3441025,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4003663,1,0.04007326,1,0.3407328,1,0.2730401,1,0.3262271,Fist
1,0.3429303,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.4003663,1,0.04007326,1,0.3407328,1,0.271868,1,0.3262271,Fist
1,0.3417582,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.3997802,1,0.03948718,1,0.3407328,1,0.271868,1,0.3279854,Fist
1,0.3417582,1,0.2835898,1,0.7421978,1,0.5923076,1,0.2311356,Fist
1,0.3993406,1,0.03948718,1,0.3407328,1,0.271868,1,0.3288645,Fist
