pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.2797802,0.2778755,0.1734066,0.02893773,0,0,0.008131868,0,0.02190476,0,HandGun
0.4567765,0.2041758,0.3688645,0.3161172,0.02571429,0,0.001978022,0,0.02307692,0,HandGun
0.2806593,0.2778755,0.1778022,0.02893773,0,0,0.007838828,0,0.02043956,0,HandGun
0.4567765,0.2041758,0.3688645,0.3161172,0.02542125,0,0.001978022,0,0.02336996,0,HandGun
0.2806593,0.2778755,0.1810257,0.02893773,0,0,0.007838828,0,0.01985348,0,HandGun
0.4567765,0.2041758,0.3688645,0.3161172,0.02571429,0,0.001391941,0,0.02424908,0,HandGun
0.2806593,0.2778755,0.1813187,0.02893773,0,0,0.007545787,0,0.01897436,0,HandGun
0.4611722,0.2041758,0.3709158,0.3161172,0.02571429,0,0.001098901,0,0.02483517,0,HandGun
0.2806593,0.2778755,0.1804396,0.02893773,0,0,0.007545787,0,0.01897436,0,HandGun
0.4579487,0.2041758,0.3679854,0.3161172,0.0251282,0,0.001098901,0,0.02483517,0,HandGun
0.2806593,0.2778755,0.1801465,0.02893773,0,0,0.007252747,0,0.01868132,0,HandGun
0.4579487,0.2041758,0.3679854,0.3161172,0.02424908,0,0.001391941,0,0.023663,0,HandGun
0.2806593,0.2772894,0.1801465,0.02864469,0,0,0.006373626,0,0.01809524,0,HandGun
0.4579487,0.2041758,0.3679854,0.3161172,0.02424908,0,0.001098901,0,0.023663,0,HandGun
0.2806593,0.2768499,0.1801465,0.02864469,0,0,0.006373626,0,0.01809524,0,HandGun
0.4579487,0.2041758,0.3679854,0.3161172,0.02424908,0,0.001098901,0,0.02336996,0,HandGun
0.2806593,0.2768499,0.1801465,0.02864469,0,0,0.006373626,0,0.01809524,0,HandGun
0.4564835,0.2041758,0.3668132,0.3161172,0.02424908,0,0.001098901,0,0.02307692,0,HandGun
0.2821245,0.2768499,0.1801465,0.02864469,0,0,0.005787546,0,0.01809524,0,HandGun
0.4506227,0.2041758,0.3668132,0.3161172,0.02483517,0,0.002271062,0,0.02336996,0,HandGun
0.2885714,0.2768499,0.1868865,0.02952381,0,0,0.005787546,0,0.0178022,0,HandGun
0.4506227,0.2041758,0.3668132,0.3161172,0.02424908,0,0.002564103,0,0.02307692,0,HandGun
0.307619,0.277729,0.2279121,0.03245421,0,0,0.005787546,0,0.01575092,0,HandGun
0.4652747,0.2041758,0.3758974,0.321392,0.0251282,0,0.002857143,0,0.02278388,0,HandGun
0.3263736,0.2789012,0.2592674,0.03479854,0,0,0.005787546,0,0.01428571,0,HandGun
0.4913553,0.2041758,0.394359,0.3254945,0.02630037,0,0.003736264,0,0.02161172,0,HandGun
0.3427839,0.2791942,0.2824176,0.0359707,0,0,0.005787546,0,0.01194139,0,HandGun
0.4925275,0.2041758,0.3923077,0.3243224,0.02717949,0,0.005201465,0,0.02161172,0,HandGun
0.3483516,0.2791942,0.285641,0.03626374,0,0,0.005787546,0,0.01106227,0,HandGun
0.4910623,0.2041758,0.3896703,0.3240293,0.02747253,0,0.005787546,0,0.02161172,0,HandGun
0.3474725,0.2789012,0.2642491,0.03567766,0,0,0.005494506,0,0.00989011,0,HandGun
0.4904762,0.2041758,0.3884982,0.3240293,0.02747253,0,0.006373626,0,0.02278388,0,HandGun
0.3419048,0.2789012,0.2349451,0.03450549,0,0,0.005201465,0,0.01018315,0,HandGun
0.5074725,0.2041758,0.394359,0.3240293,0.02747253,0,0.005494506,0,0.02336996,0,HandGun
0.2948718,0.2789012,0.2258608,0.03362637,0,0,0.005201465,0,0.01018315,0,HandGun
0.510696,0.2041758,0.3934799,0.3240293,0.02747253,0,0.004029304,0,0.02424908,0,HandGun
0.2513553,0.2778755,0.219707,0.03274725,0,0,0.004908425,0,0.00989011,0,HandGun
0.511282,0.2041758,0.3917216,0.3252015,0.02776557,0,0.004908425,0,0.02952381,0,HandGun
0.2260073,0.2778755,0.2170696,0.03245421,0,0,0.004908425,0,0.00989011,0,HandGun
0.5356044,0.2041758,0.4148718,0.3263737,0.03157509,0,0.01047619,0,0.04769231,0,HandGun
0.2117949,0.2778755,0.2153113,0.03245421,0,0,0.004908425,0,0.00989011,0,HandGun
0.6076923,0.205348,0.4515018,0.3252015,0.0403663,0,0.02102564,0,0.08021978,0,HandGun
0.2091575,0.2778755,0.2062271,0.03245421,0,0,0.004615385,0,0.008424909,0,HandGun
0.6677656,0.2079854,0.489304,0.3252015,0.04915751,0,0.02893773,0,0.1010256,0,HandGun
0.2091575,0.2790477,0.2076923,0.03274725,0,0,0.004322344,0,0.006666667,0,HandGun
0.7213919,0.2112088,0.5209523,0.3252015,0.06205128,0,0.03450549,0,0.1142125,0,HandGun
0.2091575,0.2796338,0.2076923,0.03274725,0,0,0.004029304,0,0.004615385,0,HandGun
0.6897436,0.2076923,0.4799268,0.3252015,0.05941392,0,0.02893773,0,0.1291575,0,HandGun
0.2091575,0.2802199,0.2076923,0.03333334,0,0,0.004029304,0,0.004615385,0,HandGun
0.6534066,0.2073993,0.46337,0.3252015,0.05384615,0,0.0251282,0,0.1394139,0,HandGun
0.2091575,0.2802199,0.2076923,0.03333334,0,0,0.004029304,0,0.004615385,0,HandGun
0.6211722,0.2073993,0.4430037,0.3252015,0.04857143,0,0.02014652,0,0.1303297,0,HandGun
0.2091575,0.2802199,0.2076923,0.03333334,0,0,0.003736264,0,0.005201465,0,HandGun
0.6229304,0.2073993,0.4808059,0.3316484,0.04827839,0,0.01663004,0,0.1133333,0,HandGun
0.2091575,0.2802199,0.2076923,0.03274725,0,0,0.004029304,0,0.006373626,0,HandGun
0.649304,0.2073993,0.50337,0.3293041,0.05179487,0,0.01575092,0,0.1074725,0,HandGun
0.2091575,0.2802199,0.2076923,0.03274725,0,0,0.004029304,0,0.007545787,0,HandGun
0.6589743,0.2073993,0.5019048,0.328425,0.05589744,0,0.01692308,0,0.1016117,0,HandGun
0.2091575,0.2802199,0.2076923,0.03274725,0,0,0.003736264,0,0.008717949,0,HandGun
0.6536996,0.2073993,0.4758242,0.328425,0.05560439,0,0.01692308,0,0.09223443,0,HandGun
0.2091575,0.2802199,0.2076923,0.03245421,0,0,0.003736264,0,0.008717949,0,HandGun
0.6241026,0.2073993,0.4579487,0.328425,0.05062271,0,0.01487179,0,0.08608059,0,HandGun
0.2091575,0.2796338,0.2076923,0.03245421,0,0,0.003443223,0,0.008424909,0,HandGun
0.6073993,0.2073993,0.4432967,0.328425,0.04652015,0,0.01369963,0,0.0810989,0,HandGun
0.2091575,0.2796338,0.2076923,0.03216117,0,0,0.003443223,0,0.008424909,0,HandGun
0.6079854,0.2073993,0.4374359,0.328425,0.0462271,0,0.01399267,0,0.07494505,0,HandGun
0.2091575,0.2789012,0.2076923,0.03216117,0,0,0.003443223,0,0.008717949,0,HandGun
0.6079854,0.2073993,0.4359707,0.328425,0.0462271,0,0.01428571,0,0.07113553,0,HandGun
0.2091575,0.2789012,0.2076923,0.03186813,0,0,0.003150183,0,0.009010989,0,HandGun
0.6115018,0.2079854,0.4359707,0.3295971,0.04505495,0,0.01369963,0,0.06380952,0,HandGun
0.2091575,0.2789012,0.2076923,0.03186813,0,0,0.003150183,0,0.01076923,0,HandGun
0.6088645,0.2079854,0.4359707,0.3295971,0.04271062,0,0.01223443,0,0.06175824,0,HandGun
0.2091575,0.2775825,0.2076923,0.03157509,0,0,0.002564103,0,0.01135531,0,HandGun
0.598022,0.2079854,0.4221978,0.3295971,0.04065934,0,0.01076923,0,0.06058608,0,HandGun
0.2091575,0.2775825,0.2076923,0.03157509,0,0,0.003150183,0,0.01457876,0,HandGun
0.5942125,0.2079854,0.4154579,0.3295971,0.04124542,0,0.009304029,0,0.05970696,0,HandGun
0.2091575,0.2765569,0.2076923,0.03128205,0,0,0.003150183,0,0.01692308,0,HandGun
0.5745788,0.2079854,0.394359,0.3295971,0.04065934,0,0.005201465,0,0.05677656,0,HandGun
0.2091575,0.2765569,0.2076923,0.03128205,0,0,0.003443223,0,0.01985348,0,HandGun
0.5731136,0.2079854,0.3928938,0.3295971,0.0403663,0,0.004908425,0,0.05619048,0,HandGun
0.2091575,0.2745056,0.2076923,0.03098901,0,0,0.003736264,0,0.02630037,0,HandGun
0.5654945,0.2079854,0.3861538,0.3295971,0.04007326,0,0.002564103,0,0.05472527,0,HandGun
0.2091575,0.2745056,0.2076923,0.03069597,0,0,0.003736264,0,0.02307692,0,HandGun
0.5610989,0.2079854,0.3846886,0.3295971,0.03567766,0,0.001978022,0,0.05384615,0,HandGun
0.2091575,0.2745056,0.2076923,0.03069597,0.0002197802,0,0.003736264,0,0.02190476,0,HandGun
0.5584615,0.2079854,0.3849817,0.3295971,0.03216117,0,0.001391941,0,0.05355311,0,HandGun
0.2091575,0.2745056,0.2076923,0.03069597,0.0005128205,0,0.004029304,0,0.02190476,0,HandGun
0.5584615,0.2079854,0.3849817,0.3295971,0.03128205,0,0.001098901,0,0.05296703,0,HandGun
0.2091575,0.2745056,0.2076923,0.03069597,0.0005128205,0,0.004029304,0,0.02249084,0,HandGun
0.5584615,0.2079854,0.3849817,0.3295971,0.02864469,0,0.0005128205,0,0.05208791,0,HandGun
0.2091575,0.2745056,0.2076923,0.03069597,0.0002197802,0,0.004029304,0,0.02190476,0,HandGun
0.5584615,0.2079854,0.3849817,0.3295971,0.02776557,0,0,0,0.05150183,0,HandGun
0.2091575,0.2745056,0.2076923,0.03069597,0,0,0.003443223,0,0.0192674,0,HandGun
0.5467399,0.2079854,0.3720879,0.3295971,0.02717949,0,0,0,0.05120879,0,HandGun
0.2091575,0.274066,0.2076923,0.03040293,0,0,0.003443223,0,0.01809524,0,HandGun
0.5455678,0.2079854,0.3703297,0.3295971,0.02659341,0,0,0,0.05091575,0,HandGun
0.2091575,0.2730404,0.2076923,0.03040293,0,0,0.003443223,0,0.01545788,0,HandGun
0.5441025,0.2079854,0.3679853,0.3295971,0.02600733,0,0,0,0.05091575,0,HandGun
0.2091575,0.2730404,0.2076923,0.03040293,0,0,0.003443223,0,0.01575092,0,HandGun
0.5441025,0.2079854,0.3679853,0.3295971,0.02542125,0,0,0,0.05091575,0,HandGun
0.2091575,0.2730404,0.2076923,0.03040293,0,0,0.003736264,0,0.016337,0,HandGun
0.5441025,0.2079854,0.3679853,0.3295971,0.0251282,0,0,0,0.05032967,0,HandGun
0.2091575,0.2730404,0.2076923,0.02981685,0,0,0.003736264,0,0.023663,0,HandGun
0.5441025,0.2079854,0.3679853,0.3295971,0.02483517,0,0,0,0.04974359,0,HandGun
0.2091575,0.2724543,0.2076923,0.02981685,0,0,0.003736264,0,0.02981685,0,HandGun
0.5441025,0.2079854,0.3679853,0.3295971,0.02424908,0,0,0,0.04857143,0,HandGun
0.2091575,0.270403,0.2076923,0.02952381,0.0002197802,0,0.003443223,0,0.0432967,0,HandGun
0.5441025,0.2079854,0.3756044,0.3307693,0.02395604,0,0,0,0.0403663,0,HandGun
0.2091575,0.270403,0.2076923,0.02952381,0.0002197802,0,0.003443223,0,0.04681319,0,HandGun
0.5441025,0.2085714,0.3767765,0.3322345,0.02424908,0,0,0,0.03684982,0,HandGun
0.2091575,0.270403,0.2076923,0.02952381,0.0005128205,0,0.003150183,0,0.05150183,0,HandGun
0.5441025,0.2109158,0.3764835,0.335751,0.02571429,0,0,0,0.02717949,0,HandGun
0.2091575,0.270403,0.2076923,0.02923077,0.0005128205,0,0.002564103,0,0.05238095,0,HandGun
0.5208058,0.2100366,0.3512821,0.3436631,0.02923077,0,0,0,0.01663004,0,HandGun
0.2091575,0.2693774,0.2076923,0.02923077,0,0,0.002564103,0,0.05062271,0,HandGun
0.5080586,0.2100366,0.3427839,0.3463004,0.02952381,0,0,0,0.01545788,0,HandGun
0.2091575,0.2693774,0.2076923,0.02923077,0,0,0.002271062,0,0.04798535,0,HandGun
0.5021978,0.2100366,0.3339927,0.3448352,0.02864469,0,0,0,0.01487179,0,HandGun
0.2091575,0.2683517,0.2076923,0.02923077,0,0,0.002271062,0,0.04505495,0,HandGun
0.5042491,0.2100366,0.3319414,0.3442492,0.02776557,0,0,0,0.01516484,0,HandGun
0.2091575,0.2683517,0.2076923,0.02923077,0,0,0.002271062,0,0.04388278,0,HandGun
0.5048352,0.2100366,0.3266667,0.3442492,0.02717949,0,0,0,0.01604396,0,HandGun
0.2091575,0.2683517,0.2076923,0.02923077,0,0,0.002271062,0,0.04095238,0,HandGun
0.5065935,0.2100366,0.3210989,0.3442492,0.02659341,0,0,0,0.01252747,0,HandGun
0.2091575,0.2683517,0.2076923,0.02923077,0,0,0.001978022,0,0.03978022,0,HandGun
0.5065935,0.2100366,0.3193406,0.3442492,0.02630037,0,0,0,0.01252747,0,HandGun
0.2091575,0.2683517,0.2076923,0.02893773,0,0,0.001978022,0,0.03479854,0,HandGun
0.5083517,0.2100366,0.3184615,0.3442492,0.02571429,0,0,0,0.01252747,0,HandGun
0.2091575,0.2674726,0.2076923,0.02893773,0,0,0.001684982,0,0.03186813,0,HandGun
0.5200734,0.2100366,0.3184615,0.3442492,0.0251282,0,0,0,0.01164835,0,HandGun
0.2091575,0.2674726,0.2076923,0.02893773,0,0,0.001978022,0,0.03040293,0,HandGun
0.5159708,0.2100366,0.3105494,0.3442492,0.02483517,0,0,0,0.01106227,0,HandGun
0.2091575,0.2674726,0.2076923,0.02893773,0,0,0.001978022,0,0.02923077,0,HandGun
0.5142125,0.2100366,0.3087912,0.3442492,0.02424908,0,0,0,0.01106227,0,HandGun
0.2091575,0.2674726,0.2076923,0.02864469,0,0,0.001684982,0,0.02864469,0,HandGun
0.5061539,0.2100366,0.3052747,0.3442492,0.02395604,0,0,0,0.01135531,0,HandGun
0.2091575,0.2674726,0.2076923,0.02864469,0,0,0.001684982,0,0.02747253,0,HandGun
0.5010256,0.2100366,0.3029304,0.3442492,0.02336996,0,0,0,0.01106227,0,HandGun
0.2091575,0.2674726,0.2076923,0.02864469,0,0,0.001684982,0,0.02630037,0,HandGun
0.503956,0.2115018,0.3032234,0.3442492,0.02336996,0,0,0,0.01076923,0,HandGun
0.2091575,0.2674726,0.2076923,0.02864469,0,0,0.001684982,0,0.02542125,0,HandGun
0.511282,0.212381,0.3082051,0.3442492,0.02336996,0,0,0,0.01018315,0,HandGun
0.2091575,0.2674726,0.2076923,0.02864469,0,0,0.001684982,0,0.02249084,0,HandGun
0.5124542,0.212381,0.3105494,0.3442492,0.02336996,0,0,0,0.01076923,0,HandGun
0.2091575,0.2674726,0.2076923,0.02864469,0,0,0.001684982,0,0.02190476,0,HandGun
0.5136264,0.212674,0.3123077,0.3442492,0.02336996,0,0,0,0.01106227,0,HandGun
0.2091575,0.2671796,0.2076923,0.02864469,0,0,0.001684982,0,0.0207326,0,HandGun
0.5303296,0.2141392,0.329011,0.3442492,0.02424908,0,0,0,0.01135531,0,HandGun
0.2091575,0.2671796,0.2076923,0.02864469,0,0,0.001684982,0,0.02043956,0,HandGun
0.5962637,0.2188278,0.3753113,0.3454213,0.02747253,0,0,0,0.01164835,0,HandGun
0.2091575,0.2671796,0.2076923,0.02864469,0,0,0.001978022,0,0.02014652,0,HandGun
0.7049817,0.2252747,0.4336264,0.3477657,0.03069597,0,0,0,0.01311355,0,HandGun
0.2091575,0.2671796,0.2076923,0.02864469,0,0,0.001978022,0,0.01985348,0,HandGun
0.7120147,0.2258608,0.4359707,0.3477657,0.03069597,0,0,0,0.01399267,0,HandGun
0.2091575,0.2671796,0.2076923,0.02864469,0,0,0.001978022,0,0.01868132,0,HandGun
0.7120147,0.2261539,0.430696,0.3471796,0.03069597,0,0,0,0.01399267,0,HandGun
0.2091575,0.2671796,0.2076923,0.02835165,0,0,0.001684982,0,0.01692308,0,HandGun
0.6909158,0.2246886,0.4028572,0.3465935,0.02981685,0,0,0,0.01311355,0,HandGun
0.2091575,0.2671796,0.2076923,0.02835165,0,0,0.001684982,0,0.01545788,0,HandGun
0.6481318,0.2246886,0.3779487,0.3465935,0.02776557,0,0,0,0.01252747,0,HandGun
0.2091575,0.2671796,0.2076923,0.02864469,0,0,0.001684982,0,0.01516484,0,HandGun
0.6413919,0.2246886,0.3779487,0.3465935,0.02776557,0,0,0,0.01135531,0,HandGun
0.2091575,0.2671796,0.2076923,0.02864469,0,0,0.001684982,0,0.01457876,0,HandGun
0.641978,0.2246886,0.38,0.3465935,0.02805861,0,0,0,0.01106227,0,HandGun
0.2091575,0.2671796,0.2076923,0.02864469,0,0,0.001684982,0,0.01428571,0,HandGun
0.6375824,0.2246886,0.38,0.3465935,0.03069597,0,0,0,0.01428571,0,HandGun
0.2091575,0.26674,0.2076923,0.02835165,0,0,0.001684982,0,0.01428571,0,HandGun
0.6167766,0.2246886,0.38,0.3465935,0.02952381,0,0,0,0.01663004,0,HandGun
0.2091575,0.266447,0.2076923,0.02835165,0,0,0.001978022,0,0.01428571,0,HandGun
0.6109158,0.2246886,0.3694505,0.3465935,0.02835165,0,0,0,0.01721612,0,HandGun
0.2091575,0.2658609,0.2076923,0.02805861,0,0,0.002271062,0,0.01457876,0,HandGun
0.6112088,0.2246886,0.3703297,0.3465935,0.02864469,0,0,0,0.01604396,0,HandGun
0.2091575,0.2658609,0.2076923,0.02805861,0,0,0.002271062,0,0.01457876,0,HandGun
0.6217582,0.2252747,0.380293,0.3465935,0.02923077,0,0,0,0.01545788,0,HandGun
0.2091575,0.2658609,0.2076923,0.02776557,0,0,0.002564103,0,0.01457876,0,HandGun
0.6284982,0.2252747,0.3855678,0.3465935,0.02981685,0,0,0,0.01545788,0,HandGun
0.2091575,0.2654213,0.2076923,0.02776557,0,0,0.002564103,0,0.01457876,0,HandGun
0.6282051,0.2249817,0.3846886,0.3465935,0.03010989,0,0,0,0.01721612,0,HandGun
0.2091575,0.2646887,0.2076923,0.02747253,0,0,0.002564103,0,0.01457876,0,HandGun
0.6287912,0.2249817,0.3843956,0.3465935,0.02981685,0,0,0,0.0178022,0,HandGun
0.2091575,0.2646887,0.2076923,0.02747253,0,0,0.002564103,0,0.01457876,0,HandGun
0.6287912,0.2249817,0.3843956,0.3465935,0.02923077,0,0,0,0.01750916,0,HandGun
0.2091575,0.2646887,0.2076923,0.02747253,0,0,0.002564103,0,0.01457876,0,HandGun
0.6287912,0.2249817,0.3843956,0.3465935,0.02864469,0,0,0,0.01721612,0,HandGun
0.2091575,0.2646887,0.2076923,0.02747253,0,0,0.002564103,0,0.01457876,0,HandGun
0.6287912,0.2249817,0.3843956,0.3465935,0.02923077,0,0,0,0.01663004,0,HandGun
0.2091575,0.2646887,0.2076923,0.02747253,0,0,0.002564103,0,0.01457876,0,HandGun
0.670696,0.2279121,0.430696,0.3465935,0.0359707,0,0,0,0.01604396,0,HandGun
0.2091575,0.2646887,0.2076923,0.02747253,0,0,0.002564103,0,0.01428571,0,HandGun
0.6868132,0.2287912,0.4391941,0.3465935,0.0389011,0,0,0,0.01721612,0,HandGun
0.2091575,0.2646887,0.2076923,0.02747253,0,0,0.002564103,0,0.01340659,0,HandGun
0.6824176,0.2279121,0.4298168,0.3465935,0.04007326,0,0,0,0.01897436,0,HandGun
0.2091575,0.2646887,0.2076923,0.02747253,0,0,0.002564103,0,0.01311355,0,HandGun
0.6753846,0.227326,0.4245421,0.3471796,0.04065934,0,0,0,0.02102564,0,HandGun
0.2091575,0.2646887,0.2076923,0.02747253,0,0,0.002271062,0,0.01252747,0,HandGun
0.6658608,0.227326,0.4198535,0.3477657,0.04095238,0,0,0,0.02483517,0,HandGun
0.2091575,0.2646887,0.2076923,0.02747253,0,0,0.002564103,0,0.01252747,0,HandGun
0.6446154,0.227326,0.4122344,0.3477657,0.04007326,0,0.0002197802,0,0.03391941,0,HandGun
0.2091575,0.2646887,0.2076923,0.02717949,0,0,0.002564103,0,0.01428571,0,HandGun
0.6372894,0.227326,0.4107692,0.3512821,0.03772894,0,0,0,0.03216117,0,HandGun
0.2091575,0.2646887,0.2076923,0.02717949,0,0,0.002271062,0,0.01428571,0,HandGun
0.6413919,0.227326,0.430989,0.3530404,0.03772894,0,0,0,0.03157509,0,HandGun
0.2091575,0.2646887,0.2076923,0.02717949,0,0,0.002564103,0,0.01457876,0,HandGun
0.6592674,0.2334799,0.4556044,0.3515752,0.04007326,0,0,0,0.03421246,0,HandGun
0.2091575,0.2646887,0.2076923,0.02717949,0,0,0.003150183,0,0.01516484,0,HandGun
0.6674725,0.2372894,0.4664469,0.3506961,0.04241758,0,0.0002197802,0,0.03831502,0,HandGun
0.2091575,0.2646887,0.2076923,0.02688645,0,0,0.003150183,0,0.01575092,0,HandGun
0.6654212,0.2375824,0.4576557,0.3506961,0.04300366,0,0.001391941,0,0.04271062,0,HandGun
0.2091575,0.2646887,0.2076923,0.02688645,0,0,0.003150183,0,0.016337,0,HandGun
0.6513553,0.2367033,0.4427106,0.3506961,0.0418315,0,0.001391941,0,0.04388278,0,HandGun
0.2091575,0.2646887,0.2076923,0.02688645,0,0,0.003150183,0,0.016337,0,HandGun
0.6478388,0.2367033,0.4368498,0.3506961,0.0403663,0,0.0008058608,0,0.04241758,0,HandGun
0.2091575,0.2646887,0.2076923,0.02688645,0,0,0.003150183,0,0.016337,0,HandGun
0.6405128,0.2367033,0.4271795,0.3506961,0.03772894,0,0,0,0.0389011,0,HandGun
0.2091575,0.2646887,0.2076923,0.02688645,0,0,0.003150183,0,0.01692308,0,HandGun
0.6334798,0.2367033,0.4201465,0.3506961,0.0359707,0,0,0,0.03655678,0,HandGun
0.2091575,0.2645422,0.2076923,0.02688645,0,0,0.003150183,0,0.01692308,0,HandGun
0.6032967,0.2367033,0.4081319,0.3506961,0.03245421,0,0,0,0.03216117,0,HandGun
0.2091575,0.2645422,0.2076923,0.02688645,0,0,0.003150183,0,0.01692308,0,HandGun
0.6073993,0.2367033,0.4107692,0.3506961,0.03216117,0,0,0,0.02864469,0,HandGun
0.2091575,0.2645422,0.2076923,0.02630037,0,0,0.003150183,0,0.016337,0,HandGun
0.6103297,0.2375824,0.4107692,0.3506961,0.03216117,0,0,0,0.02805861,0,HandGun
0.2091575,0.2645422,0.2079854,0.02630037,0.0005128205,0,0.003150183,0,0.01575092,0,HandGun
0.6091575,0.2387546,0.4095971,0.3506961,0.03157509,0,0,0,0.02747253,0,HandGun
0.2094506,0.2645422,0.212674,0.02630037,0.002564103,0,0.004322344,0,0.0192674,0,HandGun
0.6035898,0.2396337,0.4043224,0.3512821,0.03245421,0,0,0,0.02571429,0,HandGun
0.2106227,0.2645422,0.2115018,0.02600733,0.004615385,0,0.006666667,0,0.02981685,0,HandGun
0.5939194,0.2399267,0.394652,0.3527473,0.0418315,0,0,0,0.02630037,0,HandGun
0.2109158,0.2610257,0.2109158,0.02454212,0.005787546,0,0.007545787,0,0.02835165,0,HandGun
0.5883517,0.2399267,0.3914286,0.3521613,0.0418315,0,0,0,0.02600733,0,HandGun
0.2109158,0.2610257,0.2109158,0.02454212,0.006959707,0,0.007252747,0,0.02424908,0,HandGun
0.5857143,0.2399267,0.3914286,0.3533334,0.0389011,0,0,0,0.02571429,0,HandGun
0.2109158,0.2589745,0.2109158,0.02395604,0.008424909,0,0.007545787,0,0.01252747,0,HandGun
0.576337,0.2399267,0.4028572,0.3553847,0.0359707,0,0,0,0.03128205,0,HandGun
0.2109158,0.2589745,0.2109158,0.02336996,0.01018315,0,0.007545787,0,0.003443223,0,HandGun
0.569304,0.2399267,0.4037363,0.3553847,0.03772894,0,0,0,0.0374359,0,HandGun
0.2109158,0.2589745,0.2100367,0.02278388,0.01487179,0,0.007545787,0,0.004029304,0,HandGun
0.6027106,0.2399267,0.4057876,0.3600733,0.04007326,0,0.004322344,0,0.05120879,0,HandGun
0.2109158,0.2589745,0.2205861,0.023663,0.01868132,0,0.009304029,0,0.01457876,0,HandGun
0.6331868,0.2399267,0.4057876,0.3638829,0.03655678,0,0.003736264,0,0.07054945,0,HandGun
0.2229304,0.2566301,0.2583883,0.0251282,0.03333334,0,0.01663004,0,0.06879121,0,HandGun
0.627619,0.2452015,0.3890842,0.3656411,0.03304029,0,0.0002197802,0,0.08197802,0,HandGun
0.2323077,0.2525276,0.2985348,0.02542125,0.04652015,0,0.02864469,0,0.0869597,0,HandGun
0.6150183,0.2481319,0.3843956,0.3665202,0.0403663,0,0,0,0.07728938,0,HandGun
0.2223443,0.2491576,0.285641,0.02542125,0.04827839,0,0.02805861,0,0.06849817,0,HandGun
0.6153114,0.2498901,0.3785348,0.3665202,0.05150183,0,0,0,0.07435898,0,HandGun
0.2072527,0.2491576,0.2680586,0.02600733,0.04388278,0,0.02307692,0,0.05179487,0,HandGun
0.6372894,0.2478388,0.3723809,0.3665202,0.05091575,0,0,0,0.07025641,0,HandGun
0.1902564,0.2491576,0.2449085,0.02630037,0.04271062,0,0.0221978,0,0.04827839,0,HandGun
0.6469597,0.2478388,0.3723809,0.3665202,0.04945055,0,0,0,0.06761905,0,HandGun
0.1841026,0.2491576,0.2290843,0.02864469,0.04007326,0,0.02043956,0,0.04798535,0,HandGun
0.6583883,0.2478388,0.3723809,0.3665202,0.04857143,0,0,0,0.06732601,0,HandGun
0.1826373,0.2494507,0.2290843,0.02923077,0.03978022,0,0.01897436,0,0.04446886,0,HandGun
0.6616117,0.2510623,0.3744322,0.3665202,0.04739927,0,0,0,0.06761905,0,HandGun
0.1826373,0.2509159,0.2290843,0.02864469,0.0403663,0,0.01663004,0,0.02835165,0,HandGun
0.6358242,0.2487179,0.3744322,0.3665202,0.04534798,0,0,0,0.07260073,0,HandGun
0.1826373,0.2512089,0.2290843,0.02864469,0.03860806,0,0.01545788,0,0.02424908,0,HandGun
0.605348,0.2487179,0.3615385,0.3665202,0.04300366,0,0,0,0.07084249,0,HandGun
0.1826373,0.2512089,0.2290843,0.02864469,0.03802198,0,0.01487179,0,0.02424908,0,HandGun
0.5989011,0.2487179,0.3638828,0.3637363,0.04271062,0,0,0,0.07025641,0,HandGun
0.1826373,0.251795,0.2106227,0.02864469,0.03567766,0,0.01369963,0,0.02864469,0,HandGun
