pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,0.3167034,0.8802198,0.07846154,0.5161172,0,1,0.04271062,0.8148718,0,MiddleFinger
0.5936264,0.2283517,0.7547986,0.3260806,0.6481318,0.008717949,1,0.4374359,1,0.1971429,MiddleFinger
1,0.3167034,0.8802198,0.0781685,0.5196337,0,1,0.04271062,0.8148718,0,MiddleFinger
0.6109158,0.2283517,0.7656411,0.3295971,0.6519414,0.008717949,1,0.4462271,1,0.1971429,MiddleFinger
1,0.3167034,0.8802198,0.07787546,0.5202198,0,1,0.04241758,0.8148718,0,MiddleFinger
0.6112088,0.2283517,0.7665202,0.3295971,0.6522344,0.009010989,1,0.4494505,1,0.1971429,MiddleFinger
1,0.3167034,0.8802198,0.07787546,0.5228572,0,1,0.04241758,0.8271795,0,MiddleFinger
0.6044689,0.2274725,0.7644689,0.3281319,0.6501831,0.009010989,1,0.4494505,1,0.1971429,MiddleFinger
1,0.3167034,0.8802198,0.07758242,0.5263736,0,1,0.04212454,0.8556044,0,MiddleFinger
0.5953846,0.2274725,0.7630037,0.3281319,0.6501831,0.009010989,1,0.445641,1,0.1971429,MiddleFinger
1,0.3167034,0.8802198,0.07758242,0.5269597,0,1,0.04212454,0.8720146,0,MiddleFinger
0.5886447,0.2265934,0.7336996,0.3281319,0.6314286,0.009010989,1,0.445641,1,0.1971429,MiddleFinger
1,0.3167034,0.8802198,0.07758242,0.5252015,0,1,0.04212454,0.8799267,0,MiddleFinger
0.5863004,0.2265934,0.7310623,0.3281319,0.6293773,0.009010989,1,0.4299634,1,0.1971429,MiddleFinger
1,0.3167034,0.8802198,0.07728938,0.5252015,0,1,0.04212454,0.8808059,0,MiddleFinger
0.583663,0.2251282,0.729011,0.3281319,0.6284982,0.009304029,1,0.4148718,1,0.1971429,MiddleFinger
1,0.3167034,0.8802198,0.07728938,0.5252015,0,1,0.0418315,0.8784615,0,MiddleFinger
0.583663,0.2251282,0.729011,0.3281319,0.6284982,0.009304029,1,0.4148718,1,0.1971429,MiddleFinger
1,0.3167034,0.8802198,0.07728938,0.5252015,0,1,0.0418315,0.8796337,0,MiddleFinger
0.583663,0.2251282,0.729011,0.3281319,0.6284982,0.009304029,1,0.4148718,1,0.1971429,MiddleFinger
1,0.3167034,0.8802198,0.07728938,0.5252015,0,1,0.04212454,0.8849084,0,MiddleFinger
0.583663,0.2251282,0.729011,0.3281319,0.6284982,0.00959707,1,0.4148718,1,0.1971429,MiddleFinger
1,0.3167034,0.8802198,0.07728938,0.5252015,0,1,0.04212454,0.8895971,0,MiddleFinger
0.583663,0.2251282,0.729011,0.3281319,0.6284982,0.00959707,1,0.4148718,1,0.1971429,MiddleFinger
1,0.3167034,0.8802198,0.07787546,0.5252015,0,1,0.04300366,0.9376557,0,MiddleFinger
