pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0,0.0005128205,0,0,0,0,0,0,0.1095238,0,Nothing
0.01369963,0.0403663,0.0767033,0,0,0,0,0,0.1230037,0,Nothing
0,0.001098901,0,0,0,0,0,0,0.1250549,0,Nothing
0.01399267,0.03948718,0.07377289,0,0,0,0,0,0.1262271,0,Nothing
0,0.002564103,0,0,0,0,0,0,0.1564103,0,Nothing
0.01487179,0.03831502,0.07260073,0,0,0,0,0,0.1306227,0,Nothing
0,0.003443223,0,0,0,0,0,0,0.1695971,0,Nothing
0.01516484,0.03831502,0.07230769,0,0,0,0,0,0.1332601,0,Nothing
0,0.006080586,0.01399267,0,0,0,0.0002197802,0,0.1939194,0,Nothing
0.01487179,0.03802198,0.07318681,0,0,0,0,0,0.1332601,0,Nothing
0,0.007838828,0.03069597,0,0,0,0.0005128205,0,0.1968498,0,Nothing
0.01457876,0.03802198,0.07113553,0,0,0,0.0008058608,0,0.132674,0,Nothing
0,0.006959707,0.03567766,0,0,0,0.0002197802,0,0.2003663,0,Nothing
0.01457876,0.0374359,0.06937729,0,0,0,0.004908425,0,0.132674,0,Nothing
0,0.006373626,0.03626374,0,0,0,0.001098901,0,0.2044689,0,Nothing
0.01457876,0.03684982,0.06791209,0,0,0,0.01252747,0,0.1394139,0,Nothing
0,0.006080586,0.03860806,0,0,0,0.002564103,0,0.2082784,0,Nothing
0.01487179,0.03655678,0.06820513,0,0,0,0.01516484,0,0.140293,0,Nothing
0.0008058608,0.003736264,0.05150183,0,0,0,0.006666667,0,0.2208791,0,Nothing
0.01721612,0.03714286,0.06908425,0,0,0,0.02190476,0,0.14,0,Nothing
0.001391941,0.002271062,0.05677656,0,0,0,0.006666667,0,0.2323077,0,Nothing
0.0192674,0.03714286,0.06996337,0,0,0,0.02747253,0,0.1394139,0,Nothing
0.06263737,0.001098901,0.0585348,0,0,0,0.005787546,0,0.2498901,0,Nothing
0.03421246,0.03684982,0.07084249,0,0,0,0.02864469,0,0.1394139,0,Nothing
0,0.0002197802,0.05413919,0,0,0,0.005201465,0,0.2689377,0,Nothing
0.09399267,0.03684982,0.07084249,0,0,0,0.02776557,0,0.1411722,0,Nothing
0,0,0.04945055,0,0,0,0.004322344,0,0.2821245,0,Nothing
0.03216117,0.03655678,0.07084249,0,0,0,0.02424908,0,0.1423443,0,Nothing
0.01750916,0,0.0462271,0,0,0,0.004322344,0,0.2847619,0,Nothing
0.1335531,0.0359707,0.07025641,0,0,0,0.02043956,0,0.1443956,0,Nothing
