pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0,0,0,0,0,0,0,0,0.0207326,0,OpenPalm
0,0,0.05501831,0,0.001978022,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.0207326,0,OpenPalm
0,0,0.05472527,0,0.001978022,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02043956,0,OpenPalm
0,0,0.05472527,0,0.001978022,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02249084,0,OpenPalm
0,0,0.05472527,0,0.002271062,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02307692,0,OpenPalm
0,0,0.05443224,0,0.001978022,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.023663,0,OpenPalm
0,0,0.05384615,0,0.001098901,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02131868,0,OpenPalm
0,0,0.05384615,0,0.001098901,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02043956,0,OpenPalm
0,0,0.05384615,0,0.001098901,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02043956,0,OpenPalm
0,0,0.05355311,0,0.0008058608,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02278388,0,OpenPalm
0,0,0.05355311,0,0.0008058608,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.023663,0,OpenPalm
0,0,0.05326007,0,0.0008058608,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02307692,0,OpenPalm
0,0,0.05326007,0,0.001684982,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02278388,0,OpenPalm
0,0,0.05326007,0,0.002271062,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02307692,0,OpenPalm
0,0,0.05296703,0,0.002564103,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.023663,0,OpenPalm
0,0,0.05267399,0,0.003443223,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.023663,0,OpenPalm
0,0,0.05267399,0,0.004322344,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02278388,0,OpenPalm
0,0,0.05238095,0,0.004322344,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02190476,0,OpenPalm
0,0,0.05208791,0,0.004029304,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02131868,0,OpenPalm
0,0,0.05208791,0,0.004029304,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02161172,0,OpenPalm
0,0,0.05208791,0,0.004029304,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02190476,0,OpenPalm
0,0,0.05208791,0,0.004029304,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.02161172,0,OpenPalm
0,0,0.05208791,0,0.003150183,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.0207326,0,OpenPalm
0,0,0.05208791,0,0.002564103,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.01985348,0,OpenPalm
0,0,0.05179487,0,0.001978022,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.01575092,0,OpenPalm
0,0,0.05150183,0,0.001684982,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.01252747,0,OpenPalm
0,0,0.05150183,0,0.001098901,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.01252747,0,OpenPalm
0,0,0.05150183,0,0.0008058608,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.0005128205,0,OpenPalm
0,0,0.05208791,0,0.0008058608,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.0005128205,0,OpenPalm
0,0,0.05208791,0,0.0008058608,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.0005128205,0,OpenPalm
0,0,0.05443224,0,0.0002197802,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.001098901,0,OpenPalm
0,0,0.05472527,0,0.0002197802,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.0008058608,0,OpenPalm
0,0,0.05501831,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0.0002197802,0,OpenPalm
0,0,0.05531136,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05648352,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05736264,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05765568,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05765568,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05765568,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05736264,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05765568,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05794872,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05794872,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05794872,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05765568,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05677656,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05677656,0,0,0,0,0,0.2094506,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05648352,0,0,0,0,0,0.2100366,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05619048,0,0,0,0,0,0.2112088,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05589744,0,0,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0.001684982,0,OpenPalm
0,0,0.05560439,0,0,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0.003150183,0,OpenPalm
0,0,0.05560439,0,0.0002197802,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0.002271062,0,OpenPalm
0,0,0.05531136,0,0.0008058608,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0.001684982,0,OpenPalm
0,0,0.05501831,0,0.0008058608,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0.0002197802,0,OpenPalm
0,0,0.05501831,0,0.0008058608,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0.0002197802,0,OpenPalm
0,0,0.05531136,0,0.0008058608,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0.0005128205,0,OpenPalm
0,0,0.05501831,0,0.0008058608,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0.001684982,0,OpenPalm
0,0,0.05472527,0,0.0008058608,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0.001684982,0,OpenPalm
0,0,0.05443224,0,0.02014652,0.01252747,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0.001684982,0,OpenPalm
0,0,0.05443224,0,0.02659341,0.01750916,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0.001098901,0,OpenPalm
0,0,0.05472527,0,0.04358974,0.0192674,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0.0008058608,0,OpenPalm
0,0,0.05472527,0,0,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05443224,0,0,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05443224,0,0,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05443224,0,0,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05384615,0,0,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05501831,0,0,0,0,0,0.2109158,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05589744,0,0,0,0,0,0.212674,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05619048,0,0,0,0,0,0.2144323,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05619048,0,0,0,0,0,0.2188279,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05648352,0,0,0,0,0,0.2217583,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.05736264,0,0,0,0,0,0.2287912,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.0002197802,0.05677656,0,0,0,0,0,0.2293773,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.001684982,0.05619048,0,0,0,0,0,0.2287912,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.003443223,0.05560439,0,0,0,0,0,0.2287912,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.003736264,0.05501831,0,0,0,0,0,0.2287912,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.003443223,0.05443224,0,0,0,0,0,0.2287912,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.001684982,0.05296703,0,0.004908425,0,0,0,0.2287912,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.001978022,0.05296703,0,0.01311355,0.005787546,0,0,0.2287912,0,OpenPalm
0,0,0,0,0,0,0,0,0.001098901,0,OpenPalm
0,0.002564103,0.05296703,0,1,1,0,0,0.2287912,0,OpenPalm
0,0,0,0,0,0,0,0,0.001098901,0,OpenPalm
0,0.003150183,0.05150183,0,0,0,0,0,0.2287912,0,OpenPalm
0,0,0,0,0,0,0,0,0.0005128205,0,OpenPalm
0,0.002857143,0.04945055,0,0,0,0,0,0.2287912,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.001978022,0.04798535,0,0,0,0,0,0.2287912,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.001391941,0.04739927,0,0,0,0,0,0.2302564,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.001098901,0.04710623,0,0,0,0,0,0.2323077,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.001098901,0.04710623,0,0,0,0,0,0.2334799,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.001098901,0.04681319,0,0,0,0,0,0.2367033,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.001098901,0.04681319,0,0,0,0,0,0.2367033,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.0005128205,0.04681319,0,0,0,0,0,0.2402198,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.0005128205,0.04681319,0,0,0,0,0,0.2405128,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.0005128205,0.04652015,0,0,0,0,0,0.241392,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.0005128205,0.0462271,0,0,0,0,0,0.2422711,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04446886,0,0,0,0,0,0.2405128,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04388278,0,0,0,0,0,0.2405128,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04417583,0,0,0,0,0,0.2405128,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.0002197802,0.04388278,0,0,0,0,0,0.2405128,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04417583,0,0,0,0,0,0.2405128,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04388278,0,0,0,0,0,0.2405128,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04388278,0,0,0,0,0,0.2405128,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04388278,0,0,0,0,0,0.2405128,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04300366,0,0,0,0,0,0.2292308,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04300366,0,0,0,0,0,0.2292308,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04212454,0,0,0,0,0,0.2292308,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04212454,0,0,0,0,0,0.2292308,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.0002197802,0.04095238,0,0,0,0,0,0.2292308,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0.0002197802,0.04065934,0,0,0,0,0,0.2292308,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.0403663,0,0,0,0,0,0.2292308,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04007326,0,0,0,0,0,0.2292308,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.04007326,0,0,0,0,0,0.2292308,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.03978022,0,0,0,0,0,0.2318681,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.03978022,0,0,0,0,0,0.2321612,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.03919414,0,0,0,0,0,0.2318681,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.03919414,0,0,0,0,0,0.2318681,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.0389011,0,0,0,0,0,0.2318681,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.0389011,0,0,0,0,0,0.2318681,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.0389011,0,0,0,0,0,0.2318681,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.0389011,0,0,0,0,0,0.2318681,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.03860806,0,0,0,0,0,0.2318681,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
0,0,0.03831502,0,0,0,0,0,0.2318681,0,OpenPalm
0,0,0,0,0,0,0,0,0,0,OpenPalm
