pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.1722344,0.2178022,0.5681319,0.03831502,0.288718,0.2191209,0.04065934,0,1,0.01194139,Pointing
0.1845421,0.1244689,0.4878388,0.07728938,0.4403663,0.2777289,0.03421246,0,0.7061538,0.1262271,Pointing
0.1722344,0.2178022,0.5678388,0.03772894,0.288718,0.2191209,0.04065934,0,1,0.01223443,Pointing
0.1845421,0.1244689,0.4878388,0.07699633,0.4403663,0.2777289,0.0359707,0,0.7061538,0.125641,Pointing
0.1722344,0.2178022,0.5678388,0.0374359,0.288718,0.2191209,0.04124542,0,1,0.01282051,Pointing
0.1845421,0.1244689,0.4878388,0.07699633,0.4415384,0.2777289,0.0389011,0,0.7061538,0.125348,Pointing
0.1722344,0.2178022,0.5678388,0.0374359,0.2898902,0.2191209,0.04153846,0,1,0.01369963,Pointing
0.1845421,0.1244689,0.4878388,0.07728938,0.4462271,0.2789011,0.0403663,0,0.7061538,0.1254945,Pointing
0.1728205,0.2178022,0.5678388,0.0374359,0.2904763,0.2191209,0.04153846,0,1,0.01428571,Pointing
0.1845421,0.1244689,0.4878388,0.07728938,0.4494505,0.2794872,0.04095238,0,0.7061538,0.1257876,Pointing
0.1734066,0.2178022,0.5687179,0.03772894,0.2910624,0.2191209,0.04153846,0,1,0.01487179,Pointing
0.1845421,0.1244689,0.4878388,0.07758242,0.4526739,0.2803663,0.04212454,0,0.7061538,0.1263736,Pointing
0.1739927,0.2178022,0.5728205,0.03802198,0.2922345,0.2191209,0.03948718,0,1,0.01487179,Pointing
0.1845421,0.1244689,0.4878388,0.07728938,0.4515018,0.2803663,0.04153846,0,0.7061538,0.1266667,Pointing
0.1745788,0.2178022,0.5754578,0.03831502,0.2925276,0.2191209,0.03919414,0,1,0.01457876,Pointing
0.1845421,0.1244689,0.4878388,0.07728938,0.4515018,0.2803663,0.04095238,0,0.7061538,0.125641,Pointing
0.1745788,0.2178022,0.57663,0.03919414,0.2925276,0.2191209,0.0389011,0,1,0.01457876,Pointing
0.1845421,0.1244689,0.4878388,0.0767033,0.4515018,0.2803663,0.0389011,0,0.7061538,0.1230037,Pointing
0.1745788,0.2178022,0.5754578,0.03919414,0.2925276,0.2191209,0.0389011,0,1,0.01428571,Pointing
0.1845421,0.1225641,0.4878388,0.07611722,0.4515018,0.2803663,0.03714286,0,0.7061538,0.1197802,Pointing
0.1745788,0.2178022,0.5754578,0.0389011,0.2925276,0.2191209,0.03860806,0,1,0.01428571,Pointing
0.1845421,0.1199268,0.4878388,0.07582418,0.4515018,0.2803663,0.03919414,0,0.7061538,0.1164103,Pointing
0.1745788,0.2178022,0.5754578,0.03860806,0.2925276,0.2191209,0.03831502,0,1,0.01457876,Pointing
0.1845421,0.1175824,0.4878388,0.07611722,0.4515018,0.2803663,0.0432967,0,0.7061538,0.114359,Pointing
0.1757509,0.2178022,0.6510622,0.03919414,0.2983884,0.2191209,0.03831502,0,1,0.01575092,Pointing
0.1845421,0.1158242,0.4878388,0.07611722,0.4541391,0.2803663,0.04886447,0,0.7061538,0.1139194,Pointing
0.1792674,0.2186813,0.6721611,0.05032967,0.2960441,0.2235165,0.03802198,0,1,0.01663004,Pointing
0.1845421,0.114066,0.4939927,0.07582418,0.4620512,0.2812454,0.05736264,0,0.7061538,0.1145055,Pointing
