pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.009010989,0.02278388,0.09164836,0,0.1279853,0.1977289,0.6032967,0.08520146,0.4992674,0.5678388,Pinch
0,0.01428571,0.02981685,0.07406593,0.03978022,0.4476923,0.4913554,0.4873992,0.6765568,0.5385348,Pinch
0.009010989,0.02278388,0.09164836,0,0.1279853,0.1977289,0.6032967,0.08520146,0.4992674,0.5678388,Pinch
0,0.01428571,0.02981685,0.07406593,0.03978022,0.4476923,0.4913554,0.4873992,0.6765568,0.5385348,Pinch
0.009010989,0.02249084,0.09106227,0,0.1279853,0.1977289,0.6032967,0.0840293,0.4992674,0.5678388,Pinch
0,0.01399267,0.03010989,0.07377289,0.03978022,0.4476923,0.4913554,0.4873992,0.6765568,0.5385348,Pinch
0.009010989,0.02249084,0.09047619,0,0.1279853,0.1986081,0.6032967,0.08344322,0.4992674,0.5678388,Pinch
0,0.01399267,0.02981685,0.07377289,0.03978022,0.4476923,0.4913554,0.4873992,0.6765568,0.5385348,Pinch
0.009010989,0.02249084,0.09047619,0,0.1279853,0.1986081,0.6032967,0.08344322,0.4992674,0.5678388,Pinch
0,0.01399267,0.02981685,0.07377289,0.03978022,0.4476923,0.4913554,0.4873992,0.6765568,0.5385348,Pinch
0.008424909,0.02249084,0.08989011,0,0.1279853,0.2006593,0.6032967,0.08315019,0.4992674,0.5678388,Pinch
0,0.01399267,0.02981685,0.07377289,0.03978022,0.4476923,0.4913554,0.4873992,0.6771429,0.5385348,Pinch
0.008424909,0.0221978,0.08959707,0,0.1279853,0.2012454,0.6032967,0.08285714,0.4992674,0.5678388,Pinch
0,0.01399267,0.02981685,0.07347985,0.03919414,0.4476923,0.4913554,0.4873992,0.6771429,0.5385348,Pinch
0.008131868,0.0221978,0.08930403,0,0.1262271,0.2012454,0.6032967,0.08285714,0.4992674,0.5678388,Pinch
0,0.01399267,0.02981685,0.07347985,0.03919414,0.4476923,0.4913554,0.4873992,0.6774359,0.5385348,Pinch
0.008424909,0.0221978,0.08901099,0,0.1208059,0.2009524,0.6032967,0.0825641,0.4992674,0.5678388,Pinch
0,0.01399267,0.02981685,0.07347985,0.03919414,0.4476923,0.4913554,0.4873992,0.677729,0.5385348,Pinch
0.008131868,0.0221978,0.08871795,0,0.1172894,0.2009524,0.6032967,0.08227106,0.4992674,0.5678388,Pinch
0,0.01399267,0.02981685,0.07347985,0.03919414,0.4476923,0.4913554,0.4873992,0.6789011,0.5385348,Pinch
