pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,1,1,1,0.2280586,0.0869597,0.8677655,0.1531868,Pointing
0.9361904,1,1,1,0.9030769,1,0.1394139,0.0432967,0.4347985,0.06937729,Pointing
1,1,1,1,1,1,0.2280586,0.05208791,0.8558974,0.1531868,Pointing
0.9361904,1,1,1,0.9030769,1,0.1394139,0.0432967,0.4347985,0.06937729,Pointing
1,1,1,1,1,1,0.2280586,0.05208791,0.8558974,0.1531868,Pointing
0.9361904,1,1,1,0.9030769,1,0.1394139,0.0432967,0.4347985,0.06937729,Pointing
1,1,1,1,1,1,0.2415385,0.03479854,0.8541392,0.1391209,Pointing
0.9361904,1,1,1,0.9004396,1,0.1385348,0.03948718,0.4347985,0.06908425,Pointing
1,1,1,1,1,1,0.2529671,0.01750916,0.8541392,0.1358974,Pointing
0.9361904,1,1,1,0.9004396,1,0.1376557,0.03714286,0.4347985,0.06908425,Pointing
1,1,1,1,1,1,0.2529671,0.01750916,0.8541392,0.1358974,Pointing
0.9361904,1,1,1,0.9004396,1,0.1376557,0.03655678,0.4347985,0.06908425,Pointing
1,1,1,1,1,1,0.2629304,0,0.8318681,0.1300366,Pointing
0.9361904,1,1,1,0.9004396,1,0.1376557,0.03538461,0.4347985,0.06879121,Pointing
1,1,1,1,1,1,0.2682052,0,0.830989,0.1294505,Pointing
0.9361904,1,1,1,0.9004396,1,0.1414652,0.03421246,0.4347985,0.06908425,Pointing
1,1,1,1,1,1,0.2808059,0,0.830696,0.1291575,Pointing
0.9361904,1,1,1,0.9004396,1,0.139707,0.03450549,0.4347985,0.06908425,Pointing
1,1,1,1,1,1,0.2872528,0,0.830696,0.1291575,Pointing
0.9361904,1,1,1,0.9004396,1,0.139707,0.03479854,0.4347985,0.06937729,Pointing
1,1,1,1,1,1,0.2869597,0,0.830989,0.1291575,Pointing
0.9361904,1,1,1,0.9004396,1,0.139707,0.03626374,0.4347985,0.07025641,Pointing
1,1,1,1,1,1,0.2852015,0,0.830989,0.1291575,Pointing
0.9361904,1,1,1,0.9004396,1,0.139707,0.03684982,0.4347985,0.07025641,Pointing
1,1,1,1,1,1,0.281978,0,0.8330403,0.1306227,Pointing
0.9361904,1,1,1,0.9004396,1,0.139707,0.0389011,0.4347985,0.07113553,Pointing
1,1,1,1,1,1,0.281392,0,0.8345055,0.1315018,Pointing
0.9361904,1,1,1,0.9004396,1,0.139707,0.04007326,0.4347985,0.07113553,Pointing
1,1,1,1,1,1,0.281392,0,0.8342125,0.1315018,Pointing
0.9361904,1,1,1,0.9004396,1,0.139707,0.04007326,0.4347985,0.07113553,Pointing
1,1,1,1,1,1,0.281392,0,0.8330403,0.1306227,Pointing
0.9361904,1,1,1,0.9004396,1,0.139707,0.0389011,0.4347985,0.07054945,Pointing
1,1,1,1,1,1,0.281392,0,0.8330403,0.1306227,Pointing
0.9361904,1,1,1,0.903077,1,0.139707,0.03772894,0.4347985,0.07054945,Pointing
1,1,1,1,1,1,0.281392,0,0.8330403,0.1306227,Pointing
0.9361904,1,1,1,0.9080587,1,0.139707,0.03479854,0.4347985,0.06996337,Pointing
1,1,1,1,1,1,0.281392,0,0.8330403,0.1306227,Pointing
0.9361904,1,1,1,0.9115751,1,0.139707,0.03391941,0.4347985,0.06908425,Pointing
1,1,1,1,1,1,0.281392,0,0.8330403,0.1306227,Pointing
0.9361904,1,1,1,0.9121612,1,0.139707,0.03245421,0.4347985,0.06820513,Pointing
1,1,1,1,1,1,0.281392,0,0.8330403,0.1306227,Pointing
0.9361904,1,1,1,0.9118682,1,0.139707,0.03216117,0.4347985,0.06791209,Pointing
1,1,1,1,1,1,0.281392,0,0.8330403,0.1306227,Pointing
0.9361904,1,1,1,0.9101099,1,0.1405861,0.03040293,0.4347985,0.06732601,Pointing
1,1,1,1,1,1,0.281392,0,0.8330403,0.1306227,Pointing
0.9361904,1,1,1,0.9098169,1,0.140293,0.03010989,0.4347985,0.06703297,Pointing
1,1,1,1,1,1,0.281392,0,0.8330403,0.1306227,Pointing
0.9361904,1,1,1,0.9092308,1,0.14,0.02952381,0.4347985,0.06703297,Pointing
1,1,1,1,1,1,0.2528206,0,0.8330403,0.1306227,Pointing
0.9361904,1,1,1,0.9092308,1,0.1391209,0.02747253,0.4347985,0.06644689,Pointing
1,1,1,1,1,1,0.2235165,0,0.8008059,0.1306227,Pointing
0.9019047,1,1,1,0.9092308,1,0.1391209,0.02395604,0.4347985,0.06556777,Pointing
1,1,1,1,1,1,0.2188278,0,0.7961172,0.1306227,Pointing
0.8846154,1,1,1,0.9092308,1,0.1391209,0.02249084,0.4347985,0.06527472,Pointing
1,1,1,1,1,1,0.2173626,0,0.7952381,0.1306227,Pointing
0.8808059,1,1,1,0.892674,1,0.132674,0.02102564,0.4347985,0.06498168,Pointing
1,1,1,1,1,1,0.2135531,0,0.7952381,0.1306227,Pointing
0.8755311,1,1,1,0.8746521,1,0.132674,0.01985348,0.4347985,0.06410257,Pointing
1,1,1,1,1,1,0.2103297,0,0.7952381,0.1306227,Pointing
0.874945,1,1,1,0.8746521,1,0.132674,0.01897436,0.4347985,0.06410257,Pointing
1,1,1,1,1,1,0.2071062,0,0.7952381,0.1306227,Pointing
0.8711355,1,1,1,0.8561904,1,0.132674,0.01838828,0.4347985,0.06380952,Pointing
1,1,1,1,1,1,0.205641,0,0.7952381,0.1306227,Pointing
0.8702564,1,1,1,0.8561904,1,0.132674,0.01809524,0.4347985,0.06351648,Pointing
1,1,1,1,1,1,0.2021245,0,0.7952381,0.1306227,Pointing
0.8702564,1,1,1,0.8561904,1,0.132674,0.0178022,0.4347985,0.06322344,Pointing
1,1,1,1,1,1,0.2021245,0,0.7952381,0.1306227,Pointing
0.8702564,1,1,1,0.8561904,1,0.132674,0.0178022,0.4347985,0.06322344,Pointing
1,1,1,1,1,1,0.1994872,0,0.7952381,0.1306227,Pointing
0.8550183,0.9736996,1,1,0.8298169,1,0.121685,0.01545788,0.4347985,0.06175824,Pointing
1,1,1,1,1,1,0.1965568,0,0.7952381,0.1306227,Pointing
0.8523809,0.9669597,1,1,0.8098901,1,0.1156777,0.01516484,0.4347985,0.06117216,Pointing
1,1,1,1,1,1,0.1953846,0,0.7952381,0.1306227,Pointing
0.8523809,0.9669597,1,1,0.8098901,1,0.1156777,0.01516484,0.4347985,0.06117216,Pointing
1,1,1,1,1,1,0.1918681,0,0.7952381,0.1306227,Pointing
0.8494505,0.961978,1,1,0.8098901,1,0.0978022,0.01428571,0.4347985,0.06087912,Pointing
1,1,1,1,1,1,0.1918681,0,0.7952381,0.1306227,Pointing
0.8494505,0.9610989,1,1,0.8098901,1,0.09692308,0.01399267,0.4347985,0.06058608,Pointing
1,1,1,1,1,1,0.1918681,0,0.7952381,0.1306227,Pointing
0.8494505,0.9610989,1,1,0.8098901,1,0.09663004,0.01369963,0.4347985,0.06058608,Pointing
1,1,1,1,1,1,0.1918681,0,0.7952381,0.1306227,Pointing
0.8494505,0.9610989,1,1,0.8098901,1,0.09545787,0.01340659,0.4347985,0.06029304,Pointing
1,1,1,1,1,1,0.1918681,0,0.7952381,0.1306227,Pointing
0.8494505,0.9610989,1,1,0.8098901,1,0.09399267,0.01311355,0.4347985,0.06,Pointing
1,1,1,1,1,1,0.1918681,0,0.7952381,0.1306227,Pointing
0.8494505,0.9610989,1,1,0.8098901,1,0.09399267,0.01311355,0.4347985,0.06,Pointing
1,1,1,1,1,1,0.1918681,0,0.7952381,0.1306227,Pointing
0.8494505,0.9610989,1,1,0.8098901,1,0.09282051,0.01252747,0.4347985,0.06,Pointing
1,1,1,1,1,1,0.1918681,0,0.7952381,0.1306227,Pointing
0.8494505,0.9610989,1,1,0.8098901,1,0.09164836,0.01223443,0.4347985,0.05941392,Pointing
1,1,1,1,1,1,0.1918681,0,0.7952381,0.1306227,Pointing
0.8494505,0.9610989,1,1,0.8098901,1,0.09164836,0.01223443,0.4347985,0.05941392,Pointing
1,1,1,1,1,1,0.1918681,0,0.7952381,0.1306227,Pointing
0.8494505,0.9610989,1,1,0.8098901,1,0.09106227,0.01194139,0.4347985,0.05941392,Pointing
1,1,1,1,1,1,0.1918681,0,0.7952381,0.129304,Pointing
0.8494505,0.9610989,1,1,0.8098901,1,0.09047619,0.01164835,0.4347985,0.05941392,Pointing
1,1,1,1,1,1,0.1918681,0,0.7952381,0.129304,Pointing
