pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,0.925055,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.925055,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.925055,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.925055,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.925055,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.925055,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.925055,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9259341,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9268132,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9268132,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9279854,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9279854,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9279854,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9279854,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9279854,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9279854,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9279854,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9279854,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9291575,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9370696,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9370696,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9358975,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9388279,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9414652,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9408791,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9391209,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9379487,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.9118681,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.8695238,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.8503297,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.8491575,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,1,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9909158,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9717216,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9717216,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9517216,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9508425,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9508425,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9508425,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9508425,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9508425,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9508425,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9508425,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9508425,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9508425,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
1,1,1,1,1,1,1,1,1,0.9508425,Fist
1,1,1,0.8447619,1,1,1,1,1,1,Fist
