pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,0.4942857,1,0.4898901,0.6572161,0,1,0.9947985,1,0.6891575,MiddleFinger
0.9373626,1,1,1,0.7890843,0.01223443,1,1,1,0.3451282,MiddleFinger
1,0.4942857,1,0.4945787,0.6557509,0,1,1,1,0.7627106,MiddleFinger
0.9294506,1,1,1,0.7785348,0.01135531,1,1,1,0.4052015,MiddleFinger
1,0.4942857,1,0.5021978,0.6551648,0,1,1,1,0.8201465,MiddleFinger
0.9191942,1,1,1,0.7761905,0.01106227,1,1,1,0.4658608,MiddleFinger
1,0.4796337,1,0.510989,0.6450549,0,1,1,1,0.8532601,MiddleFinger
0.9191942,1,1,1,0.7761905,0.01106227,1,1,1,0.4658608,MiddleFinger
1,0.4761172,1,0.5162637,0.6364102,0,1,1,1,0.8723077,MiddleFinger
0.9021978,1,1,1,0.7761905,0.01282051,1,1,1,0.5772161,MiddleFinger
1,0.4632235,1,0.5356044,0.6308425,0,1,1,1,0.925348,MiddleFinger
0.8972161,1,1,1,0.7761905,0.01311355,1,1,1,0.590989,MiddleFinger
1,0.4274725,1,0.5572894,0.6185348,0,1,1,1,0.903663,MiddleFinger
0.89663,1,1,1,0.7477655,0.01311355,1,1,1,0.6003663,MiddleFinger
1,0.3905495,1,0.5484982,0.5947985,0,1,1,1,0.889304,MiddleFinger
0.89663,1,1,1,0.7345787,0.01369963,1,1,1,0.6047619,MiddleFinger
1,0.3773626,1,0.5405861,0.5807326,0,1,1,1,0.8752381,MiddleFinger
0.89663,1,1,1,0.7322344,0.01369963,1,1,1,0.6059341,MiddleFinger
1,0.3662271,1,0.5153846,0.5681319,0,1,1,1,0.852674,MiddleFinger
0.89663,1,1,1,0.7234432,0.01311355,1,1,1,0.6065202,MiddleFinger
1,0.3632967,1,0.511282,0.5590476,0,1,1,1,0.8333333,MiddleFinger
0.8810989,1,1,1,0.7152381,0.01369963,1,1,1,0.6038828,MiddleFinger
0.9902198,0.3627106,1,0.510989,0.5502564,0,1,1,1,0.8142857,MiddleFinger
0.8787546,1,1,1,0.7131868,0.01369963,1,1,1,0.6038828,MiddleFinger
0.9698901,0.3703297,1,0.5206593,0.5388278,0,1,1,1,0.7934799,MiddleFinger
0.8772894,1,1,1,0.7131868,0.01311355,1,1,1,0.6038828,MiddleFinger
0.9654945,0.3717949,1,0.5227106,0.5373626,0,1,1,1,0.7911355,MiddleFinger
0.8693773,1,1,1,0.7131868,0.01311355,1,1,1,0.6038828,MiddleFinger
0.9373626,0.3761905,1,0.5317948,0.5291575,0,1,1,1,0.78,MiddleFinger
0.8582417,1,1,1,0.6935531,0.01282051,1,1,1,0.6038828,MiddleFinger
0.9209524,0.3744322,1,0.5335531,0.518315,0,1,1,1,0.758315,MiddleFinger
0.8485714,1,1,1,0.6809524,0.01282051,1,1,1,0.6038828,MiddleFinger
0.9150916,0.3747253,1,0.53326,0.5124542,0,1,1,1,0.7474725,MiddleFinger
0.8427106,1,1,1,0.6730403,0.01311355,1,1,1,0.6038828,MiddleFinger
0.9089378,0.38,1,0.5373626,0.5051282,0,1,1,1,0.7354579,MiddleFinger
0.8359707,1,1,1,0.6663004,0.01369963,1,1,1,0.6038828,MiddleFinger
0.9074726,0.3814652,1,0.5379487,0.503663,0,1,1,1,0.7313553,MiddleFinger
0.8339194,1,1,1,0.663663,0.01369963,1,1,1,0.6038828,MiddleFinger
0.9007326,0.387326,1,0.5438095,0.4957509,0,1,0.9897802,1,0.7172894,MiddleFinger
0.8324542,1,1,1,0.663663,0.01428571,1,1,1,0.6038828,MiddleFinger
0.8936996,0.394652,1,0.5514286,0.4863736,0,1,0.9710622,1,0.7020513,MiddleFinger
0.8324542,1,1,1,0.663663,0.01575092,1,1,1,0.6038828,MiddleFinger
0.8922344,0.4054945,1,0.5599267,0.4799267,0,1,0.9628571,1,0.6929671,MiddleFinger
0.8409524,1,1,1,0.6648352,0.01809524,1,1,1,0.6059341,MiddleFinger
0.8992674,0.4169231,1,0.5672528,0.4749451,0.0005128205,1,0.9567033,1,0.6844689,MiddleFinger
0.8494505,1,1,1,0.663663,0.0192674,1,1,1,0.6076923,MiddleFinger
0.9071795,0.4263004,1,0.5734066,0.4702564,0.001391941,1,0.954359,1,0.677729,MiddleFinger
0.8538461,1,1,1,0.663663,0.01985348,1,1,1,0.6085715,MiddleFinger
0.9095238,0.4368498,1,0.5772161,0.4617583,0.001978022,1,0.954359,1,0.6698169,MiddleFinger
0.860293,1,1,1,0.663663,0.02102564,1,1,1,0.6094506,MiddleFinger
0.910403,0.4377289,1,0.5839561,0.4570696,0.002271062,1,0.954359,1,0.6692308,MiddleFinger
0.8597069,1,1,1,0.663663,0.02131868,1,1,1,0.6115019,MiddleFinger
