pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.2651281,0.3202198,0.2551648,0.2536997,0.176337,0.007252747,0.4263003,0.03450549,0.4796337,0.05882784,Nothing
0.2657143,1,0.4022711,1,0.3269597,0.08871795,0.6364102,0.347912,0.5994872,0.06673992,Nothing
0.2651281,0.3202198,0.2551648,0.2536997,0.176337,0.007252747,0.4263003,0.03450549,0.4796337,0.05912088,Nothing
0.2657143,1,0.4022711,1,0.3269597,0.08871795,0.6364102,0.347912,0.5994872,0.06673992,Nothing
0.263956,0.3202198,0.2551648,0.2536997,0.176337,0.007252747,0.4263003,0.03391941,0.4796337,0.0585348,Nothing
0.2657143,1,0.4022711,1,0.3325275,0.1027839,0.5927473,0.347912,0.590696,0.06644689,Nothing
0.263956,0.3202198,0.2551648,0.2536997,0.176337,0.007252747,0.4263003,0.03391941,0.4796337,0.0585348,Nothing
0.2657143,1,0.4022711,1,0.3893773,0.1643223,0.5892308,0.3436629,0.5855678,0.06644689,Nothing
0.263956,0.3202198,0.2551648,0.2536997,0.176337,0.007252747,0.4263003,0.03391941,0.4796337,0.05824176,Nothing
0.2657143,1,0.4022711,1,0.3032234,0.07201465,0.5860073,0.3395604,0.5855678,0.06644689,Nothing
0.263956,0.3202198,0.2551648,0.2536997,0.176337,0.007252747,0.4263003,0.03391941,0.4796337,0.05824176,Nothing
0.2657143,1,0.4022711,1,0.2784615,0.07201465,0.5821978,0.3395604,0.5855678,0.06644689,Nothing
0.263956,0.3202198,0.2551648,0.2536997,0.176337,0.006959707,0.4263003,0.03362637,0.4796337,0.05824176,Nothing
0.2657143,1,0.4022711,1,0.2777289,0.07230769,0.5728205,0.3395604,0.5855678,0.06615385,Nothing
0.263956,0.3202198,0.2551648,0.2536997,0.176337,0.006959707,0.4263003,0.03362637,0.4796337,0.05794872,Nothing
0.2657143,1,0.4022711,1,0.2624908,0.07230769,0.5704762,0.3395604,0.5861538,0.06586081,Nothing
0.263956,0.3202198,0.2551648,0.2536997,0.176337,0.006959707,0.4263003,0.03333334,0.4796337,0.05765568,Nothing
0.2657143,1,0.4022711,1,0.26337,0.07230769,0.5675458,0.3395604,0.5864469,0.06586081,Nothing
0.263956,0.3202198,0.2551648,0.2536997,0.176337,0.006959707,0.4263003,0.03333334,0.4796337,0.05765568,Nothing
0.2657143,1,0.4022711,1,0.263663,0.07230769,0.5657876,0.3395604,0.5864469,0.06586081,Nothing
0.2635164,0.3202198,0.2551648,0.2536997,0.176337,0.006959707,0.4263003,0.03333334,0.4796337,0.0570696,Nothing
0.2657143,1,0.4022711,1,0.263663,0.07230769,0.5657876,0.3395604,0.5864469,0.06586081,Nothing
0.2635164,0.3202198,0.2551648,0.2536997,0.176337,0.006959707,0.4263003,0.03333334,0.4796337,0.05765568,Nothing
0.2657143,1,0.4022711,1,0.263663,0.07230769,0.5657876,0.3395604,0.5864469,0.06586081,Nothing
0.2635164,0.3202198,0.2551648,0.2536997,0.176337,0.006666667,0.4263003,0.03274725,0.4796337,0.05765568,Nothing
0.2657143,1,0.4022711,1,0.263663,0.07230769,0.5657876,0.3395604,0.5864469,0.06586081,Nothing
0.2635164,0.3202198,0.2551648,0.2536997,0.176337,0.006959707,0.4263003,0.03274725,0.4796337,0.0570696,Nothing
0.2657143,1,0.4022711,1,0.263663,0.07289378,0.5657876,0.3395604,0.5864469,0.06556777,Nothing
0.2629303,0.3202198,0.2551648,0.2536997,0.176337,0.006666667,0.4263003,0.03274725,0.4796337,0.0570696,Nothing
