pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.003150183,0.2015385,0,0,0,0,0.001098901,0,0,0,OpenPalm
0,0.3257876,0,0.03362637,0,0.001098901,0,0.0359707,0.1590476,0,OpenPalm
0.002857143,0.2015385,0,0,0,0,0.0008058608,0,0,0,OpenPalm
0,0.3257876,0,0.03245421,0,0.001098901,0,0.03567766,0.1587546,0,OpenPalm
0.002857143,0.2015385,0,0,0,0,0.0008058608,0,0,0,OpenPalm
0,0.3235898,0,0.03216117,0,0.0008058608,0,0.03538461,0.1578754,0,OpenPalm
0.002564103,0.2015385,0,0,0,0,0.0005128205,0,0,0,OpenPalm
0,0.3235898,0,0.03128205,0,0.0005128205,0,0.03479854,0.1584615,0,OpenPalm
0.002271062,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.03010989,0,0.0005128205,0,0.03421246,0.1584615,0,OpenPalm
0.002271062,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.03010989,0,0.0002197802,0,0.03391941,0.1584615,0,OpenPalm
0.001978022,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.03010989,0,0.0002197802,0,0.03391941,0.1584615,0,OpenPalm
0.001978022,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02923077,0,0,0,0.03333334,0.1584615,0,OpenPalm
0.001391941,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02864469,0,0,0,0.03304029,0.1584615,0,OpenPalm
0.001098901,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02835165,0,0,0,0.03274725,0.1584615,0,OpenPalm
0.0008058608,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02776557,0,0,0,0.03245421,0.1587546,0,OpenPalm
0.0008058608,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02747253,0,0,0,0.03186813,0.1593406,0,OpenPalm
0.0005128205,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02747253,0,0,0,0.03186813,0.1593406,0,OpenPalm
0.0005128205,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02688645,0,0,0,0.03186813,0.1593406,0,OpenPalm
0.0005128205,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02659341,0,0,0,0.03157509,0.1593406,0,OpenPalm
0.0002197802,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02600733,0,0,0,0.03098901,0.1593406,0,OpenPalm
0.0002197802,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02542125,0,0,0,0.03098901,0.1593406,0,OpenPalm
0.0002197802,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.0251282,0,0,0,0.03098901,0.1593406,0,OpenPalm
0.0002197802,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02483517,0,0,0,0.03040293,0.1593406,0,OpenPalm
0.0002197802,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02483517,0,0,0,0.03040293,0.1593406,0,OpenPalm
0,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
0,0.3235898,0,0.02395604,0,0,0,0.03040293,0.1602197,0,OpenPalm
0,0.2015385,0,0,0,0,0,0,0,0,OpenPalm
