pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,1,1,1,0.2035898,0,1,0.003443223,Pointing
1,1,1,1,1,1,0.2405128,0.0002197802,1,0.2838828,Pointing
1,1,1,1,1,1,0.2035898,0,1,0.003443223,Pointing
1,1,1,1,1,1,0.2440293,0.0002197802,1,0.2838828,Pointing
1,1,1,1,1,1,0.2035898,0,1,0.003736264,Pointing
1,1,1,1,1,1,0.2452015,0.0002197802,1,0.2805128,Pointing
1,1,1,1,1,1,0.2035898,0,1,0.004322344,Pointing
1,1,1,1,1,1,0.2443223,0.0005128205,1,0.2753846,Pointing
1,1,1,1,1,1,0.2035898,0,1,0.004322344,Pointing
1,1,1,1,1,1,0.2440293,0.0005128205,1,0.2753846,Pointing
1,1,1,1,1,1,0.2032967,0,1,0.005494506,Pointing
1,1,1,1,1,1,0.2440293,0.0005128205,1,0.271282,Pointing
1,1,1,1,1,1,0.2030037,0,1,0.005494506,Pointing
1,1,1,1,1,1,0.2440293,0.0005128205,1,0.271282,Pointing
1,1,1,1,1,1,0.2030037,0,1,0.005787546,Pointing
1,1,1,1,1,1,0.2440293,0.0002197802,1,0.271282,Pointing
1,1,1,1,1,1,0.2030037,0,1,0.006080586,Pointing
1,1,1,1,1,1,0.2440293,0.0002197802,1,0.271282,Pointing
1,1,1,1,1,1,0.2030037,0,1,0.006666667,Pointing
1,1,1,1,1,1,0.2446154,0.0002197802,1,0.271282,Pointing
1,1,1,1,1,1,0.2030037,0,1,0.007545787,Pointing
1,1,1,1,1,1,0.2446154,0.0002197802,1,0.271282,Pointing
1,1,1,1,1,1,0.2030037,0,1,0.008717949,Pointing
1,1,1,1,1,1,0.2446154,0,1,0.271282,Pointing
1,1,1,1,1,1,0.2030037,0,1,0.009010989,Pointing
1,1,1,1,1,1,0.2454945,0,1,0.271282,Pointing
1,1,1,1,1,1,0.2030037,0,1,0.009304029,Pointing
1,1,1,1,1,1,0.2475458,0,1,0.271282,Pointing
1,1,1,1,1,1,0.2030037,0,1,0.00959707,Pointing
1,1,1,1,1,1,0.2484249,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1742857,0,1,0.00959707,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1684249,0,1,0.01018315,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1587546,0,1,0.01047619,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1493773,0,1,0.01076923,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1408791,0,1,0.01076923,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1312088,0,1,0.01106227,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1300366,0,1,0.01106227,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1282784,0,1,0.01106227,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1174359,0,1,0.01164835,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1156777,0,1,0.01164835,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1145055,0,1,0.01194139,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1145055,0,1,0.01194139,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1145055,0,1,0.01194139,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1145055,0,1,0.01194139,Pointing
1,1,1,1,1,1,0.2472528,0,1,0.271282,Pointing
1,1,1,1,1,1,0.1145055,0,1,0.01194139,Pointing
1,1,1,1,1,1,0.2478388,0,1,0.2689377,Pointing
1,1,1,1,1,1,0.1145055,0,1,0.01194139,Pointing
1,1,1,1,1,1,0.2478388,0,1,0.2689377,Pointing
1,1,1,1,1,1,0.1145055,0,1,0.01194139,Pointing
1,1,1,1,1,1,0.2478388,0,1,0.2657143,Pointing
1,1,1,1,1,1,0.1145055,0,1,0.01164835,Pointing
1,1,1,1,1,1,0.2478388,0,1,0.2657143,Pointing
1,1,1,1,1,1,0.1145055,0,1,0.01194139,Pointing
