pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.07172161,0.06498168,0.9997069,0.2037364,0.9646152,0.4680586,0.6091576,0,1,0.5621247,RockOn
0.05267399,0.04857143,1,0.6513554,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07172161,0.06556777,0.9997069,0.2037364,0.9646152,0.4680586,0.6091576,0,1,0.5621247,RockOn
0.05267399,0.04857143,1,0.6513554,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07172161,0.06586081,0.9997069,0.2037364,0.9649082,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05267399,0.04827839,1,0.6513554,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07172161,0.06556777,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05267399,0.04827839,1,0.6513554,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07172161,0.06498168,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05267399,0.04827839,1,0.6513554,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07142857,0.06498168,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05267399,0.04827839,1,0.6516485,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07142857,0.06498168,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05267399,0.04827839,1,0.6528206,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07142857,0.06556777,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05238095,0.04798535,1,0.6534067,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07142857,0.06498168,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05238095,0.04798535,1,0.6534067,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07142857,0.06468865,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05208791,0.04769231,1,0.6528206,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07113553,0.06498168,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05208791,0.04769231,1,0.6528206,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07142857,0.06498168,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05179487,0.04739927,1,0.6528206,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07113553,0.06498168,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05179487,0.04681319,1,0.6528206,0.6619048,1,0.2296703,0,0.6053479,0.2107692,RockOn
0.07113553,0.06498168,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05150183,0.04652015,1,0.6528206,0.6619048,1,0.2296703,0,0.6053479,0.2101831,RockOn
0.07113553,0.06498168,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05150183,0.04681319,1,0.6528206,0.6619048,1,0.2296703,0,0.6053479,0.2101831,RockOn
0.07113553,0.06498168,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05150183,0.04681319,1,0.6528206,0.6619048,1,0.2296703,0,0.6053479,0.2101831,RockOn
0.07113553,0.06468865,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05150183,0.04681319,1,0.6531137,0.6619048,1,0.2296703,0,0.6053479,0.2101831,RockOn
0.07113553,0.06468865,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
0.05150183,0.04652015,1,0.6534067,0.6619048,1,0.2296703,0,0.6053479,0.2101831,RockOn
0.07084249,0.06468865,0.9997069,0.2037364,0.9646152,0.4680586,0.6088645,0,1,0.5621247,RockOn
