pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
1,1,1,0.5728205,0.5728205,0.3445421,0,0,0,0.01106227,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01457876,0.03333334,0.08666667,HandGun
1,1,1,0.5736996,0.5701832,0.3416117,0,0,0,0.01106227,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01428571,0.03333334,0.08608059,HandGun
0.9851282,1,1,0.5736996,0.5716484,0.3407326,0,0,0,0.01135531,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01399267,0.03333334,0.08608059,HandGun
0.9798535,1,1,0.5754579,0.5739927,0.3372161,0,0,0,0.01223443,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01369963,0.03391941,0.08608059,HandGun
0.9748718,1,1,0.5819048,0.576337,0.3372161,0,0,0,0.01282051,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01369963,0.03567766,0.08490843,HandGun
0.9751648,1,1,0.5842491,0.5780953,0.3372161,0,0,0,0.01340659,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01340659,0.03655678,0.08490843,HandGun
0.9819047,1,1,0.5772161,0.5754579,0.3372161,0,0,0,0.01428571,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01340659,0.0374359,0.08461539,HandGun
0.97663,1,1,0.5637363,0.5754579,0.3372161,0,0,0,0.01487179,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01311355,0.03772894,0.08432234,HandGun
0.97663,1,1,0.5511355,0.5672528,0.3448352,0,0,0,0.01516484,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01252747,0.0374359,0.08373626,HandGun
0.97663,0.9854212,1,0.5464469,0.5672528,0.3521612,0,0,0,0.01516484,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01252747,0.03684982,0.08373626,HandGun
0.97663,0.976337,1,0.5391209,0.5672528,0.3530403,0,0,0,0.01457876,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01252747,0.03684982,0.08344322,HandGun
0.97663,0.9739926,1,0.5388278,0.5672528,0.3530403,0,0,0,0.01457876,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01223443,0.03655678,0.08344322,HandGun
0.97663,0.969597,1,0.5350183,0.5672528,0.3539194,0,0,0,0.01457876,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01223443,0.0359707,0.08344322,HandGun
0.97663,0.9687179,1,0.5344322,0.5672528,0.3550916,0,0,0,0.01457876,HandGun
0.9420513,1,1,1,0.7603663,0.8031502,0,0.01194139,0.03479854,0.08373626,HandGun
0.97663,0.9687179,1,0.5344322,0.5672528,0.3547985,0,0,0,0.01487179,HandGun
